"id:ID","bcSynonyms","label","bcReference","name","uuid","id"
"690","['Temperature']","Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","Body Temperature","4550a421-42d4-410a-8aea-a471095c9c86","BiomedicalConcept_18"
"691","['Weight']","Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","Body Weight","5f5b1d4d-f75a-43c7-96d6-0b7c54ef6160","BiomedicalConcept_19"
"692","['Height']","Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","Body Height","182df517-59c6-4057-82b5-ea49abf1b424","BiomedicalConcept_20"
"693","['ALT', 'SGPT']","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","Alanine Aminotransferase Measurement","90abf105-c1aa-4848-8ff6-fe3ee596695d","BiomedicalConcept_21"
"694","['Albumin']","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","Albumin Measurement","9947ea9f-3a82-4ad0-8939-ef3c180308eb","BiomedicalConcept_22"
"695","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","Alkaline Phosphatase Measurement","622fa3ad-ed1b-4063-ba08-77aaf83b994e","BiomedicalConcept_23"
"696","['AST', 'SGOT']","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","Aspartate Aminotransferase Measurement","38cb2ee7-823f-4ebb-88b2-5a068b5bdcf8","BiomedicalConcept_24"
"697","['Creatinine']","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","Creatinine Measurement","19d9a6b1-9271-4d1e-9375-ca3c8335e05f","BiomedicalConcept_25"
"698","['Potassium', 'K']","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","Potassium Measurement","3cd18dbd-c690-48db-97bd-6877252d3f0f","BiomedicalConcept_26"
"699","['Sodium', 'NA']","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","Sodium Measurement","2080ff75-9f8e-460f-943d-c3d4d1803264","BiomedicalConcept_27"
"700","['Adverse Event Reported Term', 'AETERM']","Adverse Event","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","Adverse Event","94948c15-ff22-4312-9de2-c2e3892bc870","BiomedicalConcept_1"
"701","['SYSBP']","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","Systolic Blood Pressure","335383f6-71ca-4e6f-afa0-ca2b737f9739","BiomedicalConcept_2"
"702","['DIABP']","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","Diastolic Blood Pressure","7bf13b43-face-4286-823d-18e3cf6283a3","BiomedicalConcept_3"
"703","['Temperature']","Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","Body Temperature","84acaf63-4ae1-425b-b537-ef5444b32f6c","BiomedicalConcept_4"
"704","['Weight']","Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","Body Weight","6f0f51e6-fd66-4405-b766-f570acccccf7","BiomedicalConcept_5"
"705","['Height']","Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","Body Height","d304c08f-8f6d-4620-9de4-f62ec8a501a1","BiomedicalConcept_6"
"706","['ALT', 'SGPT']","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","Alanine Aminotransferase Measurement","70c1debf-671d-475e-a197-339750bc7e26","BiomedicalConcept_7"
"707","['Albumin']","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","Albumin Measurement","e5d91e3b-8042-432d-b3e4-24498f72dafc","BiomedicalConcept_8"
"708","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","Alkaline Phosphatase Measurement","241b4771-68c7-4e90-9af6-3f9c9efe8a42","BiomedicalConcept_9"
"709","['AST', 'SGOT']","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","Aspartate Aminotransferase Measurement","741632d5-b457-4a39-81d8-5e6314d7754f","BiomedicalConcept_10"
"710","['Creatinine']","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","Creatinine Measurement","d6ac8196-534f-4ba1-bb7a-38e480f901db","BiomedicalConcept_11"
"711","['Potassium', 'K']","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","Potassium Measurement","251dcb83-abc6-4a01-95ca-20c9153f7e5d","BiomedicalConcept_12"
"712","['Sodium', 'NA']","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","Sodium Measurement","c4c48a94-fe0b-4c3b-a0ce-6e91766e8c58","BiomedicalConcept_13"
"713","['SYSBP']","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","Systolic Blood Pressure","eefa5134-bd0e-43a6-bb65-30e91769113f","BiomedicalConcept_14"
"714","['DIABP']","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","Diastolic Blood Pressure","9b2eba7c-e46b-4ae6-907e-c58765493fcf","BiomedicalConcept_15"
"715","['SYSBP']","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","Systolic Blood Pressure","5f746698-0041-419a-a097-e5c3ce476ad1","BiomedicalConcept_16"
"716","['DIABP']","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","Diastolic Blood Pressure","a7cc5e47-cecf-4381-ae7d-44d95219c1f3","BiomedicalConcept_17"
