"instanceType","label","purpose","uuid:ID","description","name","text","id"
"ENDPOINT","","","c2bad405-252c-40c1-8bb1-61ec06373751","","END1","Clinical status assessed using a 7-category ordinal scale at Day 28","Endpoint_1"
"ENDPOINT","","","8f59bcc8-ba7f-4343-b001-3f1e4409b6eb","","END2","Time to clinical improvement (TTCI) defined as a National Early Warning Score 2 (NEWS2) of <=2 maintained for 24 hours","Endpoint_2"
"ENDPOINT","","","60966025-514a-491c-bcd2-46bcd9e2180b","","END3","Time to improvement of at least 2 categories relative to baseline on a 7-category ordinal scale of clinical status","Endpoint_3"
"ENDPOINT","","","05215790-8ae7-4dc4-a882-133553cfb06f","","END4","Incidence of mechanical ventilation","Endpoint_4"
"ENDPOINT","","","829cfac7-df33-41bb-b1ef-f1b3fafb2e90","","END5","Ventilator-free days to Day 28","Endpoint_5"
"ENDPOINT","","","5cdff3c3-ec57-4d7f-b5a9-44e3ff3b4d86","","END6","Incidence of intensive care unit (ICU) stay","Endpoint_6"
"ENDPOINT","","","760b657a-760a-410e-9331-95e3bb272944","","END7","Duration of ICU stay","Endpoint_7"
"ENDPOINT","","","db28f7b0-149f-4e2d-9174-56bbda365fd6","","END8","Time to clinical failure, defined as the time to death, mechanical ventilation, ICU admission, or withdrawal (whichever occurs first). For patients entering the study already in ICU or on mechanical ventilation, clinical failure is defined as a one-category worsening on the ordinal scale, withdrawal or death.","Endpoint_8"
"ENDPOINT","","","0a692849-951c-4e81-8c17-5be6f089229a","","END9","Mortality rate at Days 7, 14, 21, 28, and 60","Endpoint_9"
"ENDPOINT","","","b95332a3-7840-4866-9e45-6ccde452235c","","END10","Time to hospital discharge or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen)","Endpoint_10"
"ENDPOINT","","","d84d705b-96f2-494d-8f33-9cfa31ddeafe","","END11","Time to recovery, defined as discharged or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen); OR, in a non-ICU hospital ward (or “ready for hospital ward”) not requiring supplemental oxygen","Endpoint_11"
"ENDPOINT","","","070737fc-bc84-4686-b3fb-c33bf08999a0","","END12","Duration of supplemental oxygen","Endpoint_12"
