"label","uuid:ID","description","name","text","id"
"","1e6ece29-0608-49e7-b160-304c197a7c7e","","ENCOUNTER_START_RULE_1","Subject identified","TransitionRule_1"
"","285661c9-be96-419d-9d19-6aff0be9d539","","ENCOUNTER_START_RULE_1","IEs passed","TransitionRule_2"
"","bfcf492b-8368-4802-8da0-d2a40e6220c8","","ENCOUNTER_START_RULE_3","Radomized","TransitionRule_3"
"","e4b1bbeb-c825-4c15-a58e-078eb05f6c97","","ELEMENT_START_RULE_1","Study Start","TransitionRule_4"
"","26a64d5d-8945-4f8b-8dad-8f14b1ea2ed0","","ELEMENT_END_RULE_1","Screened","TransitionRule_5"
"","c7640a7d-a302-4bf5-9620-f3a026267df8","","ELEMENT_START_RULE_2","Screened","TransitionRule_6"
"","ed93a64a-2c45-4f13-ba7e-373181ac53e3","","ELEMENT_END_RULE_2","Radomized","TransitionRule_7"
"","dac69c06-7490-4ba8-8161-d1f7df7e650e","","ELEMENT_START_RULE_3","Radomized","TransitionRule_8"
"","89b75ee9-9b24-499d-bd15-02dc077c502b","","ELEMENT_END_RULE_3","Completed treatment 1","TransitionRule_9"
"","55cf04dc-27ec-4671-994d-8f8779df1ca0","","ELEMENT_START_RULE_5","Radomized","TransitionRule_12"
"","64ed9789-d0ca-40b4-8594-b75fea265ff0","","ELEMENT_END_RULE_5","Completed treatment 2","TransitionRule_13"
"","94ab0f64-0325-47ef-8e4d-5c31490070ff","","ELEMENT_START_RULE_4","Treated","TransitionRule_10"
"","8197effe-b755-439b-bb3b-2e3319fbde7f","","ELEMENT_END_RULE_4","Leave Study","TransitionRule_11"
