"uuid:ID","sectionNumber","id","name","sectionTitle","text"
"8d20a795-19ba-4e33-a582-555fcff3edc2","0","NarrativeContent_1","ROOT","Root",""
"421238d9-e99a-4078-9d8f-814457b59e82","1","NarrativeContent_2","SECTION 1","PROTOCOL SUMMARY","<div><usdm:ref klass=""StudyIdentifier"" id=""StudyIdentifier_1"" attribute=""studyIdentifier""/></div>"
"f57fb3be-c85c-48f8-b62b-78295bf20363","1.1","NarrativeContent_3","SECTION 1.1","Protocol Synopsis","<div></div>"
"0221bc9f-dab4-45b1-ac84-954d2954f045","1.2","NarrativeContent_4","SECTION 1.2","Trial Schema","<div></div>"
"cd5fa95d-a548-4451-afc3-7bbc426f77db","1.3","NarrativeContent_5","SECTION 1.3","Schedule of Activities","<div></div>"
"b994f524-b2ee-43c5-a89f-d24636b5cf50","2","NarrativeContent_6","SECTION 2","INTRODUCTION","<div></div>"
"d14fd34d-8ec3-4c96-b18d-826908d79928","2.1","NarrativeContent_7","SECTION 2.1","Purpose of Trial","<div></div>"
"ce83d3f0-26c6-4591-873f-3465929962ed","2.2","NarrativeContent_8","SECTION 2.2","Summary of Benefits and Risks","<div></div>"
"ddf9e1c6-a2b2-4d33-9799-95107610e730","3","NarrativeContent_9","SECTION 3","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","<div></div>"
"946d8532-7a8c-4cd8-8dcd-310b835e88ce","3.1","NarrativeContent_10","SECTION 3.1","Primary Objectives","<div><table>
  <tr>
    <th style=""vertical-align: top"">Primary Objective</th>
    <th style=""vertical-align: top"">Primary Endpoint</th>
  </tr>
  <tr>
    <td style=""vertical-align: top""><usdm:ref klass=""Objective"" namexref=""OBJ1"" attribute=""description""/></td>
    <td style=""vertical-align: top""><usdm:ref klass=""Endpoint"" id=""Endpoint_1"" attribute=""description""/></td>
  </tr>
</table></div>"
"f456b629-1181-4908-bc13-ba852a894a67","4","NarrativeContent_11","SECTION 4","TRIAL DESIGN","<div></div>"
"d5f45260-4ed6-45b9-834a-78dfa9559447","4.1","NarrativeContent_12","SECTION 4.1","Description of Trial Design","<div></div>"
"c93f3ded-a0ab-4be9-8490-8bb2d78bf45e","4.1.1","NarrativeContent_13","SECTION 4.1.1","Participant Input into Design","<div></div>"
"437884d5-c23b-46e1-9140-bbc96ccf8932","4.2","NarrativeContent_14","SECTION 4.2","Rationale for Trial Design","<div></div>"
"e4c1692f-e3c5-4fc7-b870-02936cee35ae","4.2.1","NarrativeContent_15","SECTION 4.2.1","Rationale for Comparator","<div></div>"
"f24fa1bd-a446-4249-bce7-88f016c91c34","4.2.2","NarrativeContent_16","SECTION 4.2.2","Rationale for Adaptive or Novel Trial Design","<div></div>"
"d7a68359-6ec4-410e-9e8c-94b840c018f6","4.2.3","NarrativeContent_17","SECTION 4.2.3","Other Trial Design Considerations","<div></div>"
"5c1391bd-cdd0-48ec-94b9-d0ede3b3a1fd","4.3","NarrativeContent_18","SECTION 4.3","Access to Trial Intervention After End of Trial","<div></div>"
"f40a1056-c53b-46f2-ba91-fe1ed27c1d32","4.4","NarrativeContent_19","SECTION 4.4","Start of Trial and End of Trial","<div></div>"
"db5ffca0-3fd3-4015-9a26-9e3c14fb2bac","5","NarrativeContent_20","SECTION 5","TRIAL POPULATION","<div></div>"
"3103a996-b3fe-43f5-b540-793a538f868d","5.1","NarrativeContent_21","SECTION 5.1","Selection of Trial Population","<div></div>"
"f9252450-7608-4260-b1c1-9e917dc19963","5.2","NarrativeContent_22","SECTION 5.2","Rationale for Trial Population","<div></div>"
"46cc29a3-b3c3-4327-a1b2-d61674bb5104","5.3","NarrativeContent_23","SECTION 5.3","Inclusion Criteria","<div><p>Inclusion criteria are:</p>
<ul>
  <li>1. Something</li>
  <li>2. Something else</li>
</ul></div>"
"3de8c90d-2dbb-4739-9770-48ca364ef24b","5.4","NarrativeContent_24","SECTION 5.4","Exclusion Criteria","<div><p>Exclusion criteria are:</p>
<ul>
  <li>1. Dont do this</li>
  <li>2. And don't do that</li>
</ul></div>"
"d7019a08-d7f8-48f3-806c-3425ef57cf57","5.5","NarrativeContent_25","SECTION 5.5","Lifestyle Considerations","<div></div>"
"a0ec5c98-7cb7-4b61-878b-f0f98f39d29f","5.5.1","NarrativeContent_26","SECTION 5.5.1","Meals and Dietary Restrictions","<div></div>"
"cb8672bb-c742-4282-bc38-5bf577ca0cf8","5.5.2","NarrativeContent_27","SECTION 5.5.2","Caffeine, Alcohol, Tobacco, and Other Habits","<div></div>"
"5241863b-c2f1-48e2-8605-59451e2747b0","5.5.3","NarrativeContent_28","SECTION 5.5.3","Physical Activity","<div></div>"
"e0258e77-6bc9-4952-8d2b-08b6858c8218","5.5.4","NarrativeContent_29","SECTION 5.5.4","Other Activity","<div></div>"
"5bb033f1-2ec1-4de5-8c72-255cb40f8764","5.6","NarrativeContent_30","SECTION 5.6","Screen Failures","<div></div>"
"2937c695-50fe-4348-9795-8ff922e7ca6d","6","NarrativeContent_31","SECTION 6","TRIAL INTERVENTION AND CONCOMITANT THERAPY","<div></div>"
"a8e2a637-a293-4fde-bcd0-7f0fad306027","6.1","NarrativeContent_32","SECTION 6.1","Description of Trial Intervention","<div></div>"
"5fc0dc29-d7d3-4ce6-bd73-faadf150be56","6.2","NarrativeContent_33","SECTION 6.2","Rationale for Trial Intervention","<div></div>"
"2d234822-a359-4ad6-a3ae-86538bef3e79","6.3","NarrativeContent_34","SECTION 6.3","Dosing and Administration","<div></div>"
"8c63779f-84cb-4790-8d8d-1c267047eea3","6.3.1","NarrativeContent_35","SECTION 6.3.1","Trial Intervention Dose Modification","<div></div>"
"5a9b901b-639c-40e9-8de4-5108d4b6dd54","6.4","NarrativeContent_36","SECTION 6.4","Treatment of Overdose","<div></div>"
"37c2e373-738f-446a-afac-49f4192852c2","6.5","NarrativeContent_37","SECTION 6.5","Preparation, Handling, Storage and Accountability","<div></div>"
"db89705d-feaa-4e79-a16e-2a237ea8bcd5","6.5.1","NarrativeContent_38","SECTION 6.5.1","Preparation of Trial Intervention","<div></div>"
"ffcf7c32-a1c0-4b27-93fd-cba61a52d485","6.5.2","NarrativeContent_39","SECTION 6.5.2","Handling and Storage of Trial Intervention","<div></div>"
"394ae0b8-e649-48fb-8bee-d9098b3d5183","6.5.3","NarrativeContent_40","SECTION 6.5.3","Accountability of Trial Intervention","<div></div>"
"84ec85bb-5fd4-487c-b978-06fab66fcc48","6.6","NarrativeContent_41","SECTION 6.6","Participant Assignment, Randomisation and Blinding","<div></div>"
"249a72b3-d173-4a7a-9b9b-066832a8897e","6.6.1","NarrativeContent_42","SECTION 6.6.1","Participant Assignment","<div></div>"
"9718e442-7c7c-4e1b-9c80-e2f1979ff1aa","6.6.2","NarrativeContent_43","SECTION 6.6.2","Randomisation","<div></div>"
"514d1d85-1291-48ac-b23c-4441b4715682","6.6.3","NarrativeContent_44","SECTION 6.6.3","Blinding and Unblinding","<div><p>Blinding and unblinding text here please</p></div>"
