"sectionNumber","id","name","text","instanceType","sectionTitle","uuid:ID"
"0","NarrativeContent_1","ROOT","","NarrativeContent","Root","011987ce-e0f4-4e78-a569-bfcb31991083"
"0","NarrativeContent_2","SECTION 0","<div><usdm:section name=""M11-title-page""></div>","NarrativeContent","TITLE PAGE","2a4e1ca8-d852-4328-a37a-66c6a8c9015f"
"1","NarrativeContent_3","SECTION 1","<div></div>","NarrativeContent","PROTOCOL SUMMARY","8bf388a5-665b-489d-9ca5-c893f2dfce86"
"1.1","NarrativeContent_4","SECTION 1.1","<div></div>","NarrativeContent","Protocol Synopsis","47bad2c2-fb6d-49d5-acb1-0ccca4f643a5"
"1.2","NarrativeContent_5","SECTION 1.2","<div></div>","NarrativeContent","Trial Schema","f39fe885-b72b-444c-b052-22238ad32053"
"1.3","NarrativeContent_6","SECTION 1.3","<div></div>","NarrativeContent","Schedule of Activities","51d0eb9a-6b6b-4694-a75e-59526b0ed576"
"2","NarrativeContent_7","SECTION 2","<div></div>","NarrativeContent","INTRODUCTION","32fb51c2-503d-4801-b8ab-8fbd98a757ec"
"2.1","NarrativeContent_8","SECTION 2.1","<div></div>","NarrativeContent","Purpose of Trial","f8ff2df3-cede-4192-8bea-82161edd8185"
"2.2","NarrativeContent_9","SECTION 2.2","<div></div>","NarrativeContent","Summary of Benefits and Risks","a33918a4-a358-43e8-91a6-88983a4b96c1"
"3","NarrativeContent_10","SECTION 3","<div></div>","NarrativeContent","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","3d27ac8f-4b3a-45cb-8bb9-ff74246f3447"
"3.1","NarrativeContent_11","SECTION 3.1","<div><usdm:section name=""M11-objective-endpoints""></div>","NarrativeContent","Primary Objectives","dc6da950-a62c-461f-8423-35a57e8ca8f7"
"4","NarrativeContent_12","SECTION 4","<div></div>","NarrativeContent","TRIAL DESIGN","76883e01-5a4e-4a95-b496-e7947345ea62"
