"id","instanceType","name","text","uuid:ID"
"TransitionRule_1","TransitionRule","ENCOUNTER_START_RULE_1","Subject identifier","183ab0ec-5b78-49f5-a7e5-90e1722f2968"
"TransitionRule_2","TransitionRule","ENCOUNTER_START_RULE_1","completion of screening activities","e7095f17-7527-4e21-9bcc-64c132f7546b"
"TransitionRule_3","TransitionRule","ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine","c61622d9-b17d-49ea-aea4-098919692072"
"TransitionRule_4","TransitionRule","ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed","35a0f220-3fc9-4f08-af8f-c5736be1021d"
"TransitionRule_5","TransitionRule","ENCOUNTER_START_RULE_3","Radomized","ca6287c1-403b-49b9-a5c7-88c62f8469ed"
"TransitionRule_6","TransitionRule","ENCOUNTER_START_RULE_12","End of treatment","8d9b09b1-cc52-4416-bf93-6b1583505350"
"TransitionRule_7","TransitionRule","ELEMENT_START_RULE_1","Informed consent","a58db657-3bae-495a-bc32-a2447bd31298"
"TransitionRule_8","TransitionRule","ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent","74cdc28b-27d4-4630-b10e-9f9b9363009e"
"TransitionRule_9","TransitionRule","ELEMENT_START_RULE_2","Administration of first dose","d128a201-f96f-4af1-98c8-b6081585e087"
"TransitionRule_14","TransitionRule","ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)","ec96513e-85c4-4fa1-9ed3-bdbd4786991f"
"TransitionRule_15","TransitionRule","ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)","b4b4c912-2492-4e35-9813-213fb5f0b762"
"TransitionRule_10","TransitionRule","ELEMENT_START_RULE_3","Administration of first dose","cc3edbc2-eebe-4e23-b7f5-259c0e84fddb"
"TransitionRule_11","TransitionRule","ELEMENT_START_RULE_4","Randomized","4a4abe15-f058-45d8-a7cb-7b8bd963861a"
"TransitionRule_12","TransitionRule","ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)","a74a9567-53fb-4791-a95e-8907908444ce"
"TransitionRule_13","TransitionRule","ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)","4360c5cc-ae72-4258-b725-235a39720fca"
