"value","windowUpper","label","windowLower","id","instanceType","name","window","description","uuid:ID"
"P2W","","Screening","","Timing_1","Timing","TIM1","","Screening timing","0b7822b8-56a6-426f-8aed-66e2597e007d"
"P2D","PT0H","Pre dose","PT4H","Timing_2","Timing","TIM2","-4..0 hours","Pre dose timing","04c1f84e-4e67-4a98-a6d5-0e818dcddfe9"
"P1D","","Dosing","","Timing_3","Timing","TIM3","","Dosing anchor","e21b7a2d-d685-499f-9b23-61b134f3bd62"
"P2W","P3D","Week 2","P3D","Timing_4","Timing","TIM4","-3..3 days","Week 2 timing","166c1359-8f84-4b62-9be9-d94e0c2634dc"
"P4W","P3D","Week 4","P3D","Timing_5","Timing","TIM5","-3..3 days","Week 4 timing","8382cad2-274d-4cb4-863b-24315a972af5"
"P6W","P3D","Week 6","P3D","Timing_6","Timing","TIM6","-3..3 days","Week 6 timing","49509174-d0c0-466b-9296-7b3f2859a969"
"P8W","P3D","Week 8","P3D","Timing_7","Timing","TIM7","-3..3 days","Week 8 timing","47ff3675-50d3-4dd9-a2f1-f7efdbc95d6e"
"P12W","P4D","Week 12","P4D","Timing_9","Timing","TIM9","-4..4 days","Week 12 timing","a9a8c06a-8056-4c49-a8ab-e50dd9f2808f"
"P16W","P4D","Week 16","P4D","Timing_11","Timing","TIM11","-4..4 days","Week 16 timing","0cc8424e-4ad0-467c-8a53-d824f128d2af"
"P20W","P4D","Week 20","P4D","Timing_13","Timing","TIM13","-4..4 days","Week 20 timing","1d2fade1-e4ea-4b53-bcf2-079efcaa5e69"
"P24W","P4D","Week 24","P4D","Timing_15","Timing","TIM15","-4..4 days","Week 24 timing","5de1c655-c461-44b5-bb5b-82030eabfda7"
"P26W","P3D","Week 26","P3D","Timing_16","Timing","TIM16","-3..3 days","Week 26 timing","2ef60626-ddb9-4928-a035-2e79167199ac"
"P2W","","Week 8 Home","","Timing_8","Timing","TIM8","","Week 8 at home timing","96cc6053-bbba-4ea5-9233-306be53a88b0"
"P2W","","Week 12 Home","","Timing_10","Timing","TIM10","","Week 12 at home timing","dcb995fd-44a8-44e0-adea-4f097b42e4a3"
"P2W","","Week 16 Home","","Timing_12","Timing","TIM12","","Week 16 at home timing","cde4d473-b7ba-4fa3-9483-9e28f0371e87"
"P2W","","Week 20 Home","","Timing_14","Timing","TIM14","","Week 20 at home timing","7c403ce1-ffe3-4f9d-90ef-71f5f938a0a3"
"P1D","","Adverse Event","","Timing_17","Timing","TIM17","","Adverse Event","8f6ec869-33ae-4f44-a318-eeba035216e7"
"P1D","","Early Termination","","Timing_18","Timing","TIM18","","Early Termination","058cf29b-8857-47b4-a012-a3b62996d0b8"
"PT0M","","Supine","","Timing_19","Timing","TIM19","","Supine","a81fabb1-c9d9-4780-956a-d5b4d1514da8"
"PT5M","","VS while supine","","Timing_20","Timing","TIM20","","VS while supine","e88fc127-9184-4c70-857d-18ea1a86168e"
"PT0M","","Standing","","Timing_21","Timing","TIM21","","Standing","5c5d6e38-521f-4eb7-a533-f0e768cf6bbb"
"PT1M","","VS while standing","","Timing_22","Timing","TIM22","","VS while standing","f0408ac9-5473-4ab7-8ebc-a1cb99a5ba71"
"PT0M","","Standing","","Timing_23","Timing","TIM23","","Standing","6b1a7d71-63ca-45a7-a64e-2124715fc476"
"PT2M","","VS while standing","","Timing_24","Timing","TIM24","","VS while standing","1039a5d4-8672-4dc5-9e10-8cc3d020e9af"
