"label","id","instanceType","name","description","uuid:ID"
"Screening 1","Encounter_1","Encounter","E1","Screening encounter","cbb74e75-443f-4fa7-9669-6157565e1a87"
"Screening 2","Encounter_2","Encounter","E2","Screening encounter - Ambulatory ECG Placement","2fd8297c-f12e-4d1c-bd6f-ab580f393658"
"Baseline","Encounter_3","Encounter","E3","Baseline encounter - Ambulatory ECG Removal","70f096c4-f1b1-42e1-b63e-cb6b7438ce19"
"Week 2","Encounter_4","Encounter","E4","Day 14","3e24410c-88b3-4d0f-b806-0045c8ac0169"
"Week 4","Encounter_5","Encounter","E5","Day 28","7b93de07-959d-4c8a-b51c-fb5c4043fa20"
"Week 6","Encounter_6","Encounter","E7","Day 42","b4a80275-4412-4988-8c63-82c8223de4d1"
"Week 8","Encounter_7","Encounter","E8","Day 56","8a0bd3f1-c6c2-4011-94a0-c26d0455b8c8"
"Week 12","Encounter_8","Encounter","E9","Day 84","8530d602-d8e3-4ad9-839c-42b754554293"
"Week 16","Encounter_9","Encounter","E10","Day 112","76fdf2d0-66ea-4d6f-89ab-96ab97fc98f5"
"Week 20","Encounter_10","Encounter","E11","Day 140","10dece7e-8eb9-4f72-b38d-003b6bb08a91"
"Week 24","Encounter_11","Encounter","E12","Day 168","a37e3ecf-0717-4a44-a1b7-f484e446357a"
"Week 26","Encounter_12","Encounter","E13","Day 182","024c3e34-cd52-443a-8cf8-2e965df5e8d3"
