"label","id","instanceType","name","description","uuid:ID"
"","Activity_1","Activity","Informed consent","","f3eb50f1-cf6f-4b5a-84a3-d5d8e121dddb"
"","Activity_2","Activity","Inclusion/exclusion criteria","","f2fadc18-1d10-4a30-ac22-79ca32f3d728"
"","Activity_3","Activity","Patient number assigned","","12d35a10-4d17-48d2-84eb-ba8532dfe2ee"
"Demographics","Activity_4","Activity","Demographics","","608af4c8-4d02-4380-9c45-1f442ca49ebc"
"Hachinski","Activity_5","Activity","Hachinski","","695714ab-ada0-429d-b451-28f63672f63d"
"MMSE","Activity_6","Activity","MMSE","","992efe22-396b-4a87-abd2-edc755492d1b"
"","Activity_7","Activity","Physical examination","","ce2e93d9-d528-4077-98eb-59b2cf2dac5f"
"","Activity_8","Activity","Medical history","","cb767468-0e52-420a-a520-ec74cb30029e"
"","Activity_9","Activity","Habits","","1e67eca8-3c97-40b5-b6ed-9718cc69b9f8"
"","Activity_10","Activity","Chest X-ray","","cd8ea314-fd25-4567-8c98-25ee656cb298"
"","Activity_11","Activity","Apo E genotyping","","6735c966-1b87-4f4a-a7c9-a4a83069eea1"
"","Activity_12","Activity","Patient randomised","","8e45b340-26fb-42d9-9cb4-219b23ec0c03"
"Vital Signs and Temperature","Activity_13","Activity","Vital signs / Temperature","","2e270822-2de7-4c3b-93aa-7e5884b38602"
"","Activity_14","Activity","Ambulatory ECG placed","","45a4bbfa-e547-4861-a08d-1f0f99b90615"
"","Activity_15","Activity","Ambulatory ECG removed","","205d37d9-9931-4b18-92a3-1070cd63664a"
"","Activity_16","Activity","ECG","","12a88c65-a496-4ee3-984d-ee15ccb4948d"
"","Activity_17","Activity","Placebo TTS test","","1ee75924-87ec-4c8a-89bc-326cba83dc56"
"","Activity_18","Activity","CT scan","","94248182-5844-45ab-89ea-5b482025701f"
"","Activity_19","Activity","Concomitant medications","","43c3fe15-f027-40fb-8c77-f610942e382d"
"","Activity_20","Activity","Hematology","","53242fd0-84a5-4706-b7d7-3340d2be13ff"
"","Activity_21","Activity","Chemistry","","cbf97b7b-7e1d-4d5d-949b-53c362831ab0"
"","Activity_22","Activity","Uninalysis","","95c461f8-bf46-4423-a6f3-bfc1d216e523"
"","Activity_23","Activity","Plasma Specimen (Xanomeline)","","a3387de6-6531-4155-b595-eca315763df9"
"","Activity_24","Activity","Hemoglobin A1C","","695cbb5c-0da4-480c-80e2-ddb5a7e35604"
"Study drug record , Medications dispensed, Medications returned","Activity_25","Activity","Study drug","","357da85a-c592-4067-9264-703a015d3042"
"","Activity_26","Activity","TTS Acceptability Survey","","dbb63c5d-f20b-4d1c-8789-9fd63f2ad40e"
"","Activity_27","Activity","ADAS-Cog","","f858e91c-1371-4164-88fd-773edd8c10c1"
"","Activity_28","Activity","CIBIC+","","0699bb41-07f2-4da3-9285-ac6c4b621514"
"","Activity_29","Activity","DAD","","80c5d28a-b987-4b10-8116-59dba1af0da1"
"","Activity_30","Activity","NPI-X","","32cd7208-3434-404f-8582-e43488401b0c"
"","Activity_31","Activity","Adverse events","","2a9d20f7-77ce-4d2d-8167-40d978acc464"
"","Activity_32","Activity","Check adverse events","","b11a4bc5-c8b3-41db-8f9a-6a9447abc2dc"
"Subject supine","Activity_33","Activity","Supine","","eed7899e-3378-4af8-bfe9-0d729f0208c5"
"Vital signs while supine","Activity_34","Activity","Vital Signs Supine","","2520e237-97db-41fc-a453-7986ae42347c"
"Subject Standing","Activity_35","Activity","Stand","","24b0a18a-73fe-4cc9-af23-f6b840ebd466"
"Vital signs while standing","Activity_36","Activity","Vital Signs Standing","","537deaff-4f71-40c0-b7c0-ef6a4d4ad2bb"
