"label","uuid:ID","name","id","description","instanceType"
"Screening 1","9acf5861-ae89-45cb-8967-3827af40ce14","E1","Encounter_1","Screening encounter","Encounter"
"Screening 2","3f9e95ae-cf23-42c1-b511-bea37e87c054","E2","Encounter_2","Screening encounter - Ambulatory ECG Placement","Encounter"
"Baseline","8630f7ae-932a-4461-8e4a-e81e90791e26","E3","Encounter_3","Baseline encounter - Ambulatory ECG Removal","Encounter"
"Week 2","06fcb6b9-0eeb-4a09-aa56-a8d460f1a3e9","E4","Encounter_4","Day 14","Encounter"
"Week 4","3b689fd3-1256-4c98-bd56-6e11fe36c262","E5","Encounter_5","Day 28","Encounter"
"Week 6","49189a03-ea13-42e8-9d24-989435a58a64","E7","Encounter_6","Day 42","Encounter"
"Week 8","3deacddf-75d9-4b58-877b-5dc2f47fd4a2","E8","Encounter_7","Day 56","Encounter"
"Week 12","5468e606-46c1-4dd4-98fb-1bad2b11522b","E9","Encounter_8","Day 84","Encounter"
"Week 16","ee6bdce8-6ef7-412c-88ae-0fc060abae0c","E10","Encounter_9","Day 112","Encounter"
"Week 20","6bb6912f-45c4-482a-a20b-feeaf852c983","E11","Encounter_10","Day 140","Encounter"
"Week 24","8a9adef6-c9ef-4aee-9c4d-7984fc2e7ad9","E12","Encounter_11","Day 168","Encounter"
"Week 26","c38afb4e-8717-4db3-943b-380ca116d244","E13","Encounter_12","Day 182","Encounter"
