"label","uuid:ID","name","id","description","instanceType"
"Informed consent","0c9962d2-2e75-46ba-abf7-36e9d6a2971a","Informed consent","Activity_1","","Activity"
"Inclusion and exclusion criteria","6b47b5eb-f2dd-44fb-8037-9f050851a888","Inclusion/exclusion criteria","Activity_2","","Activity"
"Patient number assigned","fd955b33-05bd-4b03-b1e2-1074564a38b4","Patient number assigned","Activity_3","","Activity"
"Demographics","d34da0b3-8e00-450e-a8ff-2b49cf3c18db","Demographics","Activity_4","","Activity"
"Hachinski Ischemic Scale","e9e2129d-eee4-45bb-950b-234f6ca4c940","Hachinski","Activity_5","","Activity"
"MMSE","19244cf8-3799-4555-a418-4203bb8b27dd","MMSE","Activity_6","","Activity"
"Physical examination","cc862508-66d7-459a-96f1-dceb45c4adbe","Physical examination","Activity_7","","Activity"
"Medical history","4ca33a42-4161-4d7d-91dd-e39e26e8f2ff","Medical history","Activity_8","","Activity"
"Habits","9271d4cc-2705-40c4-a96f-0d3a0296f52c","Habits","Activity_9","","Activity"
"Chest X-ray","8b8fd9ea-f4a5-46bc-9427-3124090026c6","Chest X-ray","Activity_10","","Activity"
"Apo E genotyping","84a584f5-786b-423a-a366-baa8acdb7676","Apo E genotyping","Activity_11","","Activity"
"Patient randomised","21b457c3-75f6-4d26-a2b3-565d298a8884","Patient randomised","Activity_12","","Activity"
"Vital Signs and Temperature","6f833af2-b55b-43ea-8ef0-33675d969d4e","Vital signs / Temperature","Activity_13","","Activity"
"Ambulatory ECG placed","b6a9e169-7098-421b-9bdb-0ac082f2ec89","Ambulatory ECG placed","Activity_14","","Activity"
"Ambulatory ECG removed","3bcb90ac-084b-4d48-9e2a-430c47ff33d1","Ambulatory ECG removed","Activity_15","","Activity"
"ECG","87cefc71-f5ca-4c86-ac6d-0eaccb88990b","ECG","Activity_16","","Activity"
"Placebo TTS test","74693768-e1c2-41b8-9c0a-b95c91966b34","Placebo TTS test","Activity_17","","Activity"
"CT scan","f7ac4e41-2674-469c-9f51-7a9111f0990f","CT scan","Activity_18","","Activity"
"Concomitant medications","56ca10c3-7935-470a-8ba8-fecddd090588","Concomitant medications","Activity_19","","Activity"
"Hematology","bb077342-834b-46c7-84ad-7972108d9df9","Hematology","Activity_20","","Activity"
"Chemistry","d9e0936c-1bd1-40df-8763-65fb29aa338f","Chemistry","Activity_21","","Activity"
"Uninalysis","b8b5742e-8db8-4773-9804-3d7f535cd029","Uninalysis","Activity_22","","Activity"
"Plasma Specimen (Xanomeline)","95641acf-fbac-47c7-a784-e747e55e2e2a","Plasma Specimen (Xanomeline)","Activity_23","","Activity"
"Hemoglobin A1C","459f6cad-e0c3-491d-b575-d9d71a5feeeb","Hemoglobin A1C","Activity_24","","Activity"
"Study drug record , Medications dispensed, Medications returned","3277076b-d30d-4fd9-9736-6c9ce5097a92","Study drug","Activity_25","","Activity"
"TTS Acceptability Survey","89a5072f-c812-4dcd-a09c-aca9b70e8b63","TTS Acceptability Survey","Activity_26","","Activity"
"ADAS-Cog","14200130-c82f-41a8-bc68-c0dcc1caa282","ADAS-Cog","Activity_27","","Activity"
"CIBIC+","be0f447b-ad3e-40dd-afe5-aef34d2025df","CIBIC+","Activity_28","","Activity"
"DAD","de698229-3e31-4ec1-a82b-869fe58bb721","DAD","Activity_29","","Activity"
"NPI-X","828dc792-3d3e-4dc7-a5fe-b04069f9afdb","NPI-X","Activity_30","","Activity"
"Adverse events","5ec5c0ec-e0c5-42a5-a402-bc13bb08dd42","Adverse events","Activity_31","","Activity"
"Check adverse events","5d608506-82c4-4fd2-991f-20562f87ad5a","Check adverse events","Activity_32","","Activity"
"Subject supine","f94d1466-a02b-4ff1-bcef-4e4911a0e31e","Supine","Activity_33","","Activity"
"Vital signs while supine","64b8c850-2b33-4fdb-b127-95d9304ef32c","Vital Signs Supine","Activity_34","","Activity"
"Subject Standing","4ed7f83a-55a9-439b-a89a-799cac051267","Stand","Activity_35","","Activity"
"Vital signs while standing","33578dcb-3bae-4548-97e9-fdc5cce58841","Vital Signs Standing","Activity_36","","Activity"
