"label","uuid:ID","name","text","id","description","purpose","instanceType"
"","2b6d5508-0fda-43a8-b412-74356fb75255","END1","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","Endpoint_1","","","Endpoint"
"","a062d07d-75dd-47cd-8322-95363afe60eb","END2","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","Endpoint_2","","","Endpoint"
"","c1bf5c94-5224-444b-afcd-edda2eb52f69","END3","Adverse events","Endpoint_3","","","Endpoint"
"","447994a6-5522-431f-9bb4-bbe81417ca7e","END4","Vital signs (weight, standing and supine blood pressure, heart rate)","Endpoint_4","","","Endpoint"
"","9d33a5fe-d6fd-48b3-b3a7-357b217f9dce","END5","Laboratory evaluations (Change from Baseline)","Endpoint_5","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","","Endpoint"
"","45238da4-5f0d-44fc-8f9e-81bbe2256136","END6","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","Endpoint_6","","","Endpoint"
"","e16d957e-9ae3-4256-a712-25e22d24a4a9","END7","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","Endpoint_7","","","Endpoint"
"","278da92a-3871-4589-b1d9-9adc989321ad","END8","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","Endpoint_8","","","Endpoint"
"","4cd664dd-81d1-4458-9473-37297cca67c6","END9","*** To be determined from protocol ***","Endpoint_9","","","Endpoint"
"","38d4f70c-4699-4263-a898-0b537ff62335","END10","*** To be determined from protocol ***","Endpoint_10","","","Endpoint"
"","3e33554f-742c-4d29-a314-6b48625fe9db","END11","*** To be determined from protocol ***","Endpoint_11","","","Endpoint"
