"label","uuid:ID","windowLabel","name","windowUpper","id","description","value","windowLower","instanceType","valueLabel"
"Screening","ad602eac-6b7e-4014-bad0-fba9e34b9339","","TIM1","","Timing_1","Screening timing","P2W","","Timing","2 weeks"
"Pre dose","c7fcb784-9f15-406f-9c6b-ad1f26ee802c","-4..0 hours","TIM2","PT0H","Timing_2","Pre dose timing","P2D","PT4H","Timing","2 days"
"Dosing","498d683e-c833-4b7f-ab31-0f5d98214576","","TIM3","","Timing_3","Dosing anchor","P1D","","Timing","1 Day"
"Week 2","81701502-15b1-4e7b-83aa-55529dc1ee9c","-3..3 days","TIM4","P3D","Timing_4","Week 2 timing","P2W","P3D","Timing","2 Weeks"
"Week 4","00e9b6d7-55c6-4d87-8c90-794853ee796f","-3..3 days","TIM5","P3D","Timing_5","Week 4 timing","P4W","P3D","Timing","4 Weeks"
"Week 6","5b7d5de0-b145-472d-8c40-3a0310e65791","-3..3 days","TIM6","P3D","Timing_6","Week 6 timing","P6W","P3D","Timing","6 Weeks"
"Week 8","18fd61a6-153d-4cf7-9d71-d91089ad7f4c","-3..3 days","TIM7","P3D","Timing_7","Week 8 timing","P8W","P3D","Timing","8 Weeks"
"Week 12","81d7371d-ccce-44cc-8de2-2dc1a25acb8d","-4..4 days","TIM9","P4D","Timing_9","Week 12 timing","P12W","P4D","Timing","12 Weeks"
"Week 16","39ff816c-6686-40b3-a15e-dc58870c0ad2","-4..4 days","TIM11","P4D","Timing_11","Week 16 timing","P16W","P4D","Timing","16 Weeks"
"Week 20","c6011de4-b111-4275-bf5c-59edfaa77e4e","-4..4 days","TIM13","P4D","Timing_13","Week 20 timing","P20W","P4D","Timing","20 Weeks"
"Week 24","fc5c934f-2887-4bd1-a157-e1ffcd56ae29","-4..4 days","TIM15","P4D","Timing_15","Week 24 timing","P24W","P4D","Timing","24 Weeks"
"Week 26","83d4f046-e55b-4861-89f6-d49e99af7451","-3..3 days","TIM16","P3D","Timing_16","Week 26 timing","P26W","P3D","Timing","26 Weeks"
"Week 8 Home","fc90aae1-d1e7-485a-91d0-bda1bf7a12c0","","TIM8","","Timing_8","Week 8 at home timing","P2W","","Timing","2 Weeks"
"Week 12 Home","f27ba8b5-b073-418a-b5de-6083d8bb8e43","","TIM10","","Timing_10","Week 12 at home timing","P2W","","Timing","2 Weeks"
"Week 16 Home","e6ea4161-58ce-4a35-a2c1-632ddae971c6","","TIM12","","Timing_12","Week 16 at home timing","P2W","","Timing","2 Weeks"
"Week 20 Home","fc4fd92a-7748-49a9-a2ce-92601db83c60","","TIM14","","Timing_14","Week 20 at home timing","P2W","","Timing","2 Weeks"
"Adverse Event","e90276cf-db0d-40c1-87f9-a56f0f665c7b","","TIM17","","Timing_17","Adverse Event","P1D","","Timing","1 Day"
"Early Termination","de1b97c8-2950-4fbb-aa04-be475eaa60ef","","TIM18","","Timing_18","Early Termination","P1D","","Timing","1 Day"
"Supine","96735de1-fa02-42a6-884f-17f87343f4eb","","TIM19","","Timing_19","Supine","PT0M","","Timing","0 mins"
"VS while supine","56fcb672-74fb-43e2-894b-34c7bebd8352","","TIM20","","Timing_20","VS while supine","PT5M","","Timing","5 mins"
"Standing","869f1112-6ad9-4821-9c15-ea7c839e358d","","TIM21","","Timing_21","Standing","PT0M","","Timing","0 min"
"VS while standing","f714121d-4690-484a-8b6f-be6a3f80fc15","","TIM22","","Timing_22","VS while standing","PT1M","","Timing","1 min"
"Standing","649534fb-80ab-45b0-acbf-2ab916a73666","","TIM23","","Timing_23","Standing","PT0M","","Timing","0 min"
"VS while standing","fc3c9bcc-cf6b-4282-8aff-fbed77404b9a","","TIM24","","Timing_24","VS while standing","PT2M","","Timing","2 min"
