"uuid:ID","name","text","id","instanceType"
"6be4c402-f084-402e-8016-0d0e99e2eace","ENCOUNTER_START_RULE_1","Subject identifier","TransitionRule_1","TransitionRule"
"a2c1e245-d85b-46bd-94c6-1db0b4d56af9","ENCOUNTER_START_RULE_1","completion of screening activities","TransitionRule_2","TransitionRule"
"8b794d87-6cf5-484a-b066-dedd0195c2a7","ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule_3","TransitionRule"
"cfd37251-2e72-4973-9900-3abb6e3e1edf","ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed","TransitionRule_4","TransitionRule"
"4f22b591-d370-455d-aa9b-fa440d87586c","ENCOUNTER_START_RULE_3","Radomized","TransitionRule_5","TransitionRule"
"ae2fc72e-e3f9-423f-93a6-bb679f752607","ENCOUNTER_START_RULE_12","End of treatment","TransitionRule_6","TransitionRule"
"4b5c21d8-a160-448a-8c4d-1c3a7467675b","ELEMENT_START_RULE_1","Informed consent","TransitionRule_7","TransitionRule"
"cf4366bd-9ed9-4d77-895b-7c3d37e62d01","ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule_8","TransitionRule"
"6d883eeb-8986-4864-a73e-dffebfcc8f12","ELEMENT_START_RULE_2","Administration of first dose","TransitionRule_9","TransitionRule"
"5ad277c6-22b2-4624-b535-001b3c986e15","ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)","TransitionRule_14","TransitionRule"
"aa854b7b-72d7-4058-9446-a7bc7ea1089e","ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule_15","TransitionRule"
"03334819-2dc9-4c62-9817-cd97689a9636","ELEMENT_START_RULE_3","Administration of first dose","TransitionRule_10","TransitionRule"
"2649beba-a1c1-4c0b-8f33-7726b3bb5c7d","ELEMENT_START_RULE_4","Randomized","TransitionRule_11","TransitionRule"
"d51a66f7-c59a-4be5-9ebe-3f68a1bba627","ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)","TransitionRule_12","TransitionRule"
"5816d97d-d095-4127-97fc-a8762e1a09ac","ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)","TransitionRule_13","TransitionRule"
