"label","uuid:ID","name","id","description","instanceType"
"Screen One","c60baa13-d472-4043-8a7b-225dd867f585","SCREEN1","ScheduledActivityInstance_9","-","ScheduledActivityInstance"
"Screen Two","49d5be38-efe7-43e2-aae4-248d3be66ee5","SCREEN2","ScheduledActivityInstance_10","-","ScheduledActivityInstance"
"Dose","fc4abfb1-8178-43b9-86b0-8045df1f1369","DOSE","ScheduledActivityInstance_11","-","ScheduledActivityInstance"
"Week 2","9ccc0568-7ed0-4163-b8a0-e2657ceac721","WK2","ScheduledActivityInstance_12","-","ScheduledActivityInstance"
"Week 4","b4152746-b3b9-401f-8c48-ff9b8d5255b1","WK4","ScheduledActivityInstance_13","-","ScheduledActivityInstance"
"Week 6","cc0afa1f-beda-4566-abea-013693babf46","WK6","ScheduledActivityInstance_14","-","ScheduledActivityInstance"
"Week 8","9e94a866-475d-4656-8ee1-373cd5644a08","WK8","ScheduledActivityInstance_15","-","ScheduledActivityInstance"
"Week NPI","ac38e75e-0e5a-484e-9c87-0a404a68b5eb","WK8N","ScheduledActivityInstance_16","-","ScheduledActivityInstance"
"Week 12","5ecede91-16dc-4081-85f2-9fa63b6049e1","WK12","ScheduledActivityInstance_17","-","ScheduledActivityInstance"
"Week 12 NPI","2161448f-2a8f-4c45-b686-7ed749b18d42","WK12N","ScheduledActivityInstance_18","-","ScheduledActivityInstance"
"Week 16","67f2b8b7-93f6-4fc1-9ecd-4034429c9f7e","WK16","ScheduledActivityInstance_19","-","ScheduledActivityInstance"
"Week 16 NPI","6cca47b0-b1d0-48a4-adf0-e111879ff542","WK16N","ScheduledActivityInstance_20","-","ScheduledActivityInstance"
"Week 20","a115528f-94cb-4c93-82de-606e04567faf","WK20","ScheduledActivityInstance_21","-","ScheduledActivityInstance"
"Week 20 NPI","83722623-0e6d-4e60-895e-e5628fe0ef86","WK20N","ScheduledActivityInstance_22","-","ScheduledActivityInstance"
"Week 24","dc300918-a7cf-49a5-9aa0-71783c58a23b","WK24","ScheduledActivityInstance_23","-","ScheduledActivityInstance"
"Week 26","30c4f161-629e-4e3e-9169-684d56fbb265","WK26","ScheduledActivityInstance_24","-","ScheduledActivityInstance"
"Adevers Event","3e6801e0-b445-48b4-8109-4685b0b7bab9","AE","ScheduledActivityInstance_1","-","ScheduledActivityInstance"
"Early Termination","6df15ef8-cf0d-4c7e-a5ed-4230007d099c","ET","ScheduledActivityInstance_2","-","ScheduledActivityInstance"
"5 minute supine","26c4350a-8583-4cc1-b36d-19397d2a3832","VS_5MIN","ScheduledActivityInstance_3","","ScheduledActivityInstance"
"Vital signs supine","c67df24e-d26a-40d3-aef0-868f1e467bae","VS_SUPINE","ScheduledActivityInstance_4","","ScheduledActivityInstance"
"1 minute standing","5ebd26ae-6b07-4455-8c04-7188647a3f1f","VS_1MIN","ScheduledActivityInstance_5","","ScheduledActivityInstance"
"Vital signs after 1 min standing","d9ed0bff-2b5a-4672-944b-042b63c93cf3","VS_STAND1","ScheduledActivityInstance_6","","ScheduledActivityInstance"
"2 minute standing","508b89ee-298f-4bb3-ac78-316730670c8a","VS_2MIN","ScheduledActivityInstance_7","","ScheduledActivityInstance"
"Vital signs after 3 min standing","cf2699a4-eabf-4fe1-a051-9c027c8df360","VS_STAND3","ScheduledActivityInstance_8","","ScheduledActivityInstance"
