"label","uuid:ID","synonyms","name","id","reference","instanceType"
"Informed Consent Obtained","a3fc5676-0da1-4329-bf1f-8ddcdf13b888","['Informed Consent Obtained', 'Informed Consent']","Informed Consent Obtained","BiomedicalConcept_20","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","BiomedicalConcept"
"Sex","2db8061c-e453-4506-bf82-865cfbd62817","","Sex","BiomedicalConcept_21","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","BiomedicalConcept"
"Race","da8cf254-fcf1-46be-80fe-3a3719e83d5c","['Racial Group']","Race","BiomedicalConcept_22","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","BiomedicalConcept"
"Temperature","d2d0f101-222f-4e7c-b02f-492a79a9f639","['Temperature', 'Body Temperature']","Temperature","BiomedicalConcept_23","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept"
"Weight","c193474d-de8d-4743-b80d-d3e4a515bbb6","['Weight', 'Body Weight']","Weight","BiomedicalConcept_24","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept"
"Height","c5d0b6f5-3784-4a4a-8993-82e5fe526c14","['Height', 'Body Height']","Height","BiomedicalConcept_25","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept"
"Alanine Aminotransferase Concentration in Serum/Plasma","78c401e0-1257-4953-a7c6-ec28bcb4eb98","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_26","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept"
"Albumin Presence in Urine","df1d5e18-6b72-4785-9a57-0ee1ea10e948","['Albumin', 'Albumin Measurement']","Albumin Presence in Urine","BiomedicalConcept_27","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept"
"Alkaline Phosphatase Concentration in Serum/Plasma","e2fe5a32-d28d-4e20-97e7-fef17c05de81","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_28","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept"
"Aspartate Aminotransferase in Serum/Plasma","2a19eccb-f55b-442a-8ea2-42a508d6399f","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_29","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept"
"Creatinine Concentration in Urine","8dba307b-0662-4d2a-b7bf-e7c960860ec0","['Creatinine', 'Creatinine Measurement']","Creatinine Concentration in Urine","BiomedicalConcept_30","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept"
