"code","codeSystemVersion","instanceType","uuid:ID","codeSystem","decode","id"
"C98388","2023-12-15","Code","6a7be36f-c0d0-464d-830d-2090e2ad17b3","http://www.cdisc.org","Interventional Study","Code_1"
"C15601","2023-12-15","Code","cd946afd-26e3-4a14-ac36-8f4354e721fb","http://www.cdisc.org","Phase II Trial","Code_2"
"C132352","2023-12-15","Code","5b749a8d-246a-4992-8918-89ed6b29b7fa","http://www.cdisc.org","Sponsor Approval Date","Code_9"
"C68846","2023-12-15","Code","960134fb-acfb-4f78-b9f1-e0c2227d955e","http://www.cdisc.org","Global","Code_10"
"C99904x3","2023-12-15","Code","eb0fcc6b-9ff8-44b4-a5e5-987bddd23dad","http://www.cdisc.org","IRB/IEC Feedback","Code_72"
"C17649","2023-12-15","Code","c21ab2ca-5384-4983-af11-c3f89e1b0882","http://www.cdisc.org","Other","Code_73"
"C41129","2023-12-15","Code","cfb4d9da-e5e8-4974-9f1b-7acf696a0d5e","http://www.cdisc.org","Region","Code_75"
"150","2020-08","Code","575089e6-bc17-4726-90ed-e815009938ba","ISO 3166 1 alpha3","Europe","Code_74"
"PHARMA","12","Code","c31d66b2-f264-4642-9a8a-5f4724ce31d8","SPONSOR","Eli Lilly","Code_4"
"C70793","2023-12-15","Code","5b3f1454-178e-4227-b391-cbb74b5efa77","http://www.cdisc.org","Clinical Study Sponsor","Code_76"
"USA","2020-08","Code","91612cf2-e33f-4321-89f3-406eec04c9e7","ISO 3166 1 alpha3","United States of America","Code_77"
"C93453","2023-12-15","Code","129140c0-12e2-48e3-ae0d-198536c653b1","http://www.cdisc.org","Study Registry","Code_78"
"USA","2020-08","Code","54b7acb7-eb56-4fab-8f64-87111b45c96f","ISO 3166 1 alpha3","United States of America","Code_79"
"C49656","2023-12-15","Code","23f30a2a-a0af-42f3-aa4a-fe857bfd83a4","http://www.cdisc.org","Treatment Study","Code_137"
"C49666","2023-12-15","Code","0b160239-7974-45f8-95a7-f5daa5482baf","http://www.cdisc.org","Efficacy Study","Code_138"
"C49667","2023-12-15","Code","0d956214-cba5-40d6-b380-a5a2d64a4be7","http://www.cdisc.org","Safety Study","Code_139"
"C49663","2023-12-15","Code","4c89b1f3-960c-455a-a6d7-97a874dbfce3","http://www.cdisc.org","Pharmacokinetic Study","Code_140"
"MILD_MOD_ALZ","12","Code","99fedf86-2ab5-47dc-81bc-846c6981af3c","SPONSOR","Mild to Moderate Alzheimer's Disease","Code_134"
"26929004","January 31, 2018","Code","3e6c44ad-35a1-46fc-b933-53e0501781f7","SNOMED","Alzheimer's disease","Code_135"
"C99907x1","2023-12-15","Code","b6087847-20af-463d-8dd7-895b222b15f6","http://www.cdisc.org","EXTENSION","Code_143"
"C98704","2023-12-15","Code","8a8f20dd-64b7-4029-924a-790ed9e2aec5","http://www.cdisc.org","ADAPTIVE","Code_144"
"C82639","2023-12-15","Code","4825af76-f738-43ab-a6be-dfec79810330","http://www.cdisc.org","Parallel Study","Code_141"
"C25716","2023-12-15","Code","871f0922-7128-498f-84d8-668f1869a75e","http://www.cdisc.org","Visit","Code_83"
"C51282","2023-12-15","Code","bfc37654-d1d0-4f75-86c6-a1d72ab89414","http://www.cdisc.org","Clinic","Code_84"
"C175574","2023-12-15","Code","43535f32-cc49-4bf3-9770-1c845fa9dd08","http://www.cdisc.org","In Person","Code_85"
"C25716","2023-12-15","Code","d562a925-961a-46ec-a34b-f85fee7633dc","http://www.cdisc.org","Visit","Code_86"
"C51282","2023-12-15","Code","1d54c4e4-cf13-44fa-859c-fa365da36745","http://www.cdisc.org","Clinic","Code_87"
"C175574","2023-12-15","Code","d7c23f5a-4211-4f7a-a12b-905f66cbb635","http://www.cdisc.org","In Person","Code_88"
"C25716","2023-12-15","Code","26768439-782b-4851-8b6c-e40a9fa1711f","http://www.cdisc.org","Visit","Code_89"
"C51282","2023-12-15","Code","a0797c63-720e-4e7f-9f7f-7c71525baa21","http://www.cdisc.org","Clinic","Code_90"
"C175574","2023-12-15","Code","f623dd44-ea86-477b-8a84-86736d41bd85","http://www.cdisc.org","In Person","Code_91"
"C25716","2023-12-15","Code","f8fe24ae-5a34-4260-8048-8253faa5b7cc","http://www.cdisc.org","Visit","Code_92"
"C51282","2023-12-15","Code","13c37acb-a920-4f01-8ece-281165b9c1ce","http://www.cdisc.org","Clinic","Code_93"
"C175574","2023-12-15","Code","9f717472-c4d0-4a80-bf4d-f32b6e137df1","http://www.cdisc.org","In Person","Code_94"
"C25716","2023-12-15","Code","15a49cba-2d5a-44d0-a904-1ff338eb9cba","http://www.cdisc.org","Visit","Code_95"
"C51282","2023-12-15","Code","0d0475d1-0fcf-4dde-b0dd-a83a04380e8c","http://www.cdisc.org","Clinic","Code_96"
"C175574","2023-12-15","Code","6aca04b3-09ad-4f5b-a8a0-2445e0dff2b1","http://www.cdisc.org","In Person","Code_97"
"C25716","2023-12-15","Code","3ba3f4d1-ae15-4719-bb3d-36c752596a50","http://www.cdisc.org","Visit","Code_98"
"C51282","2023-12-15","Code","ee4eb8c1-2492-430f-b165-57ab13177cac","http://www.cdisc.org","Clinic","Code_99"
"C175574","2023-12-15","Code","cb3a9462-e5cd-4798-8f39-b41c2bcb96db","http://www.cdisc.org","In Person","Code_100"
"C25716","2023-12-15","Code","2c8101fd-bd3e-4210-98e7-e3dfa1471bfa","http://www.cdisc.org","Visit","Code_101"
"C51282","2023-12-15","Code","b1b6d819-5c5b-416b-a7e3-2e486d00ed38","http://www.cdisc.org","Clinic","Code_102"
"C175574","2023-12-15","Code","29c38adb-c564-4a63-b10d-2e608fca2872","http://www.cdisc.org","In Person","Code_103"
"C171537","2023-12-15","Code","4c29bc21-326d-4cf4-acec-c25c37c1c4ed","http://www.cdisc.org","Telephone Call","Code_104"
"C25716","2023-12-15","Code","daaa04fa-ecc2-4830-9342-c91e79d8f270","http://www.cdisc.org","Visit","Code_105"
