"windowLabel","valueLabel","value","description","instanceType","name","uuid:ID","windowLower","windowUpper","label","id"
"","2 weeks","P2W","Screening timing","Timing","TIM1","ebd764aa-39e4-4bd6-811f-cdca656c84f5","","","Screening","Timing_1"
"-4..0 hours","2 days","P2D","Pre dose timing","Timing","TIM2","91e59e2b-8785-4dc9-a65b-1369d09f9fc4","PT4H","PT0H","Pre dose","Timing_2"
"","1 Day","P1D","Dosing anchor","Timing","TIM3","342b0fac-462d-4e1f-a57e-8fedd4406735","","","Dosing","Timing_3"
"-3..3 days","2 Weeks","P2W","Week 2 timing","Timing","TIM4","d265dc56-fcef-4625-b7ee-29f4bf306fe8","P3D","P3D","Week 2","Timing_4"
"-3..3 days","4 Weeks","P4W","Week 4 timing","Timing","TIM5","c5064668-05ce-4414-8e9c-1bbd6cd47ee8","P3D","P3D","Week 4","Timing_5"
"-3..3 days","6 Weeks","P6W","Week 6 timing","Timing","TIM6","ab9e017f-756b-4adb-9294-2caf4cbc2264","P3D","P3D","Week 6","Timing_6"
"-3..3 days","8 Weeks","P8W","Week 8 timing","Timing","TIM7","1d52b716-9a03-417e-a6c1-114326e8e0ed","P3D","P3D","Week 8","Timing_7"
"-4..4 days","12 Weeks","P12W","Week 12 timing","Timing","TIM9","6dd061df-9a51-45da-adbe-e1b992a85a90","P4D","P4D","Week 12","Timing_9"
"-4..4 days","16 Weeks","P16W","Week 16 timing","Timing","TIM11","09347f10-09b0-4ee9-80eb-a95f55e93122","P4D","P4D","Week 16","Timing_11"
"-4..4 days","20 Weeks","P20W","Week 20 timing","Timing","TIM13","336eb217-5be2-486a-82f0-7d3c3f929ed3","P4D","P4D","Week 20","Timing_13"
"-4..4 days","24 Weeks","P24W","Week 24 timing","Timing","TIM15","429571fd-40c8-452d-bd57-0c7fd966785b","P4D","P4D","Week 24","Timing_15"
"-3..3 days","26 Weeks","P26W","Week 26 timing","Timing","TIM16","f8ae4c77-6254-4e70-a65d-a3d1cb93a183","P3D","P3D","Week 26","Timing_16"
"","2 Weeks","P2W","Week 8 at home timing","Timing","TIM8","2b7727c5-bf0d-4e0d-9aba-ae7d12f0472b","","","Week 8 Home","Timing_8"
"","2 Weeks","P2W","Week 12 at home timing","Timing","TIM10","3af798f2-a05f-489e-9f75-0d468d4262cf","","","Week 12 Home","Timing_10"
"","2 Weeks","P2W","Week 16 at home timing","Timing","TIM12","2764b4e9-ac71-46e3-a0dc-36af50fc59e0","","","Week 16 Home","Timing_12"
"","2 Weeks","P2W","Week 20 at home timing","Timing","TIM14","65326119-68be-40f5-9ab3-533a5be142bc","","","Week 20 Home","Timing_14"
"","1 Day","P1D","Adverse Event","Timing","TIM17","606c51e4-df28-47e2-9fea-11a419a9367d","","","Adverse Event","Timing_17"
"","1 Day","P1D","Early Termination","Timing","TIM18","3587934d-eeb6-49d0-af30-f475d6883e4c","","","Early Termination","Timing_18"
"","0 mins","PT0M","Supine","Timing","TIM19","035f16d2-faa7-48b2-9bd9-037962a284ff","","","Supine","Timing_19"
"","5 mins","PT5M","VS while supine","Timing","TIM20","9831dcf7-89e3-4008-a4d8-f47da861cc8f","","","VS while supine","Timing_20"
"","0 min","PT0M","Standing","Timing","TIM21","0c16ca45-8713-48f8-b471-8a9e81777923","","","Standing","Timing_21"
"","1 min","PT1M","VS while standing","Timing","TIM22","ddd58b85-eb1e-4627-ab3d-9c2ca7f374a1","","","VS while standing","Timing_22"
"","0 min","PT0M","Standing","Timing","TIM23","c1b60d98-7528-4c73-8348-1a7c16d1f888","","","Standing","Timing_23"
"","2 min","PT2M","VS while standing","Timing","TIM24","799be294-3380-4a63-89c7-5d4d1129e952","","","VS while standing","Timing_24"
