"description","instanceType","name","uuid:ID","label","id"
"","Activity","Informed consent","10c11e99-8af4-4724-b51a-202a45e1912d","Informed consent","Activity_1"
"","Activity","Inclusion/exclusion criteria","c1a0718e-3a73-4570-809f-9da90468f68c","Inclusion and exclusion criteria","Activity_2"
"","Activity","Patient number assigned","49846f61-61d6-4145-aaea-fa7e39b60a53","Patient number assigned","Activity_3"
"","Activity","Demographics","02ba0f33-38de-4984-b487-1b4e230961c6","Demographics","Activity_4"
"","Activity","Hachinski","5b5fc6c7-142f-48d8-85d3-effe476a416a","Hachinski Ischemic Scale","Activity_5"
"","Activity","MMSE","79871996-2f0b-4115-9c45-dd9c78ae03fc","MMSE","Activity_6"
"","Activity","Physical examination","eb8fd733-84ca-4b78-b4ae-80dbe327c9dd","Physical examination","Activity_7"
"","Activity","Medical history","5b5df8da-c74b-42e8-9586-fc01ac0fc2bc","Medical history","Activity_8"
"","Activity","Habits","168ccdbc-2377-4b02-a7dd-edeff9d67567","Habits","Activity_9"
"","Activity","Chest X-ray","a5366835-c202-4b3a-bfd4-2c8354ede910","Chest X-ray","Activity_10"
"","Activity","Apo E genotyping","27dc5865-6a9a-4218-9d6a-c804ace855bf","Apo E genotyping","Activity_11"
"","Activity","Patient randomised","c69f53b6-aabe-477b-b992-a5b44cf8a8d7","Patient randomised","Activity_12"
"","Activity","Vital signs / Temperature","3ab2d81a-6f51-4a28-9e23-18402bcdbb89","Vital Signs and Temperature","Activity_13"
"","Activity","Ambulatory ECG placed","8439a934-1c80-469f-a488-6e0ff86eba98","Ambulatory ECG placed","Activity_14"
"","Activity","Ambulatory ECG removed","1c3faf6d-c71a-42cc-bd9c-c742310a5cb7","Ambulatory ECG removed","Activity_15"
"","Activity","ECG","12050199-af8e-4d87-b1da-890d30056c85","ECG","Activity_16"
"","Activity","Placebo TTS test","d81cc373-1a4a-49ad-b45a-e3bdecae50b1","Placebo TTS test","Activity_17"
"","Activity","CT scan","b00c6923-f15f-4d60-9ac0-f535ae484e29","CT scan","Activity_18"
"","Activity","Concomitant medications","f3887a4b-1b07-4ab0-b483-135e93458f8d","Concomitant medications","Activity_19"
"","Activity","Hematology","178745de-e77b-4cfc-9ea1-6ba7f2b6eae4","Hematology","Activity_20"
"","Activity","Chemistry","1954d876-360d-4414-a006-6b94bce69b88","Chemistry","Activity_21"
"","Activity","Uninalysis","b4df74a9-a899-4f5a-84c6-8df29368f85e","Uninalysis","Activity_22"
"","Activity","Plasma Specimen (Xanomeline)","5ea55e41-5200-4c93-a522-618bf961dff5","Plasma Specimen (Xanomeline)","Activity_23"
"","Activity","Hemoglobin A1C","f531f52e-d1a7-4e1c-b18a-4b54c26a6e74","Hemoglobin A1C","Activity_24"
"","Activity","Study drug","3189bda8-15c1-4645-9651-d3290d13331a","Study drug record , Medications dispensed, Medications returned","Activity_25"
"","Activity","TTS Acceptability Survey","dd252c50-f16f-40fc-bd34-7dacb0a39d47","TTS Acceptability Survey","Activity_26"
"","Activity","ADAS-Cog","74b0f9f7-00b2-4ff9-9000-a9aa079be7f3","ADAS-Cog","Activity_27"
"","Activity","CIBIC+","0789864a-1aff-4393-a856-90ea39537bda","CIBIC+","Activity_28"
"","Activity","DAD","22514955-1d10-4b7c-9a0f-3c7db4cf67d9","DAD","Activity_29"
"","Activity","NPI-X","64bac843-0432-446d-bb15-a5312a45fc1b","NPI-X","Activity_30"
"","Activity","Adverse events","1315a158-6561-48db-8769-f27a4b426b24","Adverse events","Activity_31"
"","Activity","Check adverse events","92b5db23-a410-4446-b48d-568ef4b16686","Check adverse events","Activity_32"
"","Activity","Supine","f93b8c77-367b-41a6-84fd-90f286856250","Subject supine","Activity_33"
"","Activity","Vital Signs Supine","bf1eb0b1-7c67-481d-a9b8-2bd517b4a3c3","Vital signs while supine","Activity_34"
"","Activity","Stand","69232861-83c9-42f6-b388-c952c59cfb66","Subject Standing","Activity_35"
"","Activity","Vital Signs Standing","65143766-50c2-4a2f-92ca-7960b3d33bfc","Vital signs while standing","Activity_36"
