"purpose","description","instanceType","name","uuid:ID","label","text","id"
"","","Endpoint","END1","841c21c9-9c3c-4e70-8042-fff795e62188","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","Endpoint_1"
"","","Endpoint","END2","84a6128f-b2d0-4d44-82c6-da52d2a48d3d","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","Endpoint_2"
"","","Endpoint","END3","af790a34-2077-43b2-b797-514d10a1fb1f","","Adverse events","Endpoint_3"
"","","Endpoint","END4","91970d1a-965b-4573-af39-23105f384564","","Vital signs (weight, standing and supine blood pressure, heart rate)","Endpoint_4"
"","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Endpoint","END5","8237ec87-d6a7-4660-a329-e32857048694","","Laboratory evaluations (Change from Baseline)","Endpoint_5"
"","","Endpoint","END6","217e11b4-16d2-4386-b055-040b10e91dcc","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","Endpoint_6"
"","","Endpoint","END7","5b883a09-9a57-4d64-9e85-530ad7c64d07","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","Endpoint_7"
"","","Endpoint","END8","e06dcbfc-b3ff-474d-8f53-7eeb7d5358f3","","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","Endpoint_8"
"","","Endpoint","END9","ba7c5cb4-61ed-42b6-b59e-0a01d73d5cbe","","*** To be determined from protocol ***","Endpoint_9"
"","","Endpoint","END10","761e4d42-668b-48da-a57a-622cdd61c042","","*** To be determined from protocol ***","Endpoint_10"
"","","Endpoint","END11","e321e170-9c5e-496d-b369-650f41a6e82c","","*** To be determined from protocol ***","Endpoint_11"
