"id","uuid:ID","name","text","instanceType"
"TransitionRule_1","df85a0f8-cc4d-4f13-8b17-d74802f78594","ENCOUNTER_START_RULE_1","Subject identifier","TransitionRule"
"TransitionRule_2","ed8e8a78-1e02-4075-8024-b1a03a76f4dd","ENCOUNTER_START_RULE_1","completion of screening activities","TransitionRule"
"TransitionRule_3","3933006b-b5e7-46ca-8d8d-a709e5231f32","ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule"
"TransitionRule_4","8a0d9283-31bd-4120-89dc-4bb1a1b03ebc","ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed","TransitionRule"
"TransitionRule_5","791f39a9-f46d-42c3-949e-8954a4acf6a7","ENCOUNTER_START_RULE_3","Radomized","TransitionRule"
"TransitionRule_6","a1598a45-a626-4e27-81bf-9312b8322d64","ENCOUNTER_START_RULE_12","End of treatment","TransitionRule"
"TransitionRule_7","dfd8131d-f17a-4bf4-bfef-6af79d4114ed","ELEMENT_START_RULE_1","Informed consent","TransitionRule"
"TransitionRule_8","815c034f-d484-4164-a6b9-e1ba8e097b14","ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule"
"TransitionRule_9","c02b10f0-bb75-49db-b3ee-cf409fc555fb","ELEMENT_START_RULE_2","Administration of first dose","TransitionRule"
"TransitionRule_14","a2ace9be-e205-4d96-970d-f5178a5b0af9","ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)","TransitionRule"
"TransitionRule_15","c0579b99-3694-49e0-916d-3a611c8ee078","ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule"
"TransitionRule_10","ce04254e-5b17-47f8-81c1-e813346f14b8","ELEMENT_START_RULE_3","Administration of first dose","TransitionRule"
"TransitionRule_11","3593310a-7e29-4017-984f-ebe6c3924aa0","ELEMENT_START_RULE_4","Randomized","TransitionRule"
"TransitionRule_12","c65dfd92-7809-4ad8-832a-3f156fe62181","ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)","TransitionRule"
"TransitionRule_13","069f89ba-8d8c-4940-8785-e648891b04d3","ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)","TransitionRule"
