"label","description","name","uuid:ID","id","text"
"","","ENCOUNTER_START_RULE_1","8edb85e4-a3d1-4e4d-9428-6de060eabe27","TransitionRule_1","Subject identified"
"","","ENCOUNTER_START_RULE_1","b558c478-ba9b-4880-811d-fa75f6ccec43","TransitionRule_2","IEs passed"
"","","ENCOUNTER_START_RULE_3","2af43c5c-9f06-4cdd-8bd0-df16fd164dec","TransitionRule_3","Radomized"
"","","ELEMENT_START_RULE_1","22cf9c86-b782-4804-8b4a-e671ce2bb771","TransitionRule_4","Study Start"
"","","ELEMENT_END_RULE_1","1c0a18ed-a0d7-4296-9926-b604eb63fc9e","TransitionRule_5","Screened"
"","","ELEMENT_START_RULE_2","bf5272f9-d8df-46cf-b124-c7efd29ca633","TransitionRule_6","Screened"
"","","ELEMENT_END_RULE_2","032a3589-ae3e-463a-a7c7-575a11be87f4","TransitionRule_7","Radomized"
"","","ELEMENT_START_RULE_3","d7713455-1f61-4cd6-8fde-9ac4d825dd83","TransitionRule_8","Radomized"
"","","ELEMENT_END_RULE_3","c517ce5c-0dc9-48e1-a4ca-39508dec6628","TransitionRule_9","Completed treatment 1"
"","","ELEMENT_START_RULE_5","eded32e1-f4dd-4d4c-86b5-2379cb640e1a","TransitionRule_12","Radomized"
"","","ELEMENT_END_RULE_5","99ddd105-8c54-411a-a543-0c4778da70ec","TransitionRule_13","Completed treatment 2"
"","","ELEMENT_START_RULE_4","68fda500-ae1f-4d8d-8996-5368a696dbf4","TransitionRule_10","Treated"
"","","ELEMENT_END_RULE_4","053d1553-5e3c-4712-9967-ccbcb21a0483","TransitionRule_11","Leave Study"
