"id:ID","uuid","name","label","bcSynonyms","id","bcReference"
"690","71893af5-19d6-4ac7-a523-6184d860be9e","Body Temperature","Body Temperature","['Temperature']","BiomedicalConcept_18","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446"
"691","e87a7435-8c00-4cc1-a19d-b5af8f351536","Body Weight","Body Weight","['Weight']","BiomedicalConcept_19","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328"
"692","c5dff8f9-8d39-4ed3-8021-de8f866aa006","Body Height","Body Height","['Height']","BiomedicalConcept_20","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634"
"693","0ca0f2d4-622a-4b5e-a154-2a268bce9246","Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement","['ALT', 'SGPT']","BiomedicalConcept_21","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433"
"694","c32d7828-5127-44f6-bd9b-0e51c443bd4e","Albumin Measurement","Albumin Measurement","['Albumin']","BiomedicalConcept_22","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431"
"695","807e811a-290f-4ef6-ae49-16c45ab19325","Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","BiomedicalConcept_23","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432"
"696","038f2d76-a9f8-479c-9e5b-2961c5451d30","Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement","['AST', 'SGOT']","BiomedicalConcept_24","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467"
"697","71274af3-1603-4ae6-b95b-de03fb8def60","Creatinine Measurement","Creatinine Measurement","['Creatinine']","BiomedicalConcept_25","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547"
"698","77daf396-413d-4327-b677-70d6ebede5f1","Potassium Measurement","Potassium Measurement","['Potassium', 'K']","BiomedicalConcept_26","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853"
"699","123be47d-1be4-42ea-9f4f-556e6b4cced9","Sodium Measurement","Sodium Measurement","['Sodium', 'NA']","BiomedicalConcept_27","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809"
"700","c4bbfddd-3f72-4b76-838f-5fdfcbec09fe","Adverse Event","Adverse Event","['Adverse Event Reported Term', 'AETERM']","BiomedicalConcept_1","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331"
"701","aa24941a-c333-4dfa-8255-3c51775edb85","Systolic Blood Pressure","Systolic Blood Pressure","['SYSBP']","BiomedicalConcept_2","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298"
"702","ef342361-68ce-4b77-bcb6-1fb5a3f8eaf9","Diastolic Blood Pressure","Diastolic Blood Pressure","['DIABP']","BiomedicalConcept_3","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299"
"703","04f5395e-6b02-418e-b22e-5a804a56382c","Body Temperature","Body Temperature","['Temperature']","BiomedicalConcept_4","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446"
"704","34c4e376-6eea-44e9-9bc3-86abfb1ad406","Body Weight","Body Weight","['Weight']","BiomedicalConcept_5","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328"
"705","884f0063-a888-4707-a04d-126b5904d8ca","Body Height","Body Height","['Height']","BiomedicalConcept_6","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634"
"706","42fd87e4-01c7-45bc-91e5-21c6a8e8851b","Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement","['ALT', 'SGPT']","BiomedicalConcept_7","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433"
"707","c31840e2-5229-4d83-9f14-e36356161b02","Albumin Measurement","Albumin Measurement","['Albumin']","BiomedicalConcept_8","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431"
"708","f4d51c6f-5077-4923-88c3-ee3d13902171","Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","BiomedicalConcept_9","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432"
