"id:ID","uuid","description","timingValue","timingWindowLower","name","timingWindow","label","id","timingWindowUpper"
"766","c7c23b40-24a6-49af-a5d0-f7c92250aabe","Screening timing","P2W","","TIM1","","Screening","Timing_1",""
"767","4fbf4b5d-0699-4b98-ae45-fbd8fb9e8750","Pre dose timing","P2D","PT4H","TIM2","-4..0 hours","Pre dose","Timing_2","PT0H"
"768","a5e2dd3a-70db-4c06-8c24-a710b95e425a","Dosing anchor","P1D","","TIM3","","Dosing","Timing_3",""
"769","a0b1c563-8212-422e-bf4f-a79a65939161","Week 2 timing","P2W","P3D","TIM4","-3..3 days","Week 2","Timing_4","P3D"
"770","ecbb69a7-860b-43ad-abb4-d7e11638e698","Week 4 timing","P4W","P3D","TIM5","-3..3 days","Week 4","Timing_5","P3D"
"771","0819ed5e-fd9e-4a0d-a625-7eee0b8083ed","Week 6 timing","P6W","P3D","TIM6","-3..3 days","Week 6","Timing_6","P3D"
"772","d7ec628f-8775-46a0-be3a-5f6599a4d02c","Week 8 timing","P8W","P3D","TIM7","-3..3 days","Week 8","Timing_7","P3D"
"773","ccf583cd-417c-4068-9319-8298deea52e1","Week 8 at home timing","P2W","","TIM8","","Week 8 Home","Timing_8",""
"774","253358a1-de80-4748-86d9-d7a3403e1ef2","Week 12 timing","P12W","P4D","TIM9","-4..4 days","Week 12","Timing_9","P4D"
"775","c7f26b5f-0c11-4afb-87ad-3566885d7585","Week 12 at home timing","P2W","","TIM10","","Week 12 Home","Timing_10",""
"776","599a9260-befd-465d-8847-6e244bf3fe7f","Week 16 timing","P16W","P4D","TIM11","-4..4 days","Week 16","Timing_11","P4D"
"777","bf956df0-2d69-4c26-91ea-8d794a4c1d63","Week 16 at home timing","P2W","","TIM12","","Week 16 Home","Timing_12",""
"778","d5446fe6-0a25-4ab4-ac33-1507d6eb87f1","Week 20 timing","P20W","P4D","TIM13","-4..4 days","Week 20","Timing_13","P4D"
"779","f35e5e30-f11f-4ae1-bc50-723c3c97ecbd","Week 20 at home timing","P2W","","TIM14","","Week 20 Home","Timing_14",""
"780","fe43d28f-56e1-450e-8649-8a79bdbe4c4f","Week 24 timing","P24W","P4D","TIM15","-4..4 days","Week 24","Timing_15","P4D"
"781","8ff2a616-f532-4220-9ff5-640bea7c124d","Week 26 timing","P26W","P3D","TIM16","-3..3 days","Week 26","Timing_16","P3D"
"782","31e8fcbc-1f74-4653-b232-554583c69fd4","Adverse Event","P1D","","TIM17","","Adverse Event","Timing_17",""
"783","f2ac1d60-afd6-4191-ab9a-5d2252d9a2f3","Early Termination","P1D","","TIM18","","Early Termination","Timing_18",""
"784","66734ba8-9f65-43d2-8b86-8880b33d765b","BP Anchor","PT0M","","TIM19","","BP Anchor","Timing_19",""
"785","21e4b0bf-9546-4f46-9173-12c2b84ee06d","BP while Supine","PT5M","","TIM20","","BP while Supine","Timing_20",""
"786","7393a8b3-9550-49df-8b89-3e0320821dfb","BP Stand Up","PT3M","PT2M","TIM21","-2..0 mins","BP Stand Up","Timing_21","PT0M"
"787","9650fe8a-c067-495b-96c5-743124b4456c","BP while standing","PT0M","","TIM22","","BP while standing","Timing_22",""
