"id:ID","uuid","name","bcPropertyEnabled","label","id","bcPropertyResponseCodes","bcPropertyRequired","bcPropertyDatatype"
"546","504f0a3c-067f-49d1-b4aa-80445d0225c9","Vital Signs Result","True","Vital Signs Result","BiomedicalConceptProperty_86","[]","True","decimal"
"547","0496a6ed-c0b2-42d5-94e2-49fce8cfe7b0","Unit of Temperature","True","Unit of Temperature","BiomedicalConceptProperty_87","","True","string"
"548","da6ad7b1-8295-411d-830b-44b48379c49a","Vital Signs Location","True","Vital Signs Location","BiomedicalConceptProperty_88","[]","True","string"
"549","db925742-be1e-4077-9655-03b51b13d7e7","Vital Signs Result","True","Vital Signs Result","BiomedicalConceptProperty_89","[]","True","decimal"
"550","4b57e09e-2481-4acc-bd20-0457907096a5","Unit of Weight","True","Unit of Weight","BiomedicalConceptProperty_90","","True","string"
"551","62a72e37-aa33-4eed-af62-286ab3506f82","Vital Signs Result","True","Vital Signs Result","BiomedicalConceptProperty_91","[]","True","decimal"
"552","5c8f64a3-659c-42e1-9a2e-768917577c51","Unit of Height","True","Unit of Height","BiomedicalConceptProperty_92","","True","string"
"553","00862347-a351-4f3d-a43f-602f2a341008","Laboratory Test Result","True","Laboratory Test Result","BiomedicalConceptProperty_93","[]","True","decimal"
"554","b14acfe5-fdc2-4458-9608-78f63576540e","Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_94","[]","True","boolean"
"555","5dd433ae-82c9-4c7f-95f6-93490781dd47","Unit of Catalytic Activity Concentration","True","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_95","[]","True","string"
"556","da3d1afc-7e1e-44af-9c98-de4573a3bdee","Biospecimen Type","True","Biospecimen Type","BiomedicalConceptProperty_96","[]","True","string"
"557","85a6be69-6233-4397-82a0-631646571b62","Laboratory Test Result","True","Laboratory Test Result","BiomedicalConceptProperty_97","[]","True","string"
"558","e656c91a-3767-4c6d-927e-b3fc69e86e23","Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_98","[]","True","boolean"
"559","84b9dfec-75ba-4107-8e9b-1018d7abb045","Unit of Concentration","True","Unit of Concentration","BiomedicalConceptProperty_99","[]","True","string"
"560","5f351b54-9c2b-4ab8-a244-752b199ddd0c","Biospecimen Type","True","Biospecimen Type","BiomedicalConceptProperty_100","[]","True","string"
"561","7e13eb62-4f3d-490a-9cc4-7b1a72ab5e97","Laboratory Test Result","True","Laboratory Test Result","BiomedicalConceptProperty_101","[]","True","decimal"
"562","6eea53f2-42be-41be-babe-e76467312201","Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_102","[]","True","boolean"
"563","f7e72d57-7a28-4336-b8d2-68c9b16b3049","Unit of Catalytic Activity Concentration","True","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_103","[]","True","string"
"564","19e45209-5277-462d-82a6-0352bbdc7674","Biospecimen Type","True","Biospecimen Type","BiomedicalConceptProperty_104","[]","True","string"
"565","4072221c-314d-4478-b081-3beeb8003584","Laboratory Test Result","True","Laboratory Test Result","BiomedicalConceptProperty_105","[]","True","decimal"
"566","a1935d9a-1572-4b41-ab36-8e84bd9d9736","Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_106","[]","True","boolean"
"567","d573b749-d25e-47e4-9c56-bf1564b562f0","Unit of Catalytic Activity Concentration","True","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_107","[]","True","string"
"568","8f14ecda-cc3a-4bab-a114-8f6aa953f6ee","Biospecimen Type","True","Biospecimen Type","BiomedicalConceptProperty_108","[]","True","string"
"569","a82c9075-071d-4666-b667-710229ab193a","Laboratory Test Result","True","Laboratory Test Result","BiomedicalConceptProperty_109","[]","True","string"
"570","c67324cf-49d5-403c-ae04-9bf79b4fa76e","Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_110","[]","True","boolean"
"571","e1e5ff7c-a0c0-47c7-b699-81aa745042bc","Unit of Concentration","True","Unit of Concentration","BiomedicalConceptProperty_111","[]","True","string"
"572","52991548-6b7f-4cc9-8faa-8a7e80fff4f4","Biospecimen Type","True","Biospecimen Type","BiomedicalConceptProperty_112","[]","True","string"
"573","82bd6150-9fc5-4096-a9ba-7e73697f6387","Laboratory Test Result","True","Laboratory Test Result","BiomedicalConceptProperty_113","[]","True","decimal"
"574","89722f1b-98ff-4b65-ac00-98568a5f0553","Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_114","[]","True","boolean"
"575","77acab5f-a8d4-4720-aea6-ad79f3131e98","Molarity Unit","True","Molarity Unit","BiomedicalConceptProperty_115","[]","True","string"
"576","d13d4c8a-ab7e-40d2-b193-0f572e3778e2","Biospecimen Type","True","Biospecimen Type","BiomedicalConceptProperty_116","[]","True","string"
"577","c887936d-ee75-4a20-9aec-514ff19b916e","Laboratory Test Result","True","Laboratory Test Result","BiomedicalConceptProperty_117","[]","True","decimal"
"578","1647e833-4c82-48f6-8c82-4a0d6e1ee431","Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_118","[]","True","boolean"
"579","17df9e4e-ac41-4d6c-bde2-346a8f3f327d","Molarity Unit","True","Molarity Unit","BiomedicalConceptProperty_119","[]","True","string"
"580","9081edf5-c2a1-46aa-83ec-853ea9a7f872","Biospecimen Type","True","Biospecimen Type","BiomedicalConceptProperty_120","[]","True","string"
"581","c1d04705-4ce1-41a3-9a9b-8359c60c5f43","Adverse Event Verbatim Description","True","Adverse Event Verbatim Description","BiomedicalConceptProperty_1","[]","True","string"
"582","777bcb8b-7e5d-41bd-a5b0-0e9f7d390235","Adverse Event Dictionary Derived Term","True","Adverse Event Dictionary Derived Term","BiomedicalConceptProperty_2","[]","True","string"
"583","2b625881-db6c-4404-b615-9776f5cba42b","Adverse Event Category","True","Adverse Event Category","BiomedicalConceptProperty_3","[]","True","string"
"584","33e50494-4e56-4f52-a527-45d4f712141f","Adverse Event Subcategory","True","Adverse Event Subcategory","BiomedicalConceptProperty_4","[]","True","string"
"585","8f1b3cc1-a80e-4e13-bee5-149d682aad22","Adverse Event Pre-specified","True","Adverse Event Pre-specified","BiomedicalConceptProperty_5","[]","True","boolean"
"586","1f6de750-1de6-4e74-824d-e5a3f02848a4","Severity of Adverse Event","True","Severity of Adverse Event","BiomedicalConceptProperty_6","[]","True","string"
"587","14a052e8-9060-4a98-93ae-682b36480a0f","Adverse Event Toxicity Grade","True","Adverse Event Toxicity Grade","BiomedicalConceptProperty_7","[]","True","string"
"588","a07ee567-0d89-479c-9741-bf8b715fa202","Seriousness of Adverse Event","True","Seriousness of Adverse Event","BiomedicalConceptProperty_8","[]","True","boolean"
"589","d7eb2fc1-7ed3-4f36-89f0-a9798fbd9d4b","Adverse Event Action Taken with Study Treatment","True","Adverse Event Action Taken with Study Treatment","BiomedicalConceptProperty_9","","True","string"
"590","24cab6d8-4a57-4798-b736-80a189dfd492","Adverse Event Attribution to Product or Procedure","True","Adverse Event Attribution to Product or Procedure","BiomedicalConceptProperty_10","[]","True","string"
"591","52b77de1-8f87-45a1-b024-6e3fb2a5fb91","Adverse Event Pattern","True","Adverse Event Pattern","BiomedicalConceptProperty_11","[]","True","string"
