"id:ID","uuid","sectionNumber","name","id","text","sectionTitle"
"822","6128a85c-4e05-47cb-8d13-3c17a3149cac","0","ROOT","NarrativeContent_1","","Root"
"823","3d35fe56-4088-4a28-81c5-7274986d6557","0","SECTION 0","NarrativeContent_2","<div><usdm:section name=""M11-title-page""></div>","TITLE PAGE"
"824","193c10a7-d490-49bb-ba35-ed1bcf59e56a","1","SECTION 1","NarrativeContent_3","<div></div>","PROTOCOL SUMMARY"
"825","564482a0-d59f-4eaf-b752-461bfc578d6f","1.1","SECTION 1.1","NarrativeContent_4","<div></div>","Protocol Synopsis"
"826","c57b8cb6-1f1b-45f5-ad08-53ad98609ac1","1.2","SECTION 1.2","NarrativeContent_5","<div></div>","Trial Schema"
"827","d5649ce4-e914-4ec1-bbfe-c4615eefb179","1.3","SECTION 1.3","NarrativeContent_6","<div></div>","Schedule of Activities"
"828","e694b2d5-3556-4fe5-b790-3387582e8d82","2","SECTION 2","NarrativeContent_7","<div></div>","INTRODUCTION"
"829","d1681109-b047-4cc7-9280-92914d0b9073","2.1","SECTION 2.1","NarrativeContent_8","<div></div>","Purpose of Trial"
"830","ca163c0a-3fc5-4d78-8c1e-81928e94fd17","2.2","SECTION 2.2","NarrativeContent_9","<div></div>","Summary of Benefits and Risks"
"831","90fa3713-dc47-4a0b-bcba-cb8a1a32aabf","3","SECTION 3","NarrativeContent_10","<div></div>","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS"
"832","2f6a7088-2944-429c-ad00-5686a55a50ce","3.1","SECTION 3.1","NarrativeContent_11","<div><usdm:section name=""M11-objective-endpoints""></div>","Primary Objectives"
"833","02fe2911-6179-4a28-8c58-ec200dfbe032","4","SECTION 4","NarrativeContent_12","<div></div>","TRIAL DESIGN"
"834","2d089536-b4be-4c5d-ac9f-ade7fd09856d","4.1","SECTION 4.1","NarrativeContent_13","<div></div>","Description of Trial Design"
"835","83cc98be-371c-4a0c-b005-4c37f252d398","4.1.1","SECTION 4.1.1","NarrativeContent_14","<div></div>","Participant Input into Design"
"836","831ca395-562a-4a5d-823c-cb28b6eaaed3","4.2","SECTION 4.2","NarrativeContent_15","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","Rationale for Trial Design"
"837","5774972a-e231-4aca-9de8-90cca29711be","4.2.1","SECTION 4.2.1","NarrativeContent_16","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","Rationale for Comparator"
"838","b9cdda8b-8646-4b49-b4c6-cf4eb80de3b8","4.2.2","SECTION 4.2.2","NarrativeContent_17","<div></div>","Rationale for Adaptive or Novel Trial Design"
"839","e0a734f1-7342-45b5-9ff6-3c2fe34ff2e7","4.2.3","SECTION 4.2.3","NarrativeContent_18","<div></div>","Other Trial Design Considerations"
"840","8fe301ad-36aa-4e0b-a9b1-bd46c3b2dd5c","4.3","SECTION 4.3","NarrativeContent_19","<div></div>","Access to Trial Intervention After End of Trial"
"841","d2ed0a79-5d53-4343-888b-1c81f23ad291","4.4","SECTION 4.4","NarrativeContent_20","<div></div>","Start of Trial and End of Trial"
"842","98200869-9108-4975-8e6a-e08a119e998a","5","SECTION 5","NarrativeContent_21","<div></div>","TRIAL POPULATION"
"843","a47a3630-4385-4fc0-ba95-2d100ab379e5","5.1","SECTION 5.1","NarrativeContent_22","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","Selection of Trial Population"
"844","c931c3e1-2553-49e8-8b31-dcf2aa72f04e","5.2","SECTION 5.2","NarrativeContent_23","<div></div>","Rationale for Trial Population"
"845","8ef23bcf-ce5f-4f95-90a6-b431aed23a33","5.3","SECTION 5.3","NarrativeContent_24","<div><usdm:section name=""M11-inclusion""></div>","Inclusion Criteria"
"846","a24f68a7-c6a7-4c90-aaa6-f025de42fe9a","5.4","SECTION 5.4","NarrativeContent_25","<div><usdm:section name=""M11-exclusion""></div>","Exclusion Criteria"
"847","e2c00292-435d-4e4a-9e4d-1178bfd5b226","5.5","SECTION 5.5","NarrativeContent_26","<div></div>","Lifestyle Considerations"
"848","d4a79aa9-1bae-4cff-b8a1-52e7a828efdd","5.5.1","SECTION 5.5.1","NarrativeContent_27","<div></div>","Meals and Dietary Restrictions"
"849","ddfaf77e-a68f-4dd9-ab14-54b309fef7c7","5.5.2","SECTION 5.5.2","NarrativeContent_28","<div><p>Not applicable</p></div>","Caffeine, Alcohol, Tobacco, and Other Habits"
"850","b120d063-11a7-4422-81b9-d9c057aa8d3b","5.5.3","SECTION 5.5.3","NarrativeContent_29","<div></div>","Physical Activity"
"851","c378886d-a881-4fb5-92c9-969d879281d2","5.5.4","SECTION 5.5.4","NarrativeContent_30","<div></div>","Other Activity"
"852","f5dc6126-391b-4db0-960d-980c89d2b24b","5.6","SECTION 5.6","NarrativeContent_31","<div></div>","Screen Failures"
"853","35a5a8c1-efc5-4f24-8b43-d144320f628f","6","SECTION 6","NarrativeContent_32","<div></div>","TRIAL INTERVENTION AND CONCOMITANT THERAPY"
"854","24629389-548f-4f01-94e4-401da08c3d40","6.1","SECTION 6.1","NarrativeContent_33","<div></div>","Description of Trial Intervention"
"855","95499d6d-0d34-4aae-bba0-dc78c76d498a","6.2","SECTION 6.2","NarrativeContent_34","<div></div>","Rationale for Trial Intervention"
"856","902a9443-807d-4a5b-a016-386e5ed12f9c","6.3","SECTION 6.3","NarrativeContent_35","<div></div>","Dosing and Administration"
"857","dbf72776-b118-4887-8c26-832b85cab0e0","6.3.1","SECTION 6.3.1","NarrativeContent_36","<div></div>","Trial Intervention Dose Modification"
"858","b032bc87-387b-4e2e-a39f-953ea1a59ec8","6.4","SECTION 6.4","NarrativeContent_37","<div></div>","Treatment of Overdose"
"859","63103015-f300-4367-a2ff-9d696c352cd9","6.5","SECTION 6.5","NarrativeContent_38","<div></div>","Preparation, Handling, Storage and Accountability"
"860","99a288d3-d859-440b-9d89-00fb6c270229","6.5.1","SECTION 6.5.1","NarrativeContent_39","<div></div>","Preparation of Trial Intervention"
"861","5d9940ca-0fee-4d80-918f-6a9072131ea2","6.5.2","SECTION 6.5.2","NarrativeContent_40","<div></div>","Handling and Storage of Trial Intervention"
"862","9f56580a-8a4f-4e75-9ef8-48868c97066c","6.5.3","SECTION 6.5.3","NarrativeContent_41","<div></div>","Accountability of Trial Intervention"
"863","67dbaf39-98e3-4119-b96e-2f094780a074","6.6","SECTION 6.6","NarrativeContent_42","<div></div>","Participant Assignment, Randomisation and Blinding"
"864","a4e8fb92-a1d5-4958-bcf0-aa147a9960fa","6.6.1","SECTION 6.6.1","NarrativeContent_43","<div></div>","Participant Assignment"
"865","4e47bdad-3999-47da-8c57-5f2fa7fd9e1f","6.6.2","SECTION 6.6.2","NarrativeContent_44","<div></div>","Randomisation"
"866","cc571426-fe29-4831-9b4e-4f865082582d","6.6.3","SECTION 6.6.3","NarrativeContent_45","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","Blinding and Unblinding"
"867","b80c1aac-0d45-45bd-83d1-72c6e942823a","6.7","SECTION 6.7","NarrativeContent_46","<div></div>","Trial Intervention Compliance"
"868","bc814b18-71fc-41be-a880-c8cd193f2f22","6.8","SECTION 6.8","NarrativeContent_47","<div></div>","Concomitant Therapy"
"869","dbe93784-cc1e-4fa7-ab20-5df79065fc63","6.8.1","SECTION 6.8.1","NarrativeContent_48","<div></div>","Prohibited Concomitant Therapy"
"870","3db75ed9-9945-4483-a9a4-a92b45328b94","6.8.2","SECTION 6.8.2","NarrativeContent_49","<div></div>","Permitted Concomitant Therapy"
"871","6d051b09-a5cd-414d-a5ee-3040f1806569","6.8.3","SECTION 6.8.3","NarrativeContent_50","<div></div>","Rescue Therapy"
