"id:ID","uuid","description","name","label","id","text"
"480","dd528aa9-f4c4-4c19-b12d-04594b28b279","","ENCOUNTER_START_RULE_1","","TransitionRule_1","Subject identifier"
"481","f0635bb3-4139-4339-8aad-d1ad0fec6ea5","","ENCOUNTER_START_RULE_1","","TransitionRule_2","completion of screening activities"
"482","a995942c-944a-4032-916b-8b8d04af7e7d","","ENCOUNTER_START_RULE_2","","TransitionRule_3","subject leaves clinic after connection of ambulatory ECG machine"
"483","3de43805-606b-42f3-b23f-b0fc1315d4a6","","ENCOUNTER_START_RULE_3","","TransitionRule_4","subject has connection of ambulatory ECG machine removed"
"484","fd703efd-a7dc-4f79-b8c5-ac011faff4fc","","ENCOUNTER_START_RULE_3","","TransitionRule_5","Radomized"
"485","039ac11a-4c82-4c23-aa10-c5305aaaf4d8","","ENCOUNTER_START_RULE_12","","TransitionRule_6","End of treatment"
"486","72b9a7f9-073c-4034-9ebd-d13410035ec2","","ELEMENT_START_RULE_1","","TransitionRule_7","Informed consent"
"487","185677c0-5522-403d-831f-34b03b10444a","","ELEMENT_END_RULE_1","","TransitionRule_8","Completion of all screening activities and no more than 2 weeks from informed consent"
"488","f7fc5d95-3197-4e33-9340-df470fcfa9c7","","ELEMENT_START_RULE_2","","TransitionRule_9","Administration of first dose"
"489","e4910a1e-b000-42a9-b015-7187d467f6bc","","ELEMENT_START_RULE_7","","TransitionRule_14","End of last scheduled visit on study (including early termination)"
"490","ef1db98b-2ee8-451e-b981-8fcb89eb2c15","","ELEMENT_END_RULE_7","","TransitionRule_15","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"491","e3c2b7a5-deb7-4be7-a930-2c110cf0ec75","","ELEMENT_START_RULE_3","","TransitionRule_10","Administration of first dose"
"492","3c64b5f4-cb18-48dc-b33e-e2675d8a33f1","","ELEMENT_START_RULE_4","","TransitionRule_11","Randomized"
"493","affac805-d9d4-470c-9a61-e27238f29899","","ELEMENT_START_RULE_5","","TransitionRule_12","Administration of first dose (from patches supplied at Visit 4)"
"494","148cbba2-4cf9-4f5e-9a08-11edb8825bd7","","ELEMENT_START_RULE_6","","TransitionRule_13","Administration of first dose (from patches supplied at Visit 12)"
