"id","description","uuid:ID","name","instanceType","label"
"Activity_1","","1eaa36c7-8fa1-4958-a798-f84da14baee1","Informed consent","Activity",""
"Activity_2","","71d2ace1-7695-4906-9007-d17866befb8a","Inclusion/exclusion criteria","Activity",""
"Activity_3","","23a8e5fd-ec73-4711-bf11-ea4bcb32c813","Patient number assigned","Activity",""
"Activity_4","","d8f0face-9345-4e19-a6a5-072ae553019e","Demographics","Activity","Demographics"
"Activity_5","","279c8c0c-c389-418b-900b-5cbb2538cae5","Hachinski","Activity","Hachinski"
"Activity_6","","9d07c3b4-9d69-4da7-afba-5776449d0a92","MMSE","Activity","MMSE"
"Activity_7","","d6b7f6de-d6fc-4249-9eb2-4ef613faacc4","Physical examination","Activity",""
"Activity_8","","11ae3493-da7d-41e1-815c-b58964b7984c","Medical history","Activity",""
"Activity_9","","db7aa997-492b-4630-8400-aef0742c127a","Habits","Activity",""
"Activity_10","","58436d4f-9ad3-468c-93fb-dbccbeb6ce7b","Chest X-ray","Activity",""
"Activity_11","","9606ffda-a260-40fe-881f-15d40ad5af74","Apo E genotyping","Activity",""
"Activity_12","","18770f8f-aeb8-4d9a-885e-0bef293b1bef","Patient randomised","Activity",""
"Activity_13","","cbb61105-0f8a-477b-a84e-968d5fc88fae","Vital signs / Temperature","Activity","Vital Signs and Temperature"
"Activity_14","","87c5c80e-dbbe-4467-a1cc-0446f42584bf","Ambulatory ECG placed","Activity",""
"Activity_15","","3415215d-8489-4faf-bb50-2bba4d7c26d3","Ambulatory ECG removed","Activity",""
"Activity_16","","577a85d8-1312-4a0a-bbb0-52e5ab1163a2","ECG","Activity",""
"Activity_17","","e0b6b358-ed81-4778-a89c-e52ae4f1e3e7","Placebo TTS test","Activity",""
"Activity_18","","0ecb52b3-d275-4afd-a2bc-6116f60c76c9","CT scan","Activity",""
"Activity_19","","a3a9ff87-4027-4e5f-bc35-b1b7428912b0","Concomitant medications","Activity",""
"Activity_20","","82a93995-a206-462c-af97-f320f7fe2d60","Hematology","Activity",""
"Activity_21","","2631a5ca-8669-4e14-83c1-1ae53a253e7a","Chemistry","Activity",""
"Activity_22","","698bd772-5851-468e-9701-9f21618389e4","Uninalysis","Activity",""
"Activity_23","","5858bd72-a672-4112-be50-d5007273a27d","Plasma Specimen (Xanomeline)","Activity",""
"Activity_24","","aeec2f5d-58c0-4c21-85e8-3785ae1b0a05","Hemoglobin A1C","Activity",""
"Activity_25","","7026a1b4-c49d-4057-8655-46f4b46bd454","Study drug","Activity","Study drug record , Medications dispensed, Medications returned"
"Activity_26","","edbb74aa-8b65-45fa-b337-423f62456b47","TTS Acceptability Survey","Activity",""
"Activity_27","","80aa0c1c-8068-462d-bbb2-1b50a7b2647b","ADAS-Cog","Activity",""
"Activity_28","","e42f2e56-d961-4e8a-a1eb-13a8afa336bd","CIBIC+","Activity",""
"Activity_29","","31c6e64b-2e21-4447-9a1e-18a2a2919ef1","DAD","Activity",""
"Activity_30","","4a541a2c-a375-40a7-ac15-cc5dae5455b0","NPI-X","Activity",""
"Activity_31","","8d16adf5-410c-42e2-a008-60f96f596e32","Adverse events","Activity",""
"Activity_32","","f444179d-761b-4201-b28b-e0c7a9fa0659","Check adverse events","Activity",""
"Activity_33","","0940c7a4-116c-48e0-a24f-73465c9b9c4d","Supine","Activity","Subject supine"
"Activity_34","","76f7c1f6-a3ec-41f2-8594-a3071b8bab78","Vital Signs Supine","Activity","Vital signs while supine"
"Activity_35","","f5edc54d-5438-4852-b623-4a915c49ae1f","Stand","Activity","Subject Standing"
"Activity_36","","f96a9f8a-5865-49a8-84b9-f08faa2f3287","Vital Signs Standing","Activity","Vital signs while standing"
