"reference","id","synonyms","uuid:ID","name","instanceType","label"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","BiomedicalConcept_20","['Temperature']","808ef9db-ec3f-4e96-a979-abb5a39ed18f","Body Temperature","BiomedicalConcept","Body Temperature"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","BiomedicalConcept_21","['Weight']","45ebb8d6-0af2-4406-a940-8be354ccd216","Body Weight","BiomedicalConcept","Body Weight"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","BiomedicalConcept_22","['Height']","b337768f-7c68-4b4e-a00e-ab9f609f8fb1","Body Height","BiomedicalConcept","Body Height"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept_23","['ALT', 'SGPT']","04571bdc-bc7b-4e59-9b8d-841d5932c3b1","Alanine Aminotransferase Measurement","BiomedicalConcept","Alanine Aminotransferase Measurement"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept_24","['Albumin']","cfe1aff4-21b0-44b8-9f27-ed660d2858ff","Albumin Measurement","BiomedicalConcept","Albumin Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept_25","['Alkaline Phosphatase']","50bedeb7-c27d-464d-9f80-146f3b5be340","Alkaline Phosphatase Measurement","BiomedicalConcept","Alkaline Phosphatase Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept_26","['AST', 'SGOT']","d23a9136-4cac-4900-acb2-7bb441e16e21","Aspartate Aminotransferase Measurement","BiomedicalConcept","Aspartate Aminotransferase Measurement"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept_27","['Creatinine']","2f06b414-e7f6-4d65-bb10-800c8b2cd91e","Creatinine Measurement","BiomedicalConcept","Creatinine Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept_28","['Potassium', 'K']","2967cd3c-ec7e-469f-a513-7071012ff4da","Potassium Measurement","BiomedicalConcept","Potassium Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept_29","['Sodium', 'NA']","d00c282d-27c1-4c76-a96a-7c4105f9fa5a","Sodium Measurement","BiomedicalConcept","Sodium Measurement"
