"id","description","uuid:ID","name","instanceType","label"
"Encounter_1","Screening encounter","5accfd20-e0a1-4049-9715-02a658ea4528","E1","Encounter","Screening 1"
"Encounter_2","Screening encounter - Ambulatory ECG Placement","5da9462b-6afd-459c-a537-3118ccb8c209","E2","Encounter","Screening 2"
"Encounter_3","Baseline encounter - Ambulatory ECG Removal","b325a32f-0332-4b22-b07a-4fd2622d58ac","E3","Encounter","Baseline"
"Encounter_4","Day 14","628641b9-4c78-49b3-843a-cf191d4c8a0b","E4","Encounter","Week 2"
"Encounter_5","Day 28","39ff6715-79d5-4091-82bf-2b5469da9987","E5","Encounter","Week 4"
"Encounter_6","Day 42","2ea2572a-bf31-40db-8650-4560d7f39d29","E7","Encounter","Week 6"
"Encounter_7","Day 56","3cba4528-a9f2-433c-99b2-ff583cd5402b","E8","Encounter","Week 8"
"Encounter_8","Day 84","4b7aa948-945a-416d-9f43-ad2062fca57b","E9","Encounter","Week 12"
"Encounter_9","Day 112","f4ee3a49-4e5b-49ab-b674-9be1ff5635c9","E10","Encounter","Week 16"
"Encounter_10","Day 140","b903ec77-50ea-48a2-8a5a-b79971f79c35","E11","Encounter","Week 20"
"Encounter_11","Day 168","80e1556c-02b9-475d-8da6-2dbd553d8b58","E12","Encounter","Week 24"
"Encounter_12","Day 182","a458fa4f-f12f-4fe7-885f-af9f7d41e2db","E13","Encounter","Week 26"
