"codeSystem","code","decode","id","uuid:ID","instanceType","codeSystemVersion"
"http://www.cdisc.org","C98388","Interventional Study","Code_1","d4bc0726-1940-4264-bdf3-89881b2f1ef0","Code","2023-09-29"
"http://www.cdisc.org","C15601","Phase II Trial","Code_2","2bc46914-8116-4dc1-a40c-8125bc263e1d","Code","2023-09-29"
"http://www.cdisc.org","C132352","Sponsor Approval Date","Code_9","9bff742c-30b9-47a9-b319-f4e77432edbb","Code","2023-09-29"
"http://www.cdisc.org","C68846","Global","Code_10","916a6f67-d6e3-475d-ba09-fbb889547b5b","Code","2023-09-29"
"http://www.cdisc.org","C99904x3","IRB/IEC Feedback","Code_72","4878e9c3-2e79-4ede-a5b0-b6290321ecc4","Code","2023-09-29"
"http://www.cdisc.org","C17649","Other","Code_73","a33f0dfb-2640-4a8f-b9d5-2462d9e8d43e","Code","2023-09-29"
"http://www.cdisc.org","C41129","Region","Code_75","6048973c-6e82-48a8-a809-a86449598867","Code","2023-09-29"
"ISO 3166 1 alpha3","150","Europe","Code_74","fad9db00-d9d0-4f28-b3be-85559a2abc89","Code","2020-08"
"SPONSOR","PHARMA","Eli Lilly","Code_4","b32e4e19-8070-4000-a1e6-18011314baa3","Code","12"
"http://www.cdisc.org","C70793","Clinical Study Sponsor","Code_76","46f378ea-f6a3-4b14-8308-e2456884b203","Code","2023-09-29"
"ISO 3166 1 alpha3","DNK","Denmark","Code_77","c89ded5b-fc00-4285-a903-c0b0bf6b606a","Code","2020-08"
"http://www.cdisc.org","C93453","Study Registry","Code_78","4e8986ae-3f90-4543-a71a-b43529d35674","Code","2023-09-29"
"http://www.cdisc.org","C49656","Treatment Study","Code_136","10815811-7188-46bd-a97b-f218c82f7c48","Code","2023-09-29"
"http://www.cdisc.org","C49666","Efficacy Study","Code_137","fd1a3515-72c7-4968-9bd5-2a3a99b86ab5","Code","2023-09-29"
"http://www.cdisc.org","C49667","Safety Study","Code_138","3b7f0afb-02f3-40ce-91f9-c05dca0101cd","Code","2023-09-29"
"http://www.cdisc.org","C49663","Pharmacokinetic Study","Code_139","40f3059e-b7f1-480a-9ac1-cb79e5bc8add","Code","2023-09-29"
"SPONSOR","MILD_MOD_ALZ","Mild to Moderate Alzheimer's Disease","Code_133","17001f37-4dbc-4cf5-af6c-ed4b4132cc89","Code","12"
"SNOMED","26929004","Alzheimer's disease","Code_134","0ec5e367-a6ad-4c0c-9504-bc8a476697ad","Code","January 31, 2018"
"http://www.cdisc.org","C99907x1","EXTENSION","Code_142","f15a32ab-d926-4685-94f1-d495a0f93754","Code","2023-09-29"
"http://www.cdisc.org","C98704","ADAPTIVE","Code_143","375faaac-5336-4411-a372-137cd29b5a3b","Code","2023-09-29"
"http://www.cdisc.org","C82639","Parallel Study","Code_140","558a58b3-696d-47bd-825b-36217f99c8cb","Code","2023-09-29"
"http://www.cdisc.org","C25716","Visit","Code_82","738a6693-5a5f-4d15-8a00-d48d3b61c814","Code","2023-09-29"
"http://www.cdisc.org","C51282","Clinic","Code_83","c868140a-dd4d-4477-ba67-d3e0318acda2","Code","2023-09-29"
"http://www.cdisc.org","C175574","In Person","Code_84","91a14662-c531-4e9c-8bb6-6fbfa405ff49","Code","2023-09-29"
"http://www.cdisc.org","C25716","Visit","Code_85","804b9dc3-beac-43ff-9cd8-a32019cbb727","Code","2023-09-29"
"http://www.cdisc.org","C51282","Clinic","Code_86","d8093b3d-3671-4075-b119-1a4bbf5c8996","Code","2023-09-29"
"http://www.cdisc.org","C175574","In Person","Code_87","be59d4cc-42ec-46db-b249-59aa2be901c7","Code","2023-09-29"
"http://www.cdisc.org","C25716","Visit","Code_88","20b877df-e6c6-45ce-bf90-2d9eedbb4d5e","Code","2023-09-29"
"http://www.cdisc.org","C51282","Clinic","Code_89","1c04e425-2aa9-4fee-8cd6-dde1c4fca267","Code","2023-09-29"
"http://www.cdisc.org","C175574","In Person","Code_90","8e809b85-4d8c-4a64-a209-614670969c39","Code","2023-09-29"
"http://www.cdisc.org","C25716","Visit","Code_91","06da1f7a-9c2d-450d-ba60-c27876c5b9cf","Code","2023-09-29"
"http://www.cdisc.org","C51282","Clinic","Code_92","77a4dcdb-250a-4870-91a6-8ecd207040c4","Code","2023-09-29"
"http://www.cdisc.org","C175574","In Person","Code_93","ba4eb0b7-18fe-4624-aba1-f5adf257da34","Code","2023-09-29"
"http://www.cdisc.org","C25716","Visit","Code_94","9c89a094-69f7-437c-9137-d40059584fb7","Code","2023-09-29"
"http://www.cdisc.org","C51282","Clinic","Code_95","49d8c5c9-0172-4345-8c0a-28ad7b8f041a","Code","2023-09-29"
"http://www.cdisc.org","C175574","In Person","Code_96","1b66b41e-05e9-4df4-84d0-6b12a25ab31b","Code","2023-09-29"
"http://www.cdisc.org","C25716","Visit","Code_97","6b631baf-cf89-4b74-b46c-9dcbf7aee91f","Code","2023-09-29"
"http://www.cdisc.org","C51282","Clinic","Code_98","c9bee97b-d934-4e46-868d-04053a845c8c","Code","2023-09-29"
"http://www.cdisc.org","C175574","In Person","Code_99","3626a0de-c6bc-4b9f-89cd-acc17770a7c2","Code","2023-09-29"
"http://www.cdisc.org","C25716","Visit","Code_100","e7e5f2c7-b3d5-40a9-8f9c-96e640a43d01","Code","2023-09-29"
"http://www.cdisc.org","C51282","Clinic","Code_101","826cb03b-eee9-4714-b15d-4fb9cc16ea73","Code","2023-09-29"
"http://www.cdisc.org","C175574","In Person","Code_102","c0531ef0-72f1-4e2d-8551-6cfcd8980ca1","Code","2023-09-29"
"http://www.cdisc.org","C171537","Telephone Call","Code_103","6c17233d-303e-40a4-9440-c5c384ea1674","Code","2023-09-29"
"http://www.cdisc.org","C25716","Visit","Code_104","c93b18c2-5862-4beb-be6d-44c704c12179","Code","2023-09-29"
"http://www.cdisc.org","C51282","Clinic","Code_105","7240a105-0253-42c5-b847-b35ea99d0c95","Code","2023-09-29"
"http://www.cdisc.org","C175574","In Person","Code_106","ba5cf7e8-d59d-4bb0-b0fa-1c7edaa11d27","Code","2023-09-29"
"http://www.cdisc.org","C171537","Telephone Call","Code_107","ec41811b-89bf-4956-9834-d26d64653e39","Code","2023-09-29"
"http://www.cdisc.org","C25716","Visit","Code_108","d3d8a8fd-a4c1-4578-a9b0-c331a59cdabe","Code","2023-09-29"
"http://www.cdisc.org","C51282","Clinic","Code_109","2353e777-d847-43bd-934d-3e6433c34b4b","Code","2023-09-29"
"http://www.cdisc.org","C175574","In Person","Code_110","b4531aad-bd8b-4bac-8268-354c9a3ff7f3","Code","2023-09-29"
"http://www.cdisc.org","C171537","Telephone Call","Code_111","2e143270-d192-4830-ab41-d08788d9f1e6","Code","2023-09-29"
"http://www.cdisc.org","C25716","Visit","Code_112","7c4a6b1d-d01f-4e84-864e-b88ca5395230","Code","2023-09-29"
"http://www.cdisc.org","C51282","Clinic","Code_113","b840308f-33a7-4e97-aac8-e19126cdd65c","Code","2023-09-29"
"http://www.cdisc.org","C175574","In Person","Code_114","8c3ab44d-5384-4af9-a622-4c6349d6e456","Code","2023-09-29"
"http://www.cdisc.org","C171537","Telephone Call","Code_115","febb9313-25e2-4a9b-9727-21408fdef608","Code","2023-09-29"
"http://www.cdisc.org","C25716","Visit","Code_116","8898fdcb-5789-48c1-a27d-fa5c63e801f7","Code","2023-09-29"
"http://www.cdisc.org","C51282","Clinic","Code_117","b07b5e28-7277-4484-a6c1-ea40788e2e9b","Code","2023-09-29"
"http://www.cdisc.org","C175574","In Person","Code_118","6aa62d78-b747-455d-9867-e2967b8e1671","Code","2023-09-29"
"http://www.cdisc.org","C25716","Visit","Code_119","c4c753ed-313e-4345-91d6-e71a70893fc7","Code","2023-09-29"
"http://www.cdisc.org","C51282","Clinic","Code_120","5b59474b-20f5-4441-81a5-6ee81eea28d5","Code","2023-09-29"
"http://www.cdisc.org","C175574","In Person","Code_121","9ee8b045-83a1-4f26-af8c-64f318487971","Code","2023-09-29"
