"windowLower","windowUpper","id","value","description","uuid:ID","name","instanceType","window","label"
"","","Timing_1","P2W","Screening timing","0f2edb7b-76f0-46a2-b883-ecb6cd096a1c","TIM1","Timing","","Screening"
"PT4H","PT0H","Timing_2","P2D","Pre dose timing","3d208c7e-4ae4-478e-9c56-67d7f5d37622","TIM2","Timing","-4..0 hours","Pre dose"
"","","Timing_3","P1D","Dosing anchor","716f88fc-00a5-469f-bc14-0800a6c31cb5","TIM3","Timing","","Dosing"
"P3D","P3D","Timing_4","P2W","Week 2 timing","0cb42518-e698-4a9e-aa85-f6a51e1ee2c3","TIM4","Timing","-3..3 days","Week 2"
"P3D","P3D","Timing_5","P4W","Week 4 timing","60f14e98-27f0-4db7-936a-9d5bf22de2fa","TIM5","Timing","-3..3 days","Week 4"
"P3D","P3D","Timing_6","P6W","Week 6 timing","326c230b-c359-4684-9c88-af3fd4221fb7","TIM6","Timing","-3..3 days","Week 6"
"P3D","P3D","Timing_7","P8W","Week 8 timing","f2574955-3682-468b-bc02-58ca11164a9e","TIM7","Timing","-3..3 days","Week 8"
"P4D","P4D","Timing_9","P12W","Week 12 timing","32f59a75-b62b-4308-9371-c56c75e5a831","TIM9","Timing","-4..4 days","Week 12"
"P4D","P4D","Timing_11","P16W","Week 16 timing","2484bcda-8e7d-4319-8d61-f282db025697","TIM11","Timing","-4..4 days","Week 16"
"P4D","P4D","Timing_13","P20W","Week 20 timing","77b87b65-7b6a-4179-8f0d-1d5fbd3d316e","TIM13","Timing","-4..4 days","Week 20"
"P4D","P4D","Timing_15","P24W","Week 24 timing","2c794831-0f3c-4ae0-93da-ef558d871c27","TIM15","Timing","-4..4 days","Week 24"
"P3D","P3D","Timing_16","P26W","Week 26 timing","428c05ff-f302-47bb-b71b-a0cf11350dc4","TIM16","Timing","-3..3 days","Week 26"
"","","Timing_8","P2W","Week 8 at home timing","d79f4ccf-0685-44ee-8949-b25f58646c4d","TIM8","Timing","","Week 8 Home"
"","","Timing_10","P2W","Week 12 at home timing","02a22d67-5ac0-418c-9006-c01c81b25436","TIM10","Timing","","Week 12 Home"
"","","Timing_12","P2W","Week 16 at home timing","75b304b9-c3f5-4015-b9cd-df68965a25f0","TIM12","Timing","","Week 16 Home"
"","","Timing_14","P2W","Week 20 at home timing","21b2dada-55f0-4fa4-8c61-a9453d05fbb9","TIM14","Timing","","Week 20 Home"
"","","Timing_17","P1D","Adverse Event","69c14526-5a8d-4f1d-83fd-1dceaca7fe3d","TIM17","Timing","","Adverse Event"
"","","Timing_18","P1D","Early Termination","d806f74d-e10c-4b1a-81b4-29489bd6a4be","TIM18","Timing","","Early Termination"
"","","Timing_19","PT0M","Supine","3bebbd15-74ed-4802-879d-07fdf1d843cd","TIM19","Timing","","Supine"
"","","Timing_20","PT5M","VS while supine","ecda01cf-6d34-426b-a704-3a151fe87d75","TIM20","Timing","","VS while supine"
"","","Timing_21","PT0M","Standing","fbecd05a-eee1-4bc3-8949-cfe933a79d9d","TIM21","Timing","","Standing"
"","","Timing_22","PT1M","VS while standing","55706d0e-b39f-4dd1-9d21-b0717b632c94","TIM22","Timing","","VS while standing"
"","","Timing_23","PT0M","Standing","5d7736ae-e276-47ed-a094-3077c7f28bf7","TIM23","Timing","","Standing"
"","","Timing_24","PT2M","VS while standing","c1a6971d-c136-4fcc-9406-9484aeb76947","TIM24","Timing","","VS while standing"
