"id","text","uuid:ID","name","instanceType"
"TransitionRule_1","Subject identifier","be7ed53d-b5d2-4e55-b1a6-ea1bd19b8b25","ENCOUNTER_START_RULE_1","TransitionRule"
"TransitionRule_2","completion of screening activities","8a7169fa-b079-4b9c-a87f-7b56cf56bd73","ENCOUNTER_START_RULE_1","TransitionRule"
"TransitionRule_3","subject leaves clinic after connection of ambulatory ECG machine","73c63d1a-1e35-454b-9325-0df09e3c341a","ENCOUNTER_START_RULE_2","TransitionRule"
"TransitionRule_4","subject has connection of ambulatory ECG machine removed","e71bc0ec-6260-4d28-93b0-09c73847cc5b","ENCOUNTER_START_RULE_3","TransitionRule"
"TransitionRule_5","Radomized","550255d7-3d76-4b18-9d56-e64fc1c29d86","ENCOUNTER_START_RULE_3","TransitionRule"
"TransitionRule_6","End of treatment","27111e82-bf56-4622-a0f4-4cd24642e949","ENCOUNTER_START_RULE_12","TransitionRule"
"TransitionRule_7","Informed consent","1ccbf306-079d-4e64-8453-4fa2904bd7fb","ELEMENT_START_RULE_1","TransitionRule"
"TransitionRule_8","Completion of all screening activities and no more than 2 weeks from informed consent","84d57a15-e5e3-4368-b703-497fc70c2cc2","ELEMENT_END_RULE_1","TransitionRule"
"TransitionRule_9","Administration of first dose","b968b756-9708-406e-94c3-2b33bed428a7","ELEMENT_START_RULE_2","TransitionRule"
"TransitionRule_14","End of last scheduled visit on study (including early termination)","6d6a9b4d-8bde-4a0c-8e4e-bca4b4df96ea","ELEMENT_START_RULE_7","TransitionRule"
"TransitionRule_15","Completion of all specified followup activities (which vary on a patient-by-patient basis)","5639690e-4fb7-4644-855f-21a9dc2c42e9","ELEMENT_END_RULE_7","TransitionRule"
"TransitionRule_10","Administration of first dose","67c6ac46-f8f7-4f48-99f1-2f2b9be82052","ELEMENT_START_RULE_3","TransitionRule"
"TransitionRule_11","Randomized","79e52470-c113-405e-bb94-2cf00367e9db","ELEMENT_START_RULE_4","TransitionRule"
"TransitionRule_12","Administration of first dose (from patches supplied at Visit 4)","f40f3a31-87bc-4b3b-b163-a8ff761bd4e1","ELEMENT_START_RULE_5","TransitionRule"
"TransitionRule_13","Administration of first dose (from patches supplied at Visit 12)","94060c6e-d0eb-466a-a642-b9358880a59b","ELEMENT_START_RULE_6","TransitionRule"
