"datatype","isRequired","isEnabled","id","uuid:ID","name","instanceType","label"
"decimal","True","True","BiomedicalConceptProperty_98","40773ba9-7e16-4f8d-8420-6389edd7615d","Vital Signs Result","BiomedicalConceptProperty","Vital Signs Result"
"string","True","True","BiomedicalConceptProperty_99","a58c4a8f-8d6f-4314-ba70-20a490593034","Unit of Temperature","BiomedicalConceptProperty","Unit of Temperature"
"string","True","True","BiomedicalConceptProperty_100","3d40bf78-197a-4c8c-b6da-db8e80ff0b93","Vital Signs Location","BiomedicalConceptProperty","Vital Signs Location"
"decimal","True","True","BiomedicalConceptProperty_101","7033a10c-7779-4972-b694-5dcbe02a90ec","Vital Signs Result","BiomedicalConceptProperty","Vital Signs Result"
"string","True","True","BiomedicalConceptProperty_102","e527c4e8-68f4-4dbc-965d-491cdf32ff94","Unit of Weight","BiomedicalConceptProperty","Unit of Weight"
"decimal","True","True","BiomedicalConceptProperty_103","d15b0e7e-c359-4338-96f2-d3e287175597","Vital Signs Result","BiomedicalConceptProperty","Vital Signs Result"
"string","True","True","BiomedicalConceptProperty_104","078577fa-7c2b-4162-a87e-6dbe913b6914","Unit of Height","BiomedicalConceptProperty","Unit of Height"
"decimal","True","True","BiomedicalConceptProperty_105","225c78d1-3c8f-436c-a68f-a780a05db461","Laboratory Test Result","BiomedicalConceptProperty","Laboratory Test Result"
"boolean","True","True","BiomedicalConceptProperty_106","035b2df1-145b-4fe7-a1d6-626a6be321fc","Laboratory Test Fasting Status","BiomedicalConceptProperty","Laboratory Test Fasting Status"
"string","True","True","BiomedicalConceptProperty_107","71fd3293-3be5-4701-aa9c-8cad3f48bc07","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","Unit of Catalytic Activity Concentration"
"string","True","True","BiomedicalConceptProperty_108","d6fee7c3-fabc-4718-af14-e34b471b772a","Biospecimen Type","BiomedicalConceptProperty","Biospecimen Type"
"string","True","True","BiomedicalConceptProperty_109","0470bd6d-7465-4222-9b60-48edbf206765","Laboratory Test Result","BiomedicalConceptProperty","Laboratory Test Result"
"boolean","True","True","BiomedicalConceptProperty_110","00d46eab-cf65-4b18-84ac-947ee9141a1f","Laboratory Test Fasting Status","BiomedicalConceptProperty","Laboratory Test Fasting Status"
"string","True","True","BiomedicalConceptProperty_111","13372492-b84c-4c0b-8d2b-f642941f46e3","Unit of Concentration","BiomedicalConceptProperty","Unit of Concentration"
"string","True","True","BiomedicalConceptProperty_112","04f21309-487b-418f-8fbf-0b48201bb22d","Biospecimen Type","BiomedicalConceptProperty","Biospecimen Type"
"decimal","True","True","BiomedicalConceptProperty_113","ce2caac5-87a3-40fd-b1cb-815870aa036b","Laboratory Test Result","BiomedicalConceptProperty","Laboratory Test Result"
"boolean","True","True","BiomedicalConceptProperty_114","8193a89c-578b-49c6-90b8-d2ac20242e56","Laboratory Test Fasting Status","BiomedicalConceptProperty","Laboratory Test Fasting Status"
"string","True","True","BiomedicalConceptProperty_115","49a9355f-e31a-40a4-8b11-16eb88dfd9b9","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","Unit of Catalytic Activity Concentration"
"string","True","True","BiomedicalConceptProperty_116","c951892e-dbaf-42e6-99eb-6af4bd0c7e0c","Biospecimen Type","BiomedicalConceptProperty","Biospecimen Type"
"decimal","True","True","BiomedicalConceptProperty_117","5fd6e884-3e5d-49a3-9574-a6b796cb6a9e","Laboratory Test Result","BiomedicalConceptProperty","Laboratory Test Result"
"boolean","True","True","BiomedicalConceptProperty_118","447b89ba-6bc5-40a3-9e14-73dde6c6e6cc","Laboratory Test Fasting Status","BiomedicalConceptProperty","Laboratory Test Fasting Status"
"string","True","True","BiomedicalConceptProperty_119","825170af-166a-4bae-ba9f-ce9c1337f3ce","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","Unit of Catalytic Activity Concentration"
"string","True","True","BiomedicalConceptProperty_120","206db76f-e805-4da8-b38e-b1f7b5584876","Biospecimen Type","BiomedicalConceptProperty","Biospecimen Type"
"string","True","True","BiomedicalConceptProperty_121","d03a7a97-040c-4fab-b446-dcd2ab3c650e","Laboratory Test Result","BiomedicalConceptProperty","Laboratory Test Result"
"boolean","True","True","BiomedicalConceptProperty_122","aebc4e9f-37ee-462f-84de-e9a4a47c5b51","Laboratory Test Fasting Status","BiomedicalConceptProperty","Laboratory Test Fasting Status"
"string","True","True","BiomedicalConceptProperty_123","a344718a-71f1-440e-b9c1-c797a8459e0b","Unit of Concentration","BiomedicalConceptProperty","Unit of Concentration"
"string","True","True","BiomedicalConceptProperty_124","afc45b77-404d-4360-b189-b1ba98e8a751","Biospecimen Type","BiomedicalConceptProperty","Biospecimen Type"
"decimal","True","True","BiomedicalConceptProperty_125","ee257747-a8ac-4469-9abb-7304b7bde305","Laboratory Test Result","BiomedicalConceptProperty","Laboratory Test Result"
"boolean","True","True","BiomedicalConceptProperty_126","f9f5a65e-6991-4c17-a117-866340548634","Laboratory Test Fasting Status","BiomedicalConceptProperty","Laboratory Test Fasting Status"
"string","True","True","BiomedicalConceptProperty_127","49914019-b26d-4c54-9a2c-2f9d8d7bcea2","Molarity Unit","BiomedicalConceptProperty","Molarity Unit"
"string","True","True","BiomedicalConceptProperty_128","b9a6412f-066d-4d9e-b827-1eb376dfa3ac","Biospecimen Type","BiomedicalConceptProperty","Biospecimen Type"
"decimal","True","True","BiomedicalConceptProperty_129","fa0d0feb-e6ac-4a00-b671-7924674b14da","Laboratory Test Result","BiomedicalConceptProperty","Laboratory Test Result"
"boolean","True","True","BiomedicalConceptProperty_130","c3b7d496-3059-4914-86a7-e407b2749a86","Laboratory Test Fasting Status","BiomedicalConceptProperty","Laboratory Test Fasting Status"
