"name","sectionTitle","id","sectionNumber","uuid:ID","text","instanceType"
"ROOT","Root","NarrativeContent_1","0","99a7b1ba-2e50-450d-a56c-359f8a2cd97c","","NarrativeContent"
"SECTION 0","TITLE PAGE","NarrativeContent_2","0","ad318b73-1a68-4644-b27b-84a2cdee0e90","<div><usdm:section name=""M11-title-page""></div>","NarrativeContent"
"SECTION 1","PROTOCOL SUMMARY","NarrativeContent_3","1","b8b5479d-8238-4515-88c6-d9ccd3c566aa","<div></div>","NarrativeContent"
"SECTION 1.1","Protocol Synopsis","NarrativeContent_4","1.1","6dc98e9a-56c1-417c-81a8-9f41448e0858","<div></div>","NarrativeContent"
"SECTION 1.2","Trial Schema","NarrativeContent_5","1.2","0fd5d44f-e46f-469b-933b-dce0a377234e","<div></div>","NarrativeContent"
"SECTION 1.3","Schedule of Activities","NarrativeContent_6","1.3","fe67bffe-7dfc-4415-b32c-68992a27b428","<div></div>","NarrativeContent"
"SECTION 2","INTRODUCTION","NarrativeContent_7","2","e626f7e6-3ce9-46e7-a3a7-4ac5de732abb","<div></div>","NarrativeContent"
"SECTION 2.1","Purpose of Trial","NarrativeContent_8","2.1","06896c3a-4a80-486c-9a1d-5d438975f78b","<div></div>","NarrativeContent"
"SECTION 2.2","Summary of Benefits and Risks","NarrativeContent_9","2.2","fa278b73-18e9-49f0-bf46-2a7eaad3bc5c","<div></div>","NarrativeContent"
"SECTION 3","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","NarrativeContent_10","3","4bd7b96a-665b-4dfc-926d-7ca95f1f8936","<div></div>","NarrativeContent"
"SECTION 3.1","Primary Objectives","NarrativeContent_11","3.1","e7cd14be-da68-4859-b210-d237b63903bf","<div><usdm:section name=""M11-objective-endpoints""></div>","NarrativeContent"
"SECTION 4","TRIAL DESIGN","NarrativeContent_12","4","d4aed64d-6ffc-4bf9-bb29-8605ea7b694a","<div></div>","NarrativeContent"
"SECTION 4.1","Description of Trial Design","NarrativeContent_13","4.1","f8296144-b3be-4c2b-af1b-96c7027afc1c","<div></div>","NarrativeContent"
"SECTION 4.1.1","Participant Input into Design","NarrativeContent_14","4.1.1","c9a58391-dad5-40ba-9d76-f02383550d20","<div></div>","NarrativeContent"
"SECTION 4.2","Rationale for Trial Design","NarrativeContent_15","4.2","a4be7eff-d971-477e-a9f6-ba7acee69e88","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","NarrativeContent"
"SECTION 4.2.1","Rationale for Comparator","NarrativeContent_16","4.2.1","0b90bfb8-db5f-4d8f-a910-6ff09c084d47","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","NarrativeContent"
"SECTION 4.2.2","Rationale for Adaptive or Novel Trial Design","NarrativeContent_17","4.2.2","282866a7-4316-46dc-8d52-e5a43d0ce75d","<div></div>","NarrativeContent"
"SECTION 4.2.3","Other Trial Design Considerations","NarrativeContent_18","4.2.3","32c20c37-9417-44e3-a14c-f8dd452bb9c2","<div></div>","NarrativeContent"
