"name","uuid:ID","id","text"
"ENCOUNTER_START_RULE_1","86605cdd-9381-4f2d-838e-c463bda86e64","TransitionRule_1","Subject identified"
"ENCOUNTER_START_RULE_1","3e71f2e2-0c58-4729-bfe6-16e5a0a44132","TransitionRule_2","IEs passed"
"ENCOUNTER_START_RULE_3","77ee0b34-1f01-4d14-8ab2-44706ecfffe1","TransitionRule_3","Radomized"
"ELEMENT_START_RULE_1","aa891128-e755-4d69-950b-b0c31c6c7611","TransitionRule_4","Study Start"
"ELEMENT_END_RULE_1","5db0e473-d2d4-4291-9276-3f4cef579dcc","TransitionRule_5","Screened"
"ELEMENT_START_RULE_2","4081fe58-9a0d-4334-9d33-3fb416857fba","TransitionRule_6","Screened"
"ELEMENT_END_RULE_2","fa930926-2cdc-4ff5-ad5a-42497bcd22e1","TransitionRule_7","Radomized"
"ELEMENT_START_RULE_3","756f0c37-34f3-49de-ae81-735a5b95ccce","TransitionRule_8","Radomized"
"ELEMENT_END_RULE_3","982c68df-2213-4db5-9dbb-8509f73aac7d","TransitionRule_9","Completed treatment 1"
"ELEMENT_START_RULE_5","09af145a-c505-45b3-8361-7e23c6dd779b","TransitionRule_12","Radomized"
"ELEMENT_END_RULE_5","5fe6eb56-bb61-41bb-92e7-4d977238f4b5","TransitionRule_13","Completed treatment 2"
"ELEMENT_START_RULE_4","2e5f8ba0-980e-4db4-a6e7-32cd22b3ee6e","TransitionRule_10","Treated"
"ELEMENT_END_RULE_4","751a8587-6470-4dcf-b0ce-af88abdb9e10","TransitionRule_11","Leave Study"
