"sectionTitle","id","text","name","uuid:ID","sectionNumber"
"Root","NarrativeContent_1","","ROOT","6530e678-6140-4dad-8d70-d2e426b73d21","0"
"PROTOCOL SUMMARY","NarrativeContent_2","<div><usdm:ref klass=""StudyIdentifier"" id=""StudyIdentifier_1"" attribute=""studyIdentifier""/></div>","SECTION 1","4bce87dc-370e-4b16-b422-fb2392e8750c","1"
"Protocol Synopsis","NarrativeContent_3","<div></div>","SECTION 1.1","9e933e27-d526-4229-b589-9b32776d0953","1.1"
"Trial Schema","NarrativeContent_4","<div></div>","SECTION 1.2","3199eb8b-f8a7-495f-b5df-658e086d484b","1.2"
"Schedule of Activities","NarrativeContent_5","<div></div>","SECTION 1.3","5e6386fb-eb2b-4b0b-b475-0094327ac7b4","1.3"
"INTRODUCTION","NarrativeContent_6","<div></div>","SECTION 2","8a603761-f47f-4640-9c07-c1605e21a631","2"
"Purpose of Trial","NarrativeContent_7","<div></div>","SECTION 2.1","0a74d6cf-16e2-434b-a16a-03c42bc1378a","2.1"
"Summary of Benefits and Risks","NarrativeContent_8","<div></div>","SECTION 2.2","05aedcd3-b625-4c88-95aa-b267419f6f73","2.2"
"TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","NarrativeContent_9","<div></div>","SECTION 3","74aa8e2b-97fe-40e1-9978-40a93b165514","3"
"Primary Objectives","NarrativeContent_10","<div><table>
  <tr>
    <th style=""vertical-align: top"">Primary Objective</th>
    <th style=""vertical-align: top"">Primary Endpoint</th>
  </tr>
  <tr>
    <td style=""vertical-align: top""><usdm:ref klass=""Objective"" namexref=""OBJ1"" attribute=""description""/></td>
    <td style=""vertical-align: top""><usdm:ref klass=""Endpoint"" id=""Endpoint_1"" attribute=""description""/></td>
  </tr>
</table></div>","SECTION 3.1","3674e8ae-debc-4916-8e8f-6e437a13b3c1","3.1"
"TRIAL DESIGN","NarrativeContent_11","<div></div>","SECTION 4","5ade8ede-5469-4b08-ade9-cc40338e2bdc","4"
"Description of Trial Design","NarrativeContent_12","<div></div>","SECTION 4.1","2e257248-ff40-46ab-a243-1868b9bd3ab3","4.1"
"Participant Input into Design","NarrativeContent_13","<div></div>","SECTION 4.1.1","a0ece8a4-5cec-449f-bb10-f0db25a23cc2","4.1.1"
"Rationale for Trial Design","NarrativeContent_14","<div></div>","SECTION 4.2","dbfbda71-2822-411f-afeb-bee540894ee5","4.2"
"Rationale for Comparator","NarrativeContent_15","<div></div>","SECTION 4.2.1","7dbbb1c5-b16f-4766-be25-cb5b96a10c94","4.2.1"
"Rationale for Adaptive or Novel Trial Design","NarrativeContent_16","<div></div>","SECTION 4.2.2","2cb5b2a9-c42f-4dad-9a82-9f3ea90ec2e7","4.2.2"
"Other Trial Design Considerations","NarrativeContent_17","<div></div>","SECTION 4.2.3","a7eafc8f-e4f1-4493-b6a7-a5638dc4486d","4.2.3"
"Access to Trial Intervention After End of Trial","NarrativeContent_18","<div></div>","SECTION 4.3","bb5ae695-06c9-4f98-aec4-e4d8584b10f1","4.3"
