"code","codeSystem","id","decode","codeSystemVersion","uuid:ID"
"C98388","http://www.cdisc.org","Code_1","Interventional Study","2023-09-29","093a7bb1-9031-4976-9906-7fca4475210d"
"C15602","http://www.cdisc.org","Code_2","Phase III Trial","2023-09-29","6cdfe667-c805-4668-aa30-2d542e8c7646"
"C132352","http://www.cdisc.org","Code_6","Sponsor Approval Date","2023-09-29","9e1ec92a-8002-4ada-ad67-6132031dfa08"
"C68846","http://www.cdisc.org","Code_7","Global","2023-09-29","33afbf22-448d-4c7f-87e3-47749f8cbe2a"
"VAC","SPONSOR","Code_3","Vacines Group","12","12d48dcc-c548-4efc-9a00-da6c481f73f9"
"REG","SPONSOR","Code_4","Regulatory","12","236994a0-0d07-4290-9925-6be19c6e1697"
"C93453","http://www.cdisc.org","Code_10","Study Registry","2023-09-29","d205dbf9-bacd-434c-9f43-bcd0aa3b0bed"
"GBR","ISO 3166 1 alpha3","Code_11","United Kingdom of Great Britain and Northern Ireland","2020-08","074a846c-5a4e-455a-a9c6-111318f96c3f"
"C70793","http://www.cdisc.org","Code_12","Clinical Study Sponsor","2023-09-29","d987397b-1d67-4a44-b60e-e35437410b08"
"FRA","ISO 3166 1 alpha3","Code_13","France","2020-08","55252279-12b1-4bd7-878b-a3d41c46f301"
"C15714","http://www.cdisc.org","Code_42","Basic Research","2023-09-29","316fb472-3e49-483d-8e89-d3302d68c5b2"
"C139174","http://www.cdisc.org","Code_43","Device Feasibility Study","2023-09-29","59f743cb-3a59-4c17-b92b-c63fa3f36509"
"C49666","http://www.cdisc.org","Code_44","Efficacy Study","2023-09-29","af3db6a0-dfe0-4db4-8fca-c95886099bb9"
"T2_DIABETES","SPONSOR","Code_39","Type 2 diabetes","12","28355885-c7d6-4522-8139-3eade477ad60"
"73211009","SNOMED","Code_40","Diabetes mellitus (disorder)","January 31, 2018","813ba069-eb1a-41ad-9f32-d026cdf7b547"
"C82639","http://www.cdisc.org","Code_45","Parallel Study","2023-09-29","17d3712a-a139-47e6-a0e6-8f88e3795ace"
"C25716","http://www.cdisc.org","Code_16","Visit","2023-09-29","a7b495b9-7046-4ee7-a469-e985052e643f"
"C51282","http://www.cdisc.org","Code_17","Clinic","2023-09-29","67cb6682-1bc2-4366-b584-f4f5b060aa45"
"C175574","http://www.cdisc.org","Code_18","In Person","2023-09-29","cc7320a4-fff3-492b-b153-d3a64aa50b5c"
"C25716","http://www.cdisc.org","Code_19","Visit","2023-09-29","871a1bb4-8fd3-439f-bf96-41c1ea1750d9"
"C51282","http://www.cdisc.org","Code_20","Clinic","2023-09-29","c78b129a-8ff6-4a5d-8c85-0acfc4f1d7a7"
"C175574","http://www.cdisc.org","Code_21","In Person","2023-09-29","9b603b08-2cb4-411b-a2c7-65ce6b047f8d"
"C25716","http://www.cdisc.org","Code_22","Visit","2023-09-29","b0eb9a14-4e90-4c71-acbe-4660eac1b283"
"C51282","http://www.cdisc.org","Code_23","Clinic","2023-09-29","6ddd6915-7d47-489b-95f8-2b4f4cf3f110"
"C175574","http://www.cdisc.org","Code_24","In Person","2023-09-29","3866db12-1bc6-4e86-99de-dba88dc7650f"
"C25716","http://www.cdisc.org","Code_25","Visit","2023-09-29","67f59d43-6a06-4c2e-9507-c75d5f117f40"
"C51282","http://www.cdisc.org","Code_26","Clinic","2023-09-29","84ab5b51-c401-449e-8e31-b48e347bc3e2"
"C175574","http://www.cdisc.org","Code_27","In Person","2023-09-29","c0501f20-7d87-4c94-9d64-3c6a50efc83d"
"C25716","http://www.cdisc.org","Code_28","Visit","2023-09-29","eccee413-96be-4c38-b8fa-f99a3553678f"
"C18002","http://www.cdisc.org","Code_29","Home","2023-09-29","0cc708be-94e2-4d52-9074-392e4f786a39"
"C171537","http://www.cdisc.org","Code_30","Telephone Call","2023-09-29","808f4507-3519-44a2-92d6-d12943682c56"
"C20197","http://www.cdisc.org","Code_72","Male","2023-09-29","5ea9d31b-52c7-4f8d-8dd8-dd624fe02084"
"C16576","http://www.cdisc.org","Code_73","Female","2023-09-29","c196eccb-89e4-441a-90f0-f7b5247b9857"
"C28421","NCI Thesaurus","Code_74","Sex","","2ad291a5-5d1d-434c-9299-1259b7b924d2"
"C28421","NCI Thesaurus","Code_71","Sex","","972ecb0a-3d47-4a86-a109-08df74483523"
"C17049","NCI Thesaurus","Code_76","Race","","cdccfe7f-2251-4860-b88d-f58ceaad2b92"
"C17049","NCI Thesaurus","Code_75","Race","","355a76b6-078f-4fcd-a597-dc56b454864d"
"C173522","NCI Thesaurus","Code_78","Vital Signs Result","","dcd52d18-51b3-45c8-8308-80fdc773110c"
"C28252","http://www.cdisc.org","Code_79","Kilogram","2023-09-29","ebdcfa78-7cbf-4f31-a87e-903dd9aa1200"
"C48155","http://www.cdisc.org","Code_80","Gram","2023-09-29","5e12304c-f1a3-420e-a563-b0acc5e60958"
"C48531","http://www.cdisc.org","Code_81","Pound","2023-09-29","d9ad5a99-bdcf-4c33-9847-58dfc6f85ab0"
"C48208","NCI Thesaurus","Code_82","Unit of Weight","","e4666e8c-110a-4c49-b535-67eac8907b09"
"C81328","NCI Thesaurus","Code_77","Body Weight","","11718a71-92dc-4519-a947-a563b1227db1"
"C174267","http://www.cdisc.org","Code_31","Active Comparator Arm","2023-09-29","3fad308f-e315-4a8c-8ce1-8233de233cef"
"C188866","http://www.cdisc.org","Code_32","Data Generated Within Study","2023-09-29","f9f66848-883b-4a76-9a03-af13ab9c7be7"
