"id","name","instanceType","sectionTitle","sectionNumber","uuid:ID","text"
"NarrativeContent_1","ROOT","NarrativeContent","Root","0","755b1b7e-0991-47e6-a0ff-31dfe6e08212",""
"NarrativeContent_2","SECTION 0","NarrativeContent","TITLE PAGE","0","dfeb9720-b187-419d-895b-aeec9e01cea7","<div><usdm:section name=""M11-title-page""></div>"
"NarrativeContent_3","SECTION 1","NarrativeContent","PROTOCOL SUMMARY","1","bae54eae-75ac-4d1b-aa6b-8ca2a004ea71","<div></div>"
"NarrativeContent_4","SECTION 1.1","NarrativeContent","Protocol Synopsis","1.1","4d7ef6cf-4ebf-4f64-9342-f674663cb041","<div></div>"
"NarrativeContent_5","SECTION 1.2","NarrativeContent","Trial Schema","1.2","38ab3e19-d25e-414a-bc73-2ff7c177573c","<div></div>"
"NarrativeContent_6","SECTION 1.3","NarrativeContent","Schedule of Activities","1.3","d611e743-715d-4bf4-8bf0-b38ada7b7b50","<div></div>"
"NarrativeContent_7","SECTION 2","NarrativeContent","INTRODUCTION","2","28390f36-653c-4c26-8de0-f19c4ebb5d2b","<div></div>"
"NarrativeContent_8","SECTION 2.1","NarrativeContent","Purpose of Trial","2.1","6680e202-6fe5-4349-a103-672f276ee8d0","<div></div>"
"NarrativeContent_9","SECTION 2.2","NarrativeContent","Summary of Benefits and Risks","2.2","b04a1716-f319-40ee-9244-d3cee4b2b323","<div></div>"
"NarrativeContent_10","SECTION 3","NarrativeContent","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","3","22f60a8d-8dbf-453b-aa8d-e6e8c03207a4","<div></div>"
"NarrativeContent_11","SECTION 3.1","NarrativeContent","Primary Objectives","3.1","6bb20812-7330-4327-9d91-0ba64a937767","<div><usdm:section name=""M11-objective-endpoints""></div>"
"NarrativeContent_12","SECTION 4","NarrativeContent","TRIAL DESIGN","4","2d745aae-8d6c-4866-a9a9-ec56f6bf41d8","<div></div>"
"NarrativeContent_13","SECTION 4.1","NarrativeContent","Description of Trial Design","4.1","3ee56c56-5f8a-434c-b30a-52ee7dd697c8","<div></div>"
"NarrativeContent_14","SECTION 4.1.1","NarrativeContent","Participant Input into Design","4.1.1","f4e17db5-1bbe-41d2-b713-cdee3fa7aef7","<div></div>"
"NarrativeContent_15","SECTION 4.2","NarrativeContent","Rationale for Trial Design","4.2","61d0dc36-9f9a-4909-b442-5fb1d4af78dc","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>"
"NarrativeContent_16","SECTION 4.2.1","NarrativeContent","Rationale for Comparator","4.2.1","4b1dd9c6-335b-431b-a0d5-ce74f4eec6ea","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>"
"NarrativeContent_17","SECTION 4.2.2","NarrativeContent","Rationale for Adaptive or Novel Trial Design","4.2.2","df9d217e-3a2f-48fa-88fe-13f0e959bdb5","<div></div>"
"NarrativeContent_18","SECTION 4.2.3","NarrativeContent","Other Trial Design Considerations","4.2.3","70fb324e-e080-4c7d-ae3a-c3b56e995124","<div></div>"
"NarrativeContent_19","SECTION 4.3","NarrativeContent","Access to Trial Intervention After End of Trial","4.3","dd8b617b-ed76-4aa6-ba13-ea87145f359b","<div></div>"
"NarrativeContent_20","SECTION 4.4","NarrativeContent","Start of Trial and End of Trial","4.4","324d72b5-4db9-4e42-9d6f-1b0acc0203ea","<div></div>"
"NarrativeContent_21","SECTION 5","NarrativeContent","TRIAL POPULATION","5","ee64fe67-0b0c-444f-a41b-a2fe40428e41","<div></div>"
"NarrativeContent_22","SECTION 5.1","NarrativeContent","Selection of Trial Population","5.1","337f294f-0668-4659-9067-331f2cb6b442","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>"
"NarrativeContent_23","SECTION 5.2","NarrativeContent","Rationale for Trial Population","5.2","e226eb41-3a7f-410b-9ee9-5be17d46863f","<div></div>"
"NarrativeContent_24","SECTION 5.3","NarrativeContent","Inclusion Criteria","5.3","a8e557ab-77b7-45a3-8a51-76202d2bb15f","<div><usdm:section name=""M11-inclusion""></div>"
"NarrativeContent_25","SECTION 5.4","NarrativeContent","Exclusion Criteria","5.4","535b7662-e243-4848-b944-5871143d823b","<div><usdm:section name=""M11-exclusion""></div>"
"NarrativeContent_26","SECTION 5.5","NarrativeContent","Lifestyle Considerations","5.5","d0115168-e6d1-48b3-a14a-f57418dae57a","<div></div>"
"NarrativeContent_27","SECTION 5.5.1","NarrativeContent","Meals and Dietary Restrictions","5.5.1","441b0236-010b-4844-955c-8a98258fcc9f","<div></div>"
"NarrativeContent_28","SECTION 5.5.2","NarrativeContent","Caffeine, Alcohol, Tobacco, and Other Habits","5.5.2","46b62325-5323-4246-9deb-abf31a68149a","<div><p>Not applicable</p></div>"
"NarrativeContent_29","SECTION 5.5.3","NarrativeContent","Physical Activity","5.5.3","7e4036ab-c08f-43d3-a800-7cc9e522ed85","<div></div>"
"NarrativeContent_30","SECTION 5.5.4","NarrativeContent","Other Activity","5.5.4","0cb95dca-2d29-4803-aa8c-5bb70366aff3","<div></div>"
"NarrativeContent_31","SECTION 5.6","NarrativeContent","Screen Failures","5.6","a9dcd479-4ee3-40f0-8378-254c8d8f6c22","<div></div>"
"NarrativeContent_32","SECTION 6","NarrativeContent","TRIAL INTERVENTION AND CONCOMITANT THERAPY","6","08c80fb3-00f1-499b-ad11-bf39c8151cdb","<div></div>"
"NarrativeContent_33","SECTION 6.1","NarrativeContent","Description of Trial Intervention","6.1","52101a44-14e0-4fa6-82f4-4194408cff2d","<div></div>"
"NarrativeContent_34","SECTION 6.2","NarrativeContent","Rationale for Trial Intervention","6.2","e8413004-6d42-4e48-9589-7d2bd656613f","<div></div>"
"NarrativeContent_35","SECTION 6.3","NarrativeContent","Dosing and Administration","6.3","726a73e0-1d8b-4ecc-8aa3-9e67aefda87c","<div></div>"
"NarrativeContent_36","SECTION 6.3.1","NarrativeContent","Trial Intervention Dose Modification","6.3.1","7c0b7750-609b-4064-b80c-1a6126ced84b","<div></div>"
"NarrativeContent_37","SECTION 6.4","NarrativeContent","Treatment of Overdose","6.4","dacb0d4b-86e2-46af-b162-31ed547d57cb","<div></div>"
"NarrativeContent_38","SECTION 6.5","NarrativeContent","Preparation, Handling, Storage and Accountability","6.5","17b9e967-9119-4f36-93ff-4bbedf2ff53a","<div></div>"
"NarrativeContent_39","SECTION 6.5.1","NarrativeContent","Preparation of Trial Intervention","6.5.1","d7f23b6c-05ac-4968-aa75-03f883ccaf91","<div></div>"
"NarrativeContent_40","SECTION 6.5.2","NarrativeContent","Handling and Storage of Trial Intervention","6.5.2","369b203d-e106-4a7a-8fac-36e6f9906e16","<div></div>"
"NarrativeContent_41","SECTION 6.5.3","NarrativeContent","Accountability of Trial Intervention","6.5.3","26ef52fa-c828-4627-b571-539e4bf87383","<div></div>"
