"reference","id","synonyms","name","instanceType","uuid:ID","label"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","BiomedicalConcept_20","['Temperature']","Body Temperature","BiomedicalConcept","effbaad7-220c-418f-a8b3-2ff1b41ebfc3","Body Temperature"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","BiomedicalConcept_21","['Weight']","Body Weight","BiomedicalConcept","815cc0c3-ca9a-46bd-b979-40bb2200ddfb","Body Weight"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","BiomedicalConcept_22","['Height']","Body Height","BiomedicalConcept","00854b15-4a45-48de-8290-0720f7017033","Body Height"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept_23","['ALT', 'SGPT']","Alanine Aminotransferase Measurement","BiomedicalConcept","ea8458c8-316f-4dc2-b061-742d08f7afac","Alanine Aminotransferase Measurement"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept_24","['Albumin']","Albumin Measurement","BiomedicalConcept","b6742224-e4f3-4547-a258-f8533ed80ad9","Albumin Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept_25","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","BiomedicalConcept","bde77e1e-03d2-4a44-abdb-a881d7236059","Alkaline Phosphatase Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept_26","['AST', 'SGOT']","Aspartate Aminotransferase Measurement","BiomedicalConcept","4b8a93d6-add2-48ab-af1c-a07edfd468da","Aspartate Aminotransferase Measurement"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept_27","['Creatinine']","Creatinine Measurement","BiomedicalConcept","bfc868ed-aa65-4cf1-9f2d-3b465d57322a","Creatinine Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept_28","['Potassium', 'K']","Potassium Measurement","BiomedicalConcept","720305ce-9626-440a-a5f3-da142e0abed3","Potassium Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept_29","['Sodium', 'NA']","Sodium Measurement","BiomedicalConcept","edb36bfd-1f51-47bb-bd72-dd015a5b5574","Sodium Measurement"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","BiomedicalConcept_1","['Adverse Event Reported Term', 'AETERM']","Adverse Event","BiomedicalConcept","cfcac2b9-da51-4035-92f0-58e5c6a5d7ca","Adverse Event"
