"id","name","instanceType","description","uuid:ID","label"
"Encounter_1","E1","Encounter","Screening encounter","e0190e3f-527c-426f-b272-9762e6cb9d50","Screening 1"
"Encounter_2","E2","Encounter","Screening encounter - Ambulatory ECG Placement","e43baec5-18cc-4586-895e-7fc5a3f4ed46","Screening 2"
"Encounter_3","E3","Encounter","Baseline encounter - Ambulatory ECG Removal","8ed9121b-2eee-4385-9068-8b9c5ee95780","Baseline"
"Encounter_4","E4","Encounter","Day 14","90cfe7f8-bbee-45d0-b974-096f64814ec9","Week 2"
"Encounter_5","E5","Encounter","Day 28","f8828b5f-1c65-4962-b51b-4ad60f6293c8","Week 4"
"Encounter_6","E7","Encounter","Day 42","eeb4e063-d547-495c-b2ad-57b6e3d5b85e","Week 6"
"Encounter_7","E8","Encounter","Day 56","9cebd99e-2a12-4a19-9461-ed9b582aef57","Week 8"
"Encounter_8","E9","Encounter","Day 84","378087fa-15bd-42ec-88b2-b8cdd899c35e","Week 12"
"Encounter_9","E10","Encounter","Day 112","c23a56b4-0395-42d1-98ce-19d774d0ae88","Week 16"
"Encounter_10","E11","Encounter","Day 140","ebf29c4b-8d83-4a9a-8f78-c56c1204d740","Week 20"
"Encounter_11","E12","Encounter","Day 168","0f9b5498-19dd-4416-8409-e7a3a81db665","Week 24"
"Encounter_12","E13","Encounter","Day 182","5e1db015-123a-42ae-ae87-8f83c1f07fe5","Week 26"
