"codeSystemVersion","id","code","instanceType","decode","uuid:ID","codeSystem"
"2023-09-29","Code_1","C98388","Code","Interventional Study","70f397cf-f378-4ec8-88be-027cfd45da8e","http://www.cdisc.org"
"2023-09-29","Code_2","C15601","Code","Phase II Trial","baf6ae6d-f6e6-4f67-9e9a-4d96ae4939ba","http://www.cdisc.org"
"2023-09-29","Code_9","C132352","Code","Sponsor Approval Date","20fea9f9-eea8-4520-ab75-b1ffd9ebaa16","http://www.cdisc.org"
"2023-09-29","Code_10","C68846","Code","Global","79d179e2-5472-45ad-b3f2-a57ebfd9057b","http://www.cdisc.org"
"2023-09-29","Code_72","C99904x3","Code","IRB/IEC Feedback","b505243c-bb12-410a-bf15-d4e37f1cbca4","http://www.cdisc.org"
"2023-09-29","Code_73","C17649","Code","Other","86aded2e-0aa5-4910-8da0-3eaa61e1e220","http://www.cdisc.org"
"2023-09-29","Code_75","C41129","Code","Region","67565303-e20e-4545-bacf-9c2255e19325","http://www.cdisc.org"
"2020-08","Code_74","150","Code","Europe","a91d22da-754f-4a42-a7b5-9aee54f64513","ISO 3166 1 alpha3"
"12","Code_4","PHARMA","Code","Eli Lilly","1fe601ca-21fc-4a39-9b5d-3d39a03f1dea","SPONSOR"
"2023-09-29","Code_76","C70793","Code","Clinical Study Sponsor","42d27278-c3da-4eb5-9629-b9ca3fdbc54d","http://www.cdisc.org"
"2020-08","Code_77","DNK","Code","Denmark","314b9e53-79cc-43e6-b658-75fbb273fee2","ISO 3166 1 alpha3"
"2023-09-29","Code_78","C93453","Code","Study Registry","a89fb82c-3483-487d-bc13-357ced733907","http://www.cdisc.org"
"2023-09-29","Code_136","C49656","Code","Treatment Study","3aacf91c-52c1-4ddb-88f3-89b3056dda0c","http://www.cdisc.org"
"2023-09-29","Code_137","C49666","Code","Efficacy Study","048c2de6-4829-4533-b812-dffdb71534a7","http://www.cdisc.org"
"2023-09-29","Code_138","C49667","Code","Safety Study","7493ec70-c990-41fa-9e80-d32d2ea33e7c","http://www.cdisc.org"
"2023-09-29","Code_139","C49663","Code","Pharmacokinetic Study","b7fded14-f52e-4178-9719-17a401157502","http://www.cdisc.org"
"12","Code_133","MILD_MOD_ALZ","Code","Mild to Moderate Alzheimer's Disease","ea226229-5ad1-4ba5-9868-c3513b821fe8","SPONSOR"
"January 31, 2018","Code_134","26929004","Code","Alzheimer's disease","977b90ed-0af8-4fa1-927c-673d86f9a18e","SNOMED"
"2023-09-29","Code_142","C99907x1","Code","EXTENSION","526a5d07-0f85-4633-b7c2-ecc2e3823282","http://www.cdisc.org"
"2023-09-29","Code_143","C98704","Code","ADAPTIVE","00b72c7a-debf-4e2d-88f6-b0a1d7248747","http://www.cdisc.org"
"2023-09-29","Code_140","C82639","Code","Parallel Study","d3fa98fe-6503-4f14-8286-3c1e3610acbd","http://www.cdisc.org"
"2023-09-29","Code_82","C25716","Code","Visit","33104975-a3a7-470b-9396-e323fa04d21a","http://www.cdisc.org"
"2023-09-29","Code_83","C51282","Code","Clinic","0ef2b2c4-1c8c-4327-a857-bcf06fd33311","http://www.cdisc.org"
"2023-09-29","Code_84","C175574","Code","In Person","59b12b2f-3485-439f-928d-31bd6e48675e","http://www.cdisc.org"
"2023-09-29","Code_85","C25716","Code","Visit","f1d8d617-07e1-43a6-88b4-426dcffd9925","http://www.cdisc.org"
"2023-09-29","Code_86","C51282","Code","Clinic","4a6db985-4a43-4740-993a-45f73e2d7947","http://www.cdisc.org"
"2023-09-29","Code_87","C175574","Code","In Person","43d8d82d-7b03-44a2-904e-3f54e869d2e8","http://www.cdisc.org"
"2023-09-29","Code_88","C25716","Code","Visit","26c362db-e3c0-4195-9e2f-69f87b25d3b5","http://www.cdisc.org"
"2023-09-29","Code_89","C51282","Code","Clinic","283be21e-74c6-4c46-b943-34a366f32cad","http://www.cdisc.org"
"2023-09-29","Code_90","C175574","Code","In Person","4e61b011-6876-4f81-8f78-ca8b0ac41640","http://www.cdisc.org"
"2023-09-29","Code_91","C25716","Code","Visit","6c330367-f0cb-4dc5-8f2c-c8d0cd98eb5d","http://www.cdisc.org"
"2023-09-29","Code_92","C51282","Code","Clinic","d51b6545-e89e-419b-8810-3ae82d3f8566","http://www.cdisc.org"
"2023-09-29","Code_93","C175574","Code","In Person","6fa45bab-f444-49ce-ae70-61c8a0562ee3","http://www.cdisc.org"
"2023-09-29","Code_94","C25716","Code","Visit","f2172498-447d-4f10-b9e5-e0ff00784d50","http://www.cdisc.org"
"2023-09-29","Code_95","C51282","Code","Clinic","b12cfd69-0d12-45fc-a6d4-3530321dba2d","http://www.cdisc.org"
"2023-09-29","Code_96","C175574","Code","In Person","b5f1bf96-55ab-4caa-be41-7a61e3d080eb","http://www.cdisc.org"
"2023-09-29","Code_97","C25716","Code","Visit","9b586512-3e8a-4b53-966a-1a3b3eed23dc","http://www.cdisc.org"
