"isRequired","id","datatype","isEnabled","name","instanceType","uuid:ID","label"
"True","BiomedicalConceptProperty_98","decimal","True","Vital Signs Result","BiomedicalConceptProperty","310b1c5a-209d-4054-b7d7-f99c9995f815","Vital Signs Result"
"True","BiomedicalConceptProperty_99","string","True","Unit of Temperature","BiomedicalConceptProperty","1e533fd2-57f1-40b9-86e7-97c96c789906","Unit of Temperature"
"True","BiomedicalConceptProperty_100","string","True","Vital Signs Location","BiomedicalConceptProperty","a8dafadd-7349-450c-a42b-7b94f15b4a1a","Vital Signs Location"
"True","BiomedicalConceptProperty_101","decimal","True","Vital Signs Result","BiomedicalConceptProperty","1f8180f7-c4a0-4fe7-a3d7-26836b64b323","Vital Signs Result"
"True","BiomedicalConceptProperty_102","string","True","Unit of Weight","BiomedicalConceptProperty","5cf4152e-fe49-4350-929f-805060bf6e72","Unit of Weight"
"True","BiomedicalConceptProperty_103","decimal","True","Vital Signs Result","BiomedicalConceptProperty","592f6ff0-a1a0-4074-9a2e-3f8d691597a2","Vital Signs Result"
"True","BiomedicalConceptProperty_104","string","True","Unit of Height","BiomedicalConceptProperty","54a527a1-f1ae-45d4-ba52-7af4cfa43c85","Unit of Height"
"True","BiomedicalConceptProperty_105","decimal","True","Laboratory Test Result","BiomedicalConceptProperty","d0a6995a-dd73-4751-ab09-4eee31b65954","Laboratory Test Result"
"True","BiomedicalConceptProperty_106","boolean","True","Laboratory Test Fasting Status","BiomedicalConceptProperty","f14d6ff0-a2b0-451a-8874-f57199fd68fc","Laboratory Test Fasting Status"
"True","BiomedicalConceptProperty_107","string","True","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","40d6ca60-1f04-4d76-b052-1b8ac781b4e2","Unit of Catalytic Activity Concentration"
"True","BiomedicalConceptProperty_108","string","True","Biospecimen Type","BiomedicalConceptProperty","f60555f3-822f-41d2-abdc-2a997dda5051","Biospecimen Type"
"True","BiomedicalConceptProperty_109","string","True","Laboratory Test Result","BiomedicalConceptProperty","5176f48f-3eb2-45f4-ab95-af7dfe60d40a","Laboratory Test Result"
