"id","name","instanceType","uuid:ID","text"
"TransitionRule_1","ENCOUNTER_START_RULE_1","TransitionRule","90e87507-558e-4432-af40-34cabfd77397","Subject identifier"
"TransitionRule_2","ENCOUNTER_START_RULE_1","TransitionRule","50c84b82-4caa-4f63-813a-12d160fa66cf","completion of screening activities"
"TransitionRule_3","ENCOUNTER_START_RULE_2","TransitionRule","cf861181-5c75-426c-ae94-55f85d4d4be3","subject leaves clinic after connection of ambulatory ECG machine"
"TransitionRule_4","ENCOUNTER_START_RULE_3","TransitionRule","43040cbb-efa2-48be-b1ce-e4a57428d362","subject has connection of ambulatory ECG machine removed"
"TransitionRule_5","ENCOUNTER_START_RULE_3","TransitionRule","fdb0cf8c-3eab-41df-989b-58a80ac0bb47","Radomized"
"TransitionRule_6","ENCOUNTER_START_RULE_12","TransitionRule","f37a919a-51de-466f-97a5-f09098f199f4","End of treatment"
"TransitionRule_7","ELEMENT_START_RULE_1","TransitionRule","bea3ecf6-9735-4256-82ca-8f024f21aedc","Informed consent"
"TransitionRule_8","ELEMENT_END_RULE_1","TransitionRule","d2e8bd3f-a7b2-4c36-b29b-961197aca951","Completion of all screening activities and no more than 2 weeks from informed consent"
"TransitionRule_9","ELEMENT_START_RULE_2","TransitionRule","e6cfcacc-2bf7-47a5-830a-e6c70572f7e1","Administration of first dose"
"TransitionRule_14","ELEMENT_START_RULE_7","TransitionRule","13a531af-759f-4719-a786-220afacf1eaa","End of last scheduled visit on study (including early termination)"
"TransitionRule_15","ELEMENT_END_RULE_7","TransitionRule","20dcb403-3688-41fa-ad41-832c8cab7f78","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"TransitionRule_10","ELEMENT_START_RULE_3","TransitionRule","5c236631-e548-4940-9a3c-41c0e0285b98","Administration of first dose"
"TransitionRule_11","ELEMENT_START_RULE_4","TransitionRule","afb01cc9-a7b2-494c-bdba-869564400231","Randomized"
"TransitionRule_12","ELEMENT_START_RULE_5","TransitionRule","5ec5488c-b984-4776-9b97-6ea58d450f10","Administration of first dose (from patches supplied at Visit 4)"
"TransitionRule_13","ELEMENT_START_RULE_6","TransitionRule","3ed1f68c-ff13-448a-97fd-9afdbfbed703","Administration of first dose (from patches supplied at Visit 12)"
