"windowUpper","id","name","instanceType","value","windowLower","description","uuid:ID","window","label"
"","Timing_1","TIM1","Timing","P2W","","Screening timing","c20dcc73-a6d8-4568-bb90-d6810bf7edae","","Screening"
"PT0H","Timing_2","TIM2","Timing","P2D","PT4H","Pre dose timing","52ab433a-ae55-4523-b51a-e97b8dda476c","-4..0 hours","Pre dose"
"","Timing_3","TIM3","Timing","P1D","","Dosing anchor","bcc19bf7-68a2-4758-8110-03235c09c9e2","","Dosing"
"P3D","Timing_4","TIM4","Timing","P2W","P3D","Week 2 timing","849b3138-c714-4b41-b878-d31523e953ee","-3..3 days","Week 2"
"P3D","Timing_5","TIM5","Timing","P4W","P3D","Week 4 timing","3c19fd24-9fca-4287-b5dc-55cab9bb0e63","-3..3 days","Week 4"
"P3D","Timing_6","TIM6","Timing","P6W","P3D","Week 6 timing","509297a0-1c2f-4ad4-be74-9a0a8f7a31b3","-3..3 days","Week 6"
"P3D","Timing_7","TIM7","Timing","P8W","P3D","Week 8 timing","6eda051f-4942-4c16-97da-ffc539aafe7b","-3..3 days","Week 8"
"P4D","Timing_9","TIM9","Timing","P12W","P4D","Week 12 timing","2d02bf43-af88-463a-9a8d-8c875d21c77d","-4..4 days","Week 12"
"P4D","Timing_11","TIM11","Timing","P16W","P4D","Week 16 timing","f7ae2dc4-709f-4fab-b97e-1b7b5f23b0e1","-4..4 days","Week 16"
"P4D","Timing_13","TIM13","Timing","P20W","P4D","Week 20 timing","d98e546e-b654-40aa-89c9-c2987fe5e71d","-4..4 days","Week 20"
"P4D","Timing_15","TIM15","Timing","P24W","P4D","Week 24 timing","9b6543a8-0d94-4f65-bf96-7861032060d0","-4..4 days","Week 24"
"P3D","Timing_16","TIM16","Timing","P26W","P3D","Week 26 timing","df217e80-8201-441e-9d87-19adf95ef9df","-3..3 days","Week 26"
"","Timing_8","TIM8","Timing","P2W","","Week 8 at home timing","367e27f8-ddc7-4006-bb96-d0df6ed8a526","","Week 8 Home"
"","Timing_10","TIM10","Timing","P2W","","Week 12 at home timing","21c96c98-4118-4b6d-9b28-e731c909627e","","Week 12 Home"
"","Timing_12","TIM12","Timing","P2W","","Week 16 at home timing","2564a47c-67fe-41d7-b36a-80ac7f7c579a","","Week 16 Home"
"","Timing_14","TIM14","Timing","P2W","","Week 20 at home timing","9fb45b98-1694-4807-8e36-659b658cf9a6","","Week 20 Home"
"","Timing_17","TIM17","Timing","P1D","","Adverse Event","84884679-6a73-49d8-8e78-442e7acbb187","","Adverse Event"
"","Timing_18","TIM18","Timing","P1D","","Early Termination","b04e2fa8-21f7-4670-8807-842588e73e30","","Early Termination"
"","Timing_19","TIM19","Timing","PT0M","","Supine","3139ec58-8f97-4101-9f5b-6c1b30ecbf20","","Supine"
"","Timing_20","TIM20","Timing","PT5M","","VS while supine","9a592b7d-9380-42bc-82a7-cc89869fdfad","","VS while supine"
"","Timing_21","TIM21","Timing","PT0M","","Standing","764e1522-3039-41b6-9166-98925e078628","","Standing"
"","Timing_22","TIM22","Timing","PT1M","","VS while standing","ceda9687-5e89-432d-a313-ac18b65a26ca","","VS while standing"
"","Timing_23","TIM23","Timing","PT0M","","Standing","47af69b2-e568-4f79-b1b3-a09e4e801cac","","Standing"
"","Timing_24","TIM24","Timing","PT2M","","VS while standing","5d71d323-c0de-49ce-b3c9-cd61a733de79","","VS while standing"
