"label","instanceType","id","uuid:ID","name","description"
"Screening 1","Encounter","Encounter_1","7b5143ea-02f6-4185-ae90-604b4767f6a1","E1","Screening encounter"
"Screening 2","Encounter","Encounter_2","88bcb27b-9078-4749-abd0-35e7d3904baa","E2","Screening encounter - Ambulatory ECG Placement"
"Baseline","Encounter","Encounter_3","19b90823-732e-4b1b-9198-0c0e604d4b5c","E3","Baseline encounter - Ambulatory ECG Removal"
"Week 2","Encounter","Encounter_4","03638a85-180d-4a5b-8cad-36ea50867e52","E4","Day 14"
"Week 4","Encounter","Encounter_5","726f7664-b48a-46da-8808-996d68f470a1","E5","Day 28"
"Week 6","Encounter","Encounter_6","b77e16ca-152e-4e3a-ab41-50eae9e8f881","E7","Day 42"
"Week 8","Encounter","Encounter_7","774927df-65de-4e74-aec5-55c8c02384a9","E8","Day 56"
"Week 12","Encounter","Encounter_8","f4ff722f-7e18-4853-b354-ab4c1f7b98ad","E9","Day 84"
"Week 16","Encounter","Encounter_9","8acd452d-5554-4c3b-947a-cd4bfa21c140","E10","Day 112"
"Week 20","Encounter","Encounter_10","14edf8b1-8a58-493a-b3e9-a73b37412fc6","E11","Day 140"
"Week 24","Encounter","Encounter_11","1cd1bfe3-7ee9-4bb1-9194-212eedbc18d7","E12","Day 168"
"Week 26","Encounter","Encounter_12","396fc005-c2ae-42e8-8c77-739eef4df1ae","E13","Day 182"
