"label","instanceType","id","uuid:ID","synonyms","name","reference"
"Body Temperature","BiomedicalConcept","BiomedicalConcept_20","d6b67890-9a63-43f6-a453-e4a8d41335f2","['Temperature']","Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446"
"Body Weight","BiomedicalConcept","BiomedicalConcept_21","978b1579-fdb6-42ce-bf5a-fc23a2fd743c","['Weight']","Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328"
"Body Height","BiomedicalConcept","BiomedicalConcept_22","f1640d48-7eca-4843-b1e8-85eaeec870d6","['Height']","Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634"
"Alanine Aminotransferase Measurement","BiomedicalConcept","BiomedicalConcept_23","2a4f6779-ee16-4c10-906a-a9c3346881bd","['ALT', 'SGPT']","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433"
"Albumin Measurement","BiomedicalConcept","BiomedicalConcept_24","445c1c44-5c62-44ae-b460-6ba89c9ccf0b","['Albumin']","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431"
"Alkaline Phosphatase Measurement","BiomedicalConcept","BiomedicalConcept_25","28459d07-f80b-4554-bdf9-c81cb7b3bf80","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432"
"Aspartate Aminotransferase Measurement","BiomedicalConcept","BiomedicalConcept_26","18266d89-de89-4019-a355-1fded825f789","['AST', 'SGOT']","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467"
"Creatinine Measurement","BiomedicalConcept","BiomedicalConcept_27","c9733bf6-d98b-48c2-946e-19579326b76d","['Creatinine']","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547"
"Potassium Measurement","BiomedicalConcept","BiomedicalConcept_28","097b1e40-e503-49db-b25a-e78da63a5df7","['Potassium', 'K']","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853"
"Sodium Measurement","BiomedicalConcept","BiomedicalConcept_29","e4a59486-2b17-455d-8a53-7826de6abb15","['Sodium', 'NA']","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809"
"Adverse Event","BiomedicalConcept","BiomedicalConcept_1","de5f6635-b455-4d3b-a69b-81126acf09d6","['Adverse Event Reported Term', 'AETERM']","Adverse Event","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331"
"Systolic Blood Pressure","BiomedicalConcept","BiomedicalConcept_2","d44b9a55-b732-4acf-8bf9-1a012fb628b2","['SYSBP']","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298"
"Diastolic Blood Pressure","BiomedicalConcept","BiomedicalConcept_3","18d39580-8ab9-4027-8c95-bf402e8fd231","['DIABP']","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299"
"Body Temperature","BiomedicalConcept","BiomedicalConcept_4","5177af74-eb0d-4a4c-aeae-853671db248b","['Temperature']","Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446"
