"datatype","label","isRequired","instanceType","isEnabled","id","uuid:ID","name"
"decimal","Vital Signs Result","True","BiomedicalConceptProperty","True","BiomedicalConceptProperty_98","329af42a-beae-4493-bbe1-9932240a6696","Vital Signs Result"
"string","Unit of Temperature","True","BiomedicalConceptProperty","True","BiomedicalConceptProperty_99","d2959275-60f6-4621-80fd-3589cb2a5cb1","Unit of Temperature"
"string","Vital Signs Location","True","BiomedicalConceptProperty","True","BiomedicalConceptProperty_100","e14c0df0-4d05-4cee-9907-97555568c122","Vital Signs Location"
"decimal","Vital Signs Result","True","BiomedicalConceptProperty","True","BiomedicalConceptProperty_101","05495c00-97db-4048-9399-e5f3e0dd8483","Vital Signs Result"
"string","Unit of Weight","True","BiomedicalConceptProperty","True","BiomedicalConceptProperty_102","44228416-bb04-44c0-82ec-03cc6cd98164","Unit of Weight"
"decimal","Vital Signs Result","True","BiomedicalConceptProperty","True","BiomedicalConceptProperty_103","b3021194-b02e-4155-8819-007faec2c308","Vital Signs Result"
"string","Unit of Height","True","BiomedicalConceptProperty","True","BiomedicalConceptProperty_104","49f8b185-dfe9-4704-bc1d-5c43130f29ac","Unit of Height"
"decimal","Laboratory Test Result","True","BiomedicalConceptProperty","True","BiomedicalConceptProperty_105","b408d72a-6081-4f14-a716-a005686d08a0","Laboratory Test Result"
"boolean","Laboratory Test Fasting Status","True","BiomedicalConceptProperty","True","BiomedicalConceptProperty_106","78e8aab5-eb0d-4393-b197-71f443373007","Laboratory Test Fasting Status"
"string","Unit of Catalytic Activity Concentration","True","BiomedicalConceptProperty","True","BiomedicalConceptProperty_107","059c4ad6-e446-46f1-85d3-041e4ed97b1a","Unit of Catalytic Activity Concentration"
"string","Biospecimen Type","True","BiomedicalConceptProperty","True","BiomedicalConceptProperty_108","ddbd237d-117f-4b82-96f6-d1225b816d20","Biospecimen Type"
"string","Laboratory Test Result","True","BiomedicalConceptProperty","True","BiomedicalConceptProperty_109","8a157df8-6478-4f9b-85d5-bd47a5c8a840","Laboratory Test Result"
"boolean","Laboratory Test Fasting Status","True","BiomedicalConceptProperty","True","BiomedicalConceptProperty_110","b36db36a-3375-4214-99b6-9090d1e49645","Laboratory Test Fasting Status"
"string","Unit of Concentration","True","BiomedicalConceptProperty","True","BiomedicalConceptProperty_111","20cd7dd1-7cba-4fef-af83-9cdcf8a82ce3","Unit of Concentration"
"string","Biospecimen Type","True","BiomedicalConceptProperty","True","BiomedicalConceptProperty_112","61cdd8f9-ce97-43ab-a0f0-8dadffc04282","Biospecimen Type"
"decimal","Laboratory Test Result","True","BiomedicalConceptProperty","True","BiomedicalConceptProperty_113","f6d2df31-d0a5-4555-8624-c2915699d38f","Laboratory Test Result"
"boolean","Laboratory Test Fasting Status","True","BiomedicalConceptProperty","True","BiomedicalConceptProperty_114","bf6cb13e-737d-48eb-b9a7-f8315f2f1a85","Laboratory Test Fasting Status"
"string","Unit of Catalytic Activity Concentration","True","BiomedicalConceptProperty","True","BiomedicalConceptProperty_115","cbbf7d81-c04a-42c0-b01c-1bda1a885a5e","Unit of Catalytic Activity Concentration"
"string","Biospecimen Type","True","BiomedicalConceptProperty","True","BiomedicalConceptProperty_116","af0b4e1b-f0ec-4d26-b86a-0ac4610bea37","Biospecimen Type"
"decimal","Laboratory Test Result","True","BiomedicalConceptProperty","True","BiomedicalConceptProperty_117","5ca0f8f2-54f9-47f7-96e9-0b41cec26d54","Laboratory Test Result"
"boolean","Laboratory Test Fasting Status","True","BiomedicalConceptProperty","True","BiomedicalConceptProperty_118","b5a51f3f-ff29-46db-b9c5-f098ab566158","Laboratory Test Fasting Status"
"string","Unit of Catalytic Activity Concentration","True","BiomedicalConceptProperty","True","BiomedicalConceptProperty_119","e05c0a36-9ab2-42d7-b6a5-218f352277e6","Unit of Catalytic Activity Concentration"
"string","Biospecimen Type","True","BiomedicalConceptProperty","True","BiomedicalConceptProperty_120","713d0ae8-c3ee-4bd1-a930-351b183b29d9","Biospecimen Type"
"string","Laboratory Test Result","True","BiomedicalConceptProperty","True","BiomedicalConceptProperty_121","64a3864d-b8bc-4223-b591-3e7d7c9c0b45","Laboratory Test Result"
"boolean","Laboratory Test Fasting Status","True","BiomedicalConceptProperty","True","BiomedicalConceptProperty_122","fe575adf-3923-4d23-8c01-6fca1a0909eb","Laboratory Test Fasting Status"
"string","Unit of Concentration","True","BiomedicalConceptProperty","True","BiomedicalConceptProperty_123","37052e0e-c03b-4e38-8d25-3b928687b38b","Unit of Concentration"
"string","Biospecimen Type","True","BiomedicalConceptProperty","True","BiomedicalConceptProperty_124","03026913-b315-42cc-8f3e-e52ad3570b19","Biospecimen Type"
"decimal","Laboratory Test Result","True","BiomedicalConceptProperty","True","BiomedicalConceptProperty_125","3a732e1c-5480-4836-be23-bd968b92f7db","Laboratory Test Result"
"boolean","Laboratory Test Fasting Status","True","BiomedicalConceptProperty","True","BiomedicalConceptProperty_126","4391cbed-5f1f-4876-9967-a0129f8f1a0b","Laboratory Test Fasting Status"
"string","Molarity Unit","True","BiomedicalConceptProperty","True","BiomedicalConceptProperty_127","ab9c3eca-1346-4290-9c41-0658a8e32598","Molarity Unit"
"string","Biospecimen Type","True","BiomedicalConceptProperty","True","BiomedicalConceptProperty_128","a630be6a-6d03-4e9a-a4fc-47ed846ef9c5","Biospecimen Type"
"decimal","Laboratory Test Result","True","BiomedicalConceptProperty","True","BiomedicalConceptProperty_129","0a7195c1-4ffa-4bde-81fd-9066e51430ca","Laboratory Test Result"
"boolean","Laboratory Test Fasting Status","True","BiomedicalConceptProperty","True","BiomedicalConceptProperty_130","7268cad8-ae16-4c32-8472-80345b54799b","Laboratory Test Fasting Status"
"string","Molarity Unit","True","BiomedicalConceptProperty","True","BiomedicalConceptProperty_131","1e4123f2-0b5c-43ce-b650-4fc522ae3068","Molarity Unit"
"string","Biospecimen Type","True","BiomedicalConceptProperty","True","BiomedicalConceptProperty_132","4105210a-e2e7-4ada-b7ad-711d95fed244","Biospecimen Type"
"string","Adverse Event Verbatim Description","True","BiomedicalConceptProperty","True","BiomedicalConceptProperty_1","1a8ae494-d5ff-4891-9d10-ab4ebc8eadde","Adverse Event Verbatim Description"
"string","Adverse Event Dictionary Derived Term","True","BiomedicalConceptProperty","True","BiomedicalConceptProperty_2","395c689d-7fe8-4416-b513-4bb49d64522d","Adverse Event Dictionary Derived Term"
"string","Adverse Event Category","True","BiomedicalConceptProperty","True","BiomedicalConceptProperty_3","f98171dd-a862-48b9-a55d-919259da0441","Adverse Event Category"
"string","Adverse Event Subcategory","True","BiomedicalConceptProperty","True","BiomedicalConceptProperty_4","3174f1be-edb4-4001-a7ed-f7360d0eb541","Adverse Event Subcategory"
"boolean","Adverse Event Pre-specified","True","BiomedicalConceptProperty","True","BiomedicalConceptProperty_5","c08d6fd8-fa53-4eff-9085-289c795b1227","Adverse Event Pre-specified"
"string","Severity of Adverse Event","True","BiomedicalConceptProperty","True","BiomedicalConceptProperty_6","4b09303b-9c1b-4cd0-8308-3f263d5816d0","Severity of Adverse Event"
"string","Adverse Event Toxicity Grade","True","BiomedicalConceptProperty","True","BiomedicalConceptProperty_7","79974869-57c9-4f11-9b38-64a93531faed","Adverse Event Toxicity Grade"
"boolean","Seriousness of Adverse Event","True","BiomedicalConceptProperty","True","BiomedicalConceptProperty_8","82d1e0b6-e778-464d-af1f-c0c84515f75b","Seriousness of Adverse Event"
"string","Adverse Event Action Taken with Study Treatment","True","BiomedicalConceptProperty","True","BiomedicalConceptProperty_9","61911b37-97be-4ca3-b63d-d5ba03020344","Adverse Event Action Taken with Study Treatment"
