"sectionTitle","instanceType","id","uuid:ID","name","sectionNumber","text"
"Root","NarrativeContent","NarrativeContent_1","62db68da-bad2-481f-a782-205806ff7938","ROOT","0",""
"TITLE PAGE","NarrativeContent","NarrativeContent_2","9fb295f1-ff0a-4c8b-939a-f482496a380e","SECTION 0","0","<div><usdm:section name=""M11-title-page""></div>"
"PROTOCOL SUMMARY","NarrativeContent","NarrativeContent_3","a83deb94-1082-48a4-9606-7369ebd0fb02","SECTION 1","1","<div></div>"
"Protocol Synopsis","NarrativeContent","NarrativeContent_4","d5d04528-c2c6-45dd-90bd-53242c256717","SECTION 1.1","1.1","<div></div>"
"Trial Schema","NarrativeContent","NarrativeContent_5","2c601de4-f603-4a5e-8772-13c0d18deaae","SECTION 1.2","1.2","<div></div>"
"Schedule of Activities","NarrativeContent","NarrativeContent_6","437beff8-6c53-426f-95a3-d1058a5bcd6d","SECTION 1.3","1.3","<div></div>"
"INTRODUCTION","NarrativeContent","NarrativeContent_7","d09cb6c4-7058-4fdc-9a09-1082c1a2b265","SECTION 2","2","<div></div>"
"Purpose of Trial","NarrativeContent","NarrativeContent_8","347a5dfc-625c-4905-a669-7eaf1948b814","SECTION 2.1","2.1","<div></div>"
"Summary of Benefits and Risks","NarrativeContent","NarrativeContent_9","f40dde23-2d6a-4049-8c2c-1fc200f7021b","SECTION 2.2","2.2","<div></div>"
"TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","NarrativeContent","NarrativeContent_10","6b3fdb6b-5cec-49f3-9032-72b08bad0af9","SECTION 3","3","<div></div>"
"Primary Objectives","NarrativeContent","NarrativeContent_11","add9e2c2-0dbd-49c7-85a2-0dd78b5e6cd9","SECTION 3.1","3.1","<div><usdm:section name=""M11-objective-endpoints""></div>"
"TRIAL DESIGN","NarrativeContent","NarrativeContent_12","5bcd514c-01c8-41d1-abdd-0855bf85747f","SECTION 4","4","<div></div>"
"Description of Trial Design","NarrativeContent","NarrativeContent_13","ef19c2b3-4844-4821-bed9-37882f0d652a","SECTION 4.1","4.1","<div></div>"
"Participant Input into Design","NarrativeContent","NarrativeContent_14","517f2b89-83e0-45c5-bd9e-4264c1576319","SECTION 4.1.1","4.1.1","<div></div>"
"Rationale for Trial Design","NarrativeContent","NarrativeContent_15","d8b39aef-d0f3-496f-9e3b-ee813e454c4c","SECTION 4.2","4.2","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>"
"Rationale for Comparator","NarrativeContent","NarrativeContent_16","31ae3f08-e31a-4f9d-a5e7-034d006c47aa","SECTION 4.2.1","4.2.1","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>"
"Rationale for Adaptive or Novel Trial Design","NarrativeContent","NarrativeContent_17","3fd316eb-235e-4fd3-9fe4-018c92fcb9a0","SECTION 4.2.2","4.2.2","<div></div>"
"Other Trial Design Considerations","NarrativeContent","NarrativeContent_18","b02f1f27-9842-4eaa-afe0-c1ed9bbf6510","SECTION 4.2.3","4.2.3","<div></div>"
"Access to Trial Intervention After End of Trial","NarrativeContent","NarrativeContent_19","8461f4ce-f8c1-4f54-99ed-5b8475bbd103","SECTION 4.3","4.3","<div></div>"
"Start of Trial and End of Trial","NarrativeContent","NarrativeContent_20","8497bb0b-d39e-4a21-9d35-71952a7904f6","SECTION 4.4","4.4","<div></div>"
"TRIAL POPULATION","NarrativeContent","NarrativeContent_21","96d68417-430f-4bfe-bd4c-d15995ae992a","SECTION 5","5","<div></div>"
"Selection of Trial Population","NarrativeContent","NarrativeContent_22","e3f6c7fc-eb34-4683-9831-da26ec7542ee","SECTION 5.1","5.1","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>"
"Rationale for Trial Population","NarrativeContent","NarrativeContent_23","b5e53b0b-9764-4703-bde3-874d4c6e4e90","SECTION 5.2","5.2","<div></div>"
"Inclusion Criteria","NarrativeContent","NarrativeContent_24","663d2eee-7018-4b58-9684-b38c35dcbb92","SECTION 5.3","5.3","<div><usdm:section name=""M11-inclusion""></div>"
"Exclusion Criteria","NarrativeContent","NarrativeContent_25","86548577-744f-4555-b4cf-4de3ef990fa5","SECTION 5.4","5.4","<div><usdm:section name=""M11-exclusion""></div>"
"Lifestyle Considerations","NarrativeContent","NarrativeContent_26","10aca90b-44a2-4b2a-9782-e6966b04d723","SECTION 5.5","5.5","<div></div>"
"Meals and Dietary Restrictions","NarrativeContent","NarrativeContent_27","e3d68933-2889-4ade-a130-8e56e291b56f","SECTION 5.5.1","5.5.1","<div></div>"
"Caffeine, Alcohol, Tobacco, and Other Habits","NarrativeContent","NarrativeContent_28","04c975a2-e660-439b-b6ce-bdc0b6da9ff3","SECTION 5.5.2","5.5.2","<div><p>Not applicable</p></div>"
"Physical Activity","NarrativeContent","NarrativeContent_29","f3efa7af-8248-4f9e-beda-cdfcc1074f3b","SECTION 5.5.3","5.5.3","<div></div>"
"Other Activity","NarrativeContent","NarrativeContent_30","e0af0f54-6f8b-4ccd-97e8-02d1b99b150d","SECTION 5.5.4","5.5.4","<div></div>"
"Screen Failures","NarrativeContent","NarrativeContent_31","c780943e-3a9a-4311-b0b1-4e3a1b44dbe5","SECTION 5.6","5.6","<div></div>"
"TRIAL INTERVENTION AND CONCOMITANT THERAPY","NarrativeContent","NarrativeContent_32","db54b086-ab13-4422-829d-8d88a92d2344","SECTION 6","6","<div></div>"
"Description of Trial Intervention","NarrativeContent","NarrativeContent_33","2ed58f62-2009-49bf-bdf8-064937e148e3","SECTION 6.1","6.1","<div></div>"
"Rationale for Trial Intervention","NarrativeContent","NarrativeContent_34","3447be7b-3605-4ed9-9eb5-47803280ae4f","SECTION 6.2","6.2","<div></div>"
"Dosing and Administration","NarrativeContent","NarrativeContent_35","a3711a9d-d7c1-46a1-b8da-b3a90adbd143","SECTION 6.3","6.3","<div></div>"
"Trial Intervention Dose Modification","NarrativeContent","NarrativeContent_36","ed5d08d8-475f-4d60-b515-33f2c2f5d37b","SECTION 6.3.1","6.3.1","<div></div>"
"Treatment of Overdose","NarrativeContent","NarrativeContent_37","1d238ade-5a4e-4891-b7f0-579a1b1aa396","SECTION 6.4","6.4","<div></div>"
"Preparation, Handling, Storage and Accountability","NarrativeContent","NarrativeContent_38","b5d7359d-194e-4dba-95a6-7141ac8b7bb8","SECTION 6.5","6.5","<div></div>"
"Preparation of Trial Intervention","NarrativeContent","NarrativeContent_39","712ca35c-7a89-4228-a7e4-484d3fc74e18","SECTION 6.5.1","6.5.1","<div></div>"
"Handling and Storage of Trial Intervention","NarrativeContent","NarrativeContent_40","d8bd3ee6-92ca-4ea5-8ac4-9c401435ec1d","SECTION 6.5.2","6.5.2","<div></div>"
"Accountability of Trial Intervention","NarrativeContent","NarrativeContent_41","ab0a22eb-acb2-4788-b24a-eeaad7253c3f","SECTION 6.5.3","6.5.3","<div></div>"
"Participant Assignment, Randomisation and Blinding","NarrativeContent","NarrativeContent_42","18c22ce0-7d28-48da-ad3f-89fc86e73a05","SECTION 6.6","6.6","<div></div>"
"Participant Assignment","NarrativeContent","NarrativeContent_43","dd43035c-65b9-4c36-b0c9-01cfa9919ae3","SECTION 6.6.1","6.6.1","<div></div>"
"Randomisation","NarrativeContent","NarrativeContent_44","72defc2c-45ce-4406-bc83-f67b8f412aec","SECTION 6.6.2","6.6.2","<div></div>"
"Blinding and Unblinding","NarrativeContent","NarrativeContent_45","fe293b23-c151-49f2-aa95-5e6071924ecb","SECTION 6.6.3","6.6.3","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>"
"Trial Intervention Compliance","NarrativeContent","NarrativeContent_46","13067f8f-dc99-4df0-8f83-d185357638d9","SECTION 6.7","6.7","<div></div>"
"Concomitant Therapy","NarrativeContent","NarrativeContent_47","8a32decf-a65a-458b-a09f-bf7446ac0f31","SECTION 6.8","6.8","<div></div>"
"Prohibited Concomitant Therapy","NarrativeContent","NarrativeContent_48","4aa88354-214c-4bc7-84ec-c0f8aa3a73ee","SECTION 6.8.1","6.8.1","<div></div>"
"Permitted Concomitant Therapy","NarrativeContent","NarrativeContent_49","37418a06-1f48-4f14-a902-58a6aa587b05","SECTION 6.8.2","6.8.2","<div></div>"
"Rescue Therapy","NarrativeContent","NarrativeContent_50","746503d8-bb64-460d-9e33-80dbe1647519","SECTION 6.8.3","6.8.3","<div></div>"
"Other Therapy","NarrativeContent","NarrativeContent_51","ec5dd5b5-6438-44f3-91ca-507814bba5b3","SECTION 6.8.4","6.8.4","<div></div>"
"DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","NarrativeContent","NarrativeContent_52","9f0aed19-387f-4e46-831c-52ff4da3d035","SECTION 7","7","<div></div>"
"Discontinuation of Trial Intervention","NarrativeContent","NarrativeContent_53","2c1f32c6-b603-46b8-8213-eeec766ae815","SECTION 7.1","7.1","<div></div>"
"Criteria for Permanent Discontinuation of Trial Intervention","NarrativeContent","NarrativeContent_54","b39084e9-4a02-4371-b092-a979c3ef0b8f","SECTION 7.1.1","7.1.1","<div></div>"
"Temporary Discontinuation or Interruption of Trial Intervention","NarrativeContent","NarrativeContent_55","6499be74-cfe3-4da9-a363-f454f1003f57","SECTION 7.1.2","7.1.2","<div></div>"
"Rechallenge","NarrativeContent","NarrativeContent_56","fca8a3a7-c13f-49ba-8a53-276f0f9bf759","SECTION 7.1.3","7.1.3","<div></div>"
"Participant Withdrawal from the Trial","NarrativeContent","NarrativeContent_57","315a6d94-ee2f-4e5f-bbf4-25c99d2f0319","SECTION 7.2","7.2","<div></div>"
"Lost to Follow-Up","NarrativeContent","NarrativeContent_58","7faaeabb-498a-4d54-84e6-57527bf25504","SECTION 7.3","7.3","<div></div>"
"Trial Stopping Rules","NarrativeContent","NarrativeContent_59","b0604273-e87a-4b93-8813-4fbb7a144af2","SECTION 7.4","7.4","<div></div>"
"TRIAL ASSESSMENTS AND PROCEDURES","NarrativeContent","NarrativeContent_60","d43b7f6a-3186-46b3-8d3d-d84d7e97bd61","SECTION 8","8","<div></div>"
"Screening/Baseline Assessments and Procedures","NarrativeContent","NarrativeContent_61","778ca9fd-204a-4c0a-ac1f-259ec433fbd6","SECTION 8.1","8.1","<div></div>"
"Efficacy Assessments and Procedures","NarrativeContent","NarrativeContent_62","34af2ac2-6be2-4e83-89e5-99176421133f","SECTION 8.2","8.2","<div></div>"
"Safety Assessments and Procedures","NarrativeContent","NarrativeContent_63","7722716a-8047-4300-b466-5a1e05b9feb4","SECTION 8.3","8.3","<div></div>"
"Physical Examination","NarrativeContent","NarrativeContent_64","936c94c3-11db-4962-b4f3-74ff5ab0d464","SECTION 8.3.1","8.3.1","<div></div>"
"Vital Signs","NarrativeContent","NarrativeContent_65","7e6efcea-a688-4f4a-a3f7-f88a8e894681","SECTION 8.3.2","8.3.2","<div></div>"
"Electrocardiograms","NarrativeContent","NarrativeContent_66","f9435b36-1dc2-4fca-9a06-4ed41543367f","SECTION 8.3.3","8.3.3","<div></div>"
"Clinical Laboratory Assessments","NarrativeContent","NarrativeContent_67","4f09e33e-b631-48f9-8a9a-501a68f821c2","SECTION 8.3.4","8.3.4","<div></div>"
"Suicidal Ideation and Behaviour Risk Monitoring","NarrativeContent","NarrativeContent_68","fc7e4136-0a0e-4900-ac27-f26486140e5d","SECTION 8.3.5","8.3.5","<div></div>"
