"decode","instanceType","code","id","codeSystemVersion","uuid:ID","codeSystem"
"Interventional Study","Code","C98388","Code_1","2023-09-29","0283a8a5-9be0-4f61-915d-0e1e4e1b858e","http://www.cdisc.org"
"Phase II Trial","Code","C15601","Code_2","2023-09-29","a3678c5d-0fe0-45d4-87b4-04516afcdd46","http://www.cdisc.org"
"Sponsor Approval Date","Code","C132352","Code_9","2023-09-29","59f5f288-006a-4cf5-a22b-e4caba411930","http://www.cdisc.org"
"Global","Code","C68846","Code_10","2023-09-29","b0e250f4-5265-43cc-99c7-281a461ee163","http://www.cdisc.org"
"IRB/IEC Feedback","Code","C99904x3","Code_72","2023-09-29","fddca512-4a49-4d8e-ad24-730e8f5a216c","http://www.cdisc.org"
"Other","Code","C17649","Code_73","2023-09-29","e9864a83-ad78-4fe5-bdf4-b839cf146464","http://www.cdisc.org"
"Region","Code","C41129","Code_75","2023-09-29","c11c2076-5c91-48b5-8b3f-e5aa0dd69447","http://www.cdisc.org"
"Europe","Code","150","Code_74","2020-08","a12ff070-d72b-4434-885d-40da47330986","ISO 3166 1 alpha3"
"Eli Lilly","Code","PHARMA","Code_4","12","dd86f29e-9f25-465f-8088-25e5d457e455","SPONSOR"
"Clinical Study Sponsor","Code","C70793","Code_76","2023-09-29","8e93afbb-a3e4-4dad-9347-a3447caf9d8a","http://www.cdisc.org"
"Denmark","Code","DNK","Code_77","2020-08","931a123a-3a06-4736-8de7-b528fda1211e","ISO 3166 1 alpha3"
"Study Registry","Code","C93453","Code_78","2023-09-29","88d4e640-244d-4a6d-929b-0b2538700f7b","http://www.cdisc.org"
"Treatment Study","Code","C49656","Code_136","2023-09-29","0ed20808-fce9-4a74-8bf5-7a33739486eb","http://www.cdisc.org"
"Efficacy Study","Code","C49666","Code_137","2023-09-29","ec2ed255-f1f4-4540-bd8b-8dd5ee703e19","http://www.cdisc.org"
"Safety Study","Code","C49667","Code_138","2023-09-29","f290c601-1bda-45c1-9210-76ad92560348","http://www.cdisc.org"
"Pharmacokinetic Study","Code","C49663","Code_139","2023-09-29","2bbdf5f9-a36d-4f7b-9202-6947f975097b","http://www.cdisc.org"
"Mild to Moderate Alzheimer's Disease","Code","MILD_MOD_ALZ","Code_133","12","396de26a-5051-4104-8dbc-961ddf8321dd","SPONSOR"
"Alzheimer's disease","Code","26929004","Code_134","January 31, 2018","dcc35df3-d2f5-458e-8a81-dcdd6620a073","SNOMED"
