"windowLower","label","instanceType","value","window","id","uuid:ID","name","windowUpper","description"
"","Screening","Timing","P2W","","Timing_1","a5679871-c7c6-4002-a4ac-2ac7d4a5cfb6","TIM1","","Screening timing"
"PT4H","Pre dose","Timing","P2D","-4..0 hours","Timing_2","1a1ee8aa-c60e-4918-9b9f-fbf3e27e4965","TIM2","PT0H","Pre dose timing"
"","Dosing","Timing","P1D","","Timing_3","2922dc9e-7a11-465c-8fbc-0edd6b6a8bf5","TIM3","","Dosing anchor"
"P3D","Week 2","Timing","P2W","-3..3 days","Timing_4","7afb6852-c207-4364-865b-3d2d206c8a00","TIM4","P3D","Week 2 timing"
"P3D","Week 4","Timing","P4W","-3..3 days","Timing_5","1a8d4040-7394-4f54-b39a-05b9bce00379","TIM5","P3D","Week 4 timing"
"P3D","Week 6","Timing","P6W","-3..3 days","Timing_6","4c6508fe-8777-4940-a140-730d3396ad65","TIM6","P3D","Week 6 timing"
"P3D","Week 8","Timing","P8W","-3..3 days","Timing_7","ce6b0508-6699-435d-b31b-9bc962b9e450","TIM7","P3D","Week 8 timing"
"P4D","Week 12","Timing","P12W","-4..4 days","Timing_9","e1597b7a-bb81-4953-84af-2188116d5d33","TIM9","P4D","Week 12 timing"
"P4D","Week 16","Timing","P16W","-4..4 days","Timing_11","9a771e30-8c84-4261-9698-393e0de2ca12","TIM11","P4D","Week 16 timing"
"P4D","Week 20","Timing","P20W","-4..4 days","Timing_13","8872f0be-bc00-479c-b79c-1d3dcd551027","TIM13","P4D","Week 20 timing"
"P4D","Week 24","Timing","P24W","-4..4 days","Timing_15","1e56ec70-b59d-4f5c-b556-3f1cc6601986","TIM15","P4D","Week 24 timing"
"P3D","Week 26","Timing","P26W","-3..3 days","Timing_16","5f2f10a9-45c5-4ff2-aa9e-c5aa0b1836f7","TIM16","P3D","Week 26 timing"
"","Week 8 Home","Timing","P2W","","Timing_8","2e912f4e-b32e-4732-83ce-4775fccfc7e1","TIM8","","Week 8 at home timing"
"","Week 12 Home","Timing","P2W","","Timing_10","39dc15f9-2565-4377-b407-98ef857d977f","TIM10","","Week 12 at home timing"
"","Week 16 Home","Timing","P2W","","Timing_12","2a307491-b4f1-4698-a438-9b3574706d6d","TIM12","","Week 16 at home timing"
"","Week 20 Home","Timing","P2W","","Timing_14","65739769-16bc-4de0-807c-08d59b46af5d","TIM14","","Week 20 at home timing"
"","Adverse Event","Timing","P1D","","Timing_17","b21df49a-9f21-4808-9cf1-2f5f1b4fa090","TIM17","","Adverse Event"
"","Early Termination","Timing","P1D","","Timing_18","e39d67a1-7514-4939-ac21-98b121bbfb45","TIM18","","Early Termination"
"","Supine","Timing","PT0M","","Timing_19","2a1d2f3f-cbd4-4928-8d7c-25023f259ba2","TIM19","","Supine"
"","VS while supine","Timing","PT5M","","Timing_20","a380ea25-af17-4754-a838-3edbdf37abd3","TIM20","","VS while supine"
"","Standing","Timing","PT0M","","Timing_21","b01f9e11-a0d3-4ffe-ad48-8cd1e2edb44c","TIM21","","Standing"
"","VS while standing","Timing","PT1M","","Timing_22","f393525b-96a3-43e8-8b9b-17d1adf8f0b1","TIM22","","VS while standing"
"","Standing","Timing","PT0M","","Timing_23","cdefe855-f3c1-4587-b064-1ac9b6b611ac","TIM23","","Standing"
"","VS while standing","Timing","PT2M","","Timing_24","928ff102-65c0-4ee4-951d-f3780bc1f3e8","TIM24","","VS while standing"
