"codeSystemVersion","uuid:ID","decode","code","codeSystem","id"
"2023-09-29","a0368d91-9c17-4d5c-b864-d2f2c104ea1f","Interventional Study","C98388","http://www.cdisc.org","Code_1"
"2023-09-29","da43956d-a060-4457-83fd-dba472ed0fb1","Phase III Trial","C15602","http://www.cdisc.org","Code_2"
"2023-09-29","4397dd10-df6b-438c-877d-a9fc454972d9","Sponsor Approval Date","C132352","http://www.cdisc.org","Code_6"
"2023-09-29","8c063ac3-e5d4-46ab-bf87-d73c95bcaaf5","Country","C25464","http://www.cdisc.org","Code_8"
"2020-08","2fe0e19b-2506-4563-a159-71fe34f1f10f","United Kingdom of Great Britain and Northern Ireland","GBR","ISO 3166 1 alpha3","Code_7"
"2023-09-29","c9123604-6bcf-43a7-9f33-194769617418","Country","C25464","http://www.cdisc.org","Code_10"
"2020-08","f1473857-f70f-4d67-b473-fc95a7c8cc3c","France","FRA","ISO 3166 1 alpha3","Code_9"
"2023-09-29","1ca0bb5b-628e-4be4-9840-15f9dba450d5","Region","C41129","http://www.cdisc.org","Code_12"
"2020-08","55e09a82-7898-4d46-bdf7-26ef5d6c1056","Asia","142","ISO 3166 1 alpha3","Code_11"
"2023-09-29","5610c9aa-32fd-4b0f-a7b1-52c1fa96bf68","Country","C25464","http://www.cdisc.org","Code_14"
"2020-08","71cd984e-78b9-410f-92b9-f42ac4c3f527","United States of America","USA","ISO 3166 1 alpha3","Code_13"
"2023-09-29","06dbd43f-e305-4ebe-863b-2e1e3748a8c5","Other","C17649","http://www.cdisc.org","Code_43"
"2023-09-29","9ea45561-318f-4c07-83c5-7329613e66bf","Region","C41129","http://www.cdisc.org","Code_45"
"2020-08","f2b51c13-68f2-4f58-be8a-69964b1a1258","Europe","150","ISO 3166 1 alpha3","Code_44"
"2023-09-29","ea9c69ad-b54c-46dd-b87f-ebd82aa9a296","Change In Strategy","C99904x7","http://www.cdisc.org","Code_40"
"2023-09-29","6bebf176-a5c2-449b-bd46-7161d73f66e3","Investigator/Site Feedback","C99904x10","http://www.cdisc.org","Code_41"
"2023-09-29","0a3abfb2-db30-476a-a201-4b29b1a8a944","Global","C68846","http://www.cdisc.org","Code_42"
"2023-09-29","51ef4c5b-333d-4501-880c-446246818e24","New Safety Information Available","C99904x4","http://www.cdisc.org","Code_35"
"2023-09-29","bab05424-e998-4713-9c56-17fb84eb8e5d","Region","C41129","http://www.cdisc.org","Code_37"
"2020-08","25df45a5-c269-41e4-b1a2-b98e4835d7e2","Europe","150","ISO 3166 1 alpha3","Code_36"
"2023-09-29","4f05e365-1d46-45af-959a-3cc5a9fe7378","Country","C25464","http://www.cdisc.org","Code_39"
"2020-08","f1de679c-65f0-4677-9db2-83eeee66f2f8","Denmark","DNK","ISO 3166 1 alpha3","Code_38"
"2023-09-29","0dc1b54d-635a-4d51-b389-ecf24efa4538","IRB/IEC Feedback","C99904x3","http://www.cdisc.org","Code_33"
"2023-09-29","2582e3e1-08d7-4c39-a6ef-476cce2a5a5b","Global","C68846","http://www.cdisc.org","Code_34"
"12","b7c40b3c-9951-4b7b-a08b-0548a5d888b9","Vacines Group","VAC","SPONSOR","Code_3"
"12","b0b49b47-9860-462a-91d8-57ebf3aa5433","Regulatory","REG","SPONSOR","Code_4"
"2023-09-29","6ff64a99-2ae3-4259-98bb-55f98e560d7e","Study Registry","C93453","http://www.cdisc.org","Code_46"
"2020-08","278e6655-729f-45d8-a8c8-cc385749d54d","United Kingdom of Great Britain and Northern Ireland","GBR","ISO 3166 1 alpha3","Code_47"
"2023-09-29","5695b434-3141-4964-b471-cc6a02243388","Clinical Study Sponsor","C70793","http://www.cdisc.org","Code_48"
"2020-08","7f858e28-48e6-4808-80ae-49b18f8ec5d5","France","FRA","ISO 3166 1 alpha3","Code_49"
"2023-09-29","8da9e135-a4fa-425a-ac3e-7e0a1c435274","Regulatory Agency","C188863","http://www.cdisc.org","Code_50"
"2023-09-29","9f5f4050-50f3-48e2-9d49-07ce46728815","Regulatory Agency","C188863","http://www.cdisc.org","Code_51"
"2023-09-29","11c869ee-445d-4a06-b8af-eda5e5a6b0c0","Study Registry","C93453","http://www.cdisc.org","Code_52"
"2023-09-29","3ed463f4-21b7-4820-8404-87cf8a8d636f","Basic Research","C15714","http://www.cdisc.org","Code_84"
"2023-09-29","865b265a-35d6-4f76-a335-fe336771d282","Device Feasibility Study","C139174","http://www.cdisc.org","Code_85"
"2023-09-29","2202fa60-d401-46e2-862d-854675284f70","Efficacy Study","C49666","http://www.cdisc.org","Code_86"
"12","ea4db184-77fe-4ce8-9a3b-b8c886b9086a","Type 2 diabetes","T2_DIABETES","SPONSOR","Code_81"
"January 31, 2018","73bcf61c-f9a3-4b38-9d7e-0bb642d65116","Diabetes mellitus (disorder)","73211009","SNOMED","Code_82"
"2023-09-29","b5b643c4-d53a-48d1-86a6-8f4735152cac","Parallel Study","C82639","http://www.cdisc.org","Code_87"
"2023-09-29","cddbae02-7f2b-4e29-af0a-5a96eb5ae2f0","Visit","C25716","http://www.cdisc.org","Code_55"
"2023-09-29","038da8fa-3aea-4fd2-a4ad-c03aa99dca4c","Clinic","C51282","http://www.cdisc.org","Code_56"
"2023-09-29","9e220177-4ae9-4b40-be30-c514bcca37e4","In Person","C175574","http://www.cdisc.org","Code_57"
"2023-09-29","a122909f-c4be-4275-be42-6c3f7de041ee","Visit","C25716","http://www.cdisc.org","Code_58"
"2023-09-29","0e834616-f2dd-4351-9ca1-ab2808421975","Clinic","C51282","http://www.cdisc.org","Code_59"
"2023-09-29","2846147c-61c8-4166-9c3f-5fdfa1a5956d","In Person","C175574","http://www.cdisc.org","Code_60"
"2023-09-29","7d146199-d9a6-42d8-94e7-2cc7b45c28f3","Visit","C25716","http://www.cdisc.org","Code_61"
"2023-09-29","14e52c9d-bbec-4265-a699-399b8b670b2f","Clinic","C51282","http://www.cdisc.org","Code_62"
"2023-09-29","b39721d0-d27c-4289-a74d-eb463e3cbae8","In Person","C175574","http://www.cdisc.org","Code_63"
"2023-09-29","e77f8cbd-8d8a-48fe-b2ce-2a4c65c6717c","Visit","C25716","http://www.cdisc.org","Code_64"
"2023-09-29","54a2dbe6-eb2c-453b-99ac-5f918f5cdcdd","Clinic","C51282","http://www.cdisc.org","Code_65"
"2023-09-29","7fd63713-8f35-4173-8101-3e8ffd4392bc","In Person","C175574","http://www.cdisc.org","Code_66"
"2023-09-29","1620cbcf-3b0e-4d98-ad06-2f28f948dca9","Visit","C25716","http://www.cdisc.org","Code_67"
"2023-09-29","970b92f1-1d2d-4de5-9ffa-ac59e325bc71","Clinic","C51282","http://www.cdisc.org","Code_68"
"2023-09-29","c4b68205-7546-4312-b4a8-b7d61467c478","In Person","C175574","http://www.cdisc.org","Code_69"
"2023-09-29","63186b1d-234f-4c9a-bf03-70109c9122d3","Visit","C25716","http://www.cdisc.org","Code_70"
"2023-09-29","5853c264-394a-4923-93c5-aabfec73c9fb","Home","C18002","http://www.cdisc.org","Code_71"
"2023-09-29","12a5a498-a6f3-4d1a-9dc2-de86210941ed","Telephone Call","C171537","http://www.cdisc.org","Code_72"
