"uuid:ID","sectionNumber","text","sectionTitle","id","name"
"3f5c9a13-e39e-4440-b9ea-17fb7953e963","0","","Root","NarrativeContent_1","ROOT"
"ece07410-8e7d-4b13-af11-cd3894ee4ce7","0","<div><usdm:section name=""M11-title-page""></div>","TITLE PAGE","NarrativeContent_2","SECTION 0"
"77e7d4e4-77a9-49b1-b4ac-5e94b0ee621f","1","<div></div>","PROTOCOL SUMMARY","NarrativeContent_3","SECTION 1"
"7692de29-6071-4ec6-a703-4fb12fe2499f","1.1","<div></div>","Protocol Synopsis","NarrativeContent_4","SECTION 1.1"
"a35bc7e2-7820-4dad-85c9-57aa99b2c1f5","1.2","<div></div>","Trial Schema","NarrativeContent_5","SECTION 1.2"
"2565e7ad-e4fd-4475-a07b-23a688fb7f90","1.3","<div></div>","Schedule of Activities","NarrativeContent_6","SECTION 1.3"
"ecdc9a0e-7f3e-461d-894c-f23787320065","2","<div></div>","INTRODUCTION","NarrativeContent_7","SECTION 2"
"a7f0c9ef-65db-4773-a82e-a28091d1b392","2.1","<div></div>","Purpose of Trial","NarrativeContent_8","SECTION 2.1"
"aaa7d936-4a09-4453-a92c-e7682e0d55c8","2.2","<div></div>","Summary of Benefits and Risks","NarrativeContent_9","SECTION 2.2"
"add7bd41-da32-4e7e-9c22-119b661b6e76","3","<div></div>","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","NarrativeContent_10","SECTION 3"
"1df14d03-b9f3-4549-8a35-42fe8cf93338","3.1","<div><usdm:section name=""M11-objective-endpoints""></div>","Primary Objectives","NarrativeContent_11","SECTION 3.1"
"fcde8fcf-f9ef-4932-b2b1-ff7664a2b354","4","<div></div>","TRIAL DESIGN","NarrativeContent_12","SECTION 4"
"7edd3728-b9d6-4fec-9a75-d76dd861720c","4.1","<div></div>","Description of Trial Design","NarrativeContent_13","SECTION 4.1"
"aa420351-8fb1-4d09-85c3-2de14b6a4bff","4.1.1","<div></div>","Participant Input into Design","NarrativeContent_14","SECTION 4.1.1"
"aaa8dafc-8f0c-4ba3-b3a4-1bb5908a8d88","4.2","<div></div>","Rationale for Trial Design","NarrativeContent_15","SECTION 4.2"
"98dd8d66-f057-4581-abeb-de92d066a68f","4.2.1","<div></div>","Rationale for Comparator","NarrativeContent_16","SECTION 4.2.1"
"3a2d137a-d65f-4629-aad0-461ebd7f1d1b","4.2.2","<div></div>","Rationale for Adaptive or Novel Trial Design","NarrativeContent_17","SECTION 4.2.2"
"fc3dcd77-9d21-4085-8783-72879333b4af","4.2.3","<div></div>","Other Trial Design Considerations","NarrativeContent_18","SECTION 4.2.3"
"ed6ccfa3-7be3-406a-8e05-f080269471fb","4.3","<div></div>","Access to Trial Intervention After End of Trial","NarrativeContent_19","SECTION 4.3"
"83d08c39-51dc-4010-bebe-5d78c3192ddf","4.4","<div></div>","Start of Trial and End of Trial","NarrativeContent_20","SECTION 4.4"
"fa55de85-023c-4781-85e5-9daa5c9c956f","5","<div></div>","TRIAL POPULATION","NarrativeContent_21","SECTION 5"
"b000f00d-6c6c-462a-b424-012130ff69b0","5.1","<div></div>","Selection of Trial Population","NarrativeContent_22","SECTION 5.1"
