"text","uuid:ID","id","name"
"Subject identified","9fa564b5-e69c-435f-9b9c-82223b436ab5","TransitionRule_1","ENCOUNTER_START_RULE_1"
"IEs passed","f2164f5a-cadb-4c95-a1dc-3befa0761e1b","TransitionRule_2","ENCOUNTER_START_RULE_1"
"Radomized","85402adc-aba5-4af3-a4bf-0060da5d6f4e","TransitionRule_3","ENCOUNTER_START_RULE_3"
"Study Start","8cb19cae-a0ae-4022-91e9-8e851cd67e52","TransitionRule_4","ELEMENT_START_RULE_1"
"Screened","4b1722f2-c715-4b86-a297-c7308c997afb","TransitionRule_5","ELEMENT_END_RULE_1"
"Screened","182df580-dd00-4cd3-a078-73f31a74215d","TransitionRule_6","ELEMENT_START_RULE_2"
"Radomized","c036fb47-e684-405a-9c22-b0741a3a5b74","TransitionRule_7","ELEMENT_END_RULE_2"
"Radomized","8c222f6a-6b28-49c0-838b-717cc92809a7","TransitionRule_8","ELEMENT_START_RULE_3"
"Completed treatment 1","64516d86-6045-485e-a8dc-424c9197bd43","TransitionRule_9","ELEMENT_END_RULE_3"
"Radomized","e063331c-6755-4fe0-9f59-7f9d2ca0527a","TransitionRule_12","ELEMENT_START_RULE_5"
"Completed treatment 2","5ca061a1-9b82-4640-9220-5b4d552a457c","TransitionRule_13","ELEMENT_END_RULE_5"
"Treated","79513d83-3b3d-481d-ac3f-5eb9e9f6614a","TransitionRule_10","ELEMENT_START_RULE_4"
"Leave Study","34b47f09-af30-4029-b204-465922a4843d","TransitionRule_11","ELEMENT_END_RULE_4"
