"datatype","label","isRequired","uuid:ID","id","isEnabled","name"
"decimal","Vital Signs Result","True","249fa6dc-83cd-4599-8351-03c216f31e33","BiomedicalConceptProperty_86","True","Vital Signs Result"
"string","Unit of Temperature","True","1d849e88-09eb-4a65-a7b0-8f4b78aa7f19","BiomedicalConceptProperty_87","True","Unit of Temperature"
"string","Vital Signs Location","True","9b7c09b9-23a8-41b6-b4a7-ec6566cf22e9","BiomedicalConceptProperty_88","True","Vital Signs Location"
"decimal","Vital Signs Result","True","a6dd7d41-9c0e-494f-b536-458e6f0c5726","BiomedicalConceptProperty_89","True","Vital Signs Result"
"string","Unit of Weight","True","6a1ba08d-618a-454c-8477-e0136a8c8636","BiomedicalConceptProperty_90","True","Unit of Weight"
"decimal","Vital Signs Result","True","ba28ebfb-3982-4322-bb40-ff8aeb73891e","BiomedicalConceptProperty_91","True","Vital Signs Result"
"string","Unit of Height","True","667dd2b7-f113-493e-82d2-61f93bbc2cda","BiomedicalConceptProperty_92","True","Unit of Height"
"decimal","Laboratory Test Result","True","f18e862d-d523-447b-959f-ca9096885e27","BiomedicalConceptProperty_93","True","Laboratory Test Result"
"boolean","Laboratory Test Fasting Status","True","48b422d2-b804-43d3-9780-1b3e669770ca","BiomedicalConceptProperty_94","True","Laboratory Test Fasting Status"
"string","Unit of Catalytic Activity Concentration","True","e9881ed0-62a3-4a4a-91cd-72cbc3303818","BiomedicalConceptProperty_95","True","Unit of Catalytic Activity Concentration"
"string","Biospecimen Type","True","934a44c9-e6e9-47a0-a533-c56fe737880d","BiomedicalConceptProperty_96","True","Biospecimen Type"
"string","Laboratory Test Result","True","49ba86b5-d23e-4814-af15-71559ee196cf","BiomedicalConceptProperty_97","True","Laboratory Test Result"
"boolean","Laboratory Test Fasting Status","True","10d7fed4-1451-48b7-a0fb-6c81df714627","BiomedicalConceptProperty_98","True","Laboratory Test Fasting Status"
"string","Unit of Concentration","True","5f00108c-23ce-466f-8449-ab1bab81e670","BiomedicalConceptProperty_99","True","Unit of Concentration"
"string","Biospecimen Type","True","68ec2dd6-c55a-4728-9328-81bf392eea01","BiomedicalConceptProperty_100","True","Biospecimen Type"
