"label","value","uuid:ID","id","description","windowLower","name","windowUpper","window"
"Screening","P2W","a1de0435-ad5d-4475-b6c8-a859c3f7524e","Timing_1","Screening timing","","TIM1","",""
"Pre dose","P2D","0a6f37a4-b346-4923-9e1d-3f7f08d68fb1","Timing_2","Pre dose timing","PT4H","TIM2","PT0H","-4..0 hours"
"Dosing","P1D","7bc7e499-d105-4581-b854-9b340e989690","Timing_3","Dosing anchor","","TIM3","",""
"Week 2","P2W","b4cfd323-8ae0-47ac-aa6a-50561a22d248","Timing_4","Week 2 timing","P3D","TIM4","P3D","-3..3 days"
"Week 4","P4W","74ca9491-1db5-4b44-863d-772638d7ac66","Timing_5","Week 4 timing","P3D","TIM5","P3D","-3..3 days"
"Week 6","P6W","1c505761-970e-4c04-860a-b992b2c80b7c","Timing_6","Week 6 timing","P3D","TIM6","P3D","-3..3 days"
"Week 8","P8W","67725226-a0eb-4b6a-8483-1690b7824235","Timing_7","Week 8 timing","P3D","TIM7","P3D","-3..3 days"
"Week 8 Home","P2W","37558c88-6f50-4703-aef6-4fc71a1362ae","Timing_8","Week 8 at home timing","","TIM8","",""
"Week 12","P12W","11aa94fe-4c9e-45b7-af22-e0479eb723b6","Timing_9","Week 12 timing","P4D","TIM9","P4D","-4..4 days"
"Week 12 Home","P2W","69100779-77d6-4e80-8fb3-d248579f4a03","Timing_10","Week 12 at home timing","","TIM10","",""
"Week 16","P16W","c234687d-8902-4662-bab1-14769d01887b","Timing_11","Week 16 timing","P4D","TIM11","P4D","-4..4 days"
"Week 16 Home","P2W","f9f72aab-44c3-4b89-919f-7c42f029926c","Timing_12","Week 16 at home timing","","TIM12","",""
"Week 20","P20W","a82d4dea-f598-4cbd-97a9-85b7a2f7c304","Timing_13","Week 20 timing","P4D","TIM13","P4D","-4..4 days"
"Week 20 Home","P2W","be873b4d-0aa4-439a-9dae-545992f619a5","Timing_14","Week 20 at home timing","","TIM14","",""
"Week 24","P24W","9f3bd00c-b897-4c59-8d0b-8c40f9ebed3e","Timing_15","Week 24 timing","P4D","TIM15","P4D","-4..4 days"
"Week 26","P26W","cec05162-fb17-4832-b758-7c90044adbd4","Timing_16","Week 26 timing","P3D","TIM16","P3D","-3..3 days"
"Adverse Event","P1D","5f481492-6a41-40a3-be3a-85f0bc90b7be","Timing_17","Adverse Event","","TIM17","",""
"Early Termination","P1D","02df6651-2365-406b-b2b3-df53f6df034d","Timing_18","Early Termination","","TIM18","",""
"BP Anchor","PT0M","dd59eb02-7d68-45e1-828b-fb177d9146de","Timing_19","BP Anchor","","TIM19","",""
"BP while Supine","PT5M","0423afba-cbec-4340-8103-5747141fc1bd","Timing_20","BP while Supine","","TIM20","",""
"BP Stand Up","PT3M","38686d01-20d9-4a27-a0f8-d9768c2d1ea5","Timing_21","BP Stand Up","PT2M","TIM21","PT0M","-2..0 min"
"BP while standing","PT0M","db380b67-4c8a-4fc8-8400-7edcec24b481","Timing_22","BP while standing","","TIM22","",""
