"codeSystemVersion","id","decode","uuid:ID","codeSystem","code"
"2023-09-29","Code_1","Interventional Study","7a6c5c47-e0a4-432b-9cfe-d3a3514113e0","http://www.cdisc.org","C98388"
"2023-09-29","Code_2","Phase II Trial","8a83d6fd-f11f-4d29-9b99-0bf563d36d1b","http://www.cdisc.org","C15601"
"2023-09-29","Code_5","Sponsor Approval Date","adb7d719-b582-4b0d-b012-fdb988680162","http://www.cdisc.org","C132352"
"2023-09-29","Code_6","Global","95ac8b59-b878-450e-a60c-7c6cee3eda30","http://www.cdisc.org","C68846"
"2023-09-29","Code_65","IRB/IEC Feedback","e0db9a40-9f37-4fb3-973c-8ff85eebd915","http://www.cdisc.org","C99904x3"
"2023-09-29","Code_66","Other","7eec18fc-c33a-4da6-b553-69c1cb398081","http://www.cdisc.org","C17649"
"2023-09-29","Code_68","Region","e6bdcbba-7d5d-4d4b-ab99-3b7ac0ed8ffa","http://www.cdisc.org","C41129"
"2020-08","Code_67","Europe","876a1eb8-b42d-4612-bd48-22423d3010fb","ISO 3166 1 alpha3","150"
"12","Code_3","Eli Lilly","7cf70104-5df5-4974-b865-c1629b93b356","SPONSOR","PHARMA"
"2023-09-29","Code_69","Clinical Study Sponsor","8f74d579-2152-45c4-8073-b197719d00ce","http://www.cdisc.org","C70793"
"2020-08","Code_70","United States of America","b16346cd-2331-4a9e-ba16-5a29d27d87e7","ISO 3166 1 alpha3","USA"
"2023-09-29","Code_71","Study Registry","24884fb1-3f74-45df-81e7-20ae4e328b10","http://www.cdisc.org","C93453"
"2023-09-29","Code_129","Treatment Study","1af34ef8-9464-4b8f-8998-99b9b8a88671","http://www.cdisc.org","C49656"
"2023-09-29","Code_130","Efficacy Study","913078b0-222f-4d52-8875-6658e10656d1","http://www.cdisc.org","C49666"
"2023-09-29","Code_131","Safety Study","ea0c05f4-b74b-41c3-8f1b-5814a3d6cd52","http://www.cdisc.org","C49667"
"2023-09-29","Code_132","Pharmacokinetic Study","dcf31b24-bc1a-4d8b-be18-0a51305e9efd","http://www.cdisc.org","C49663"
"12","Code_126","Mild to Moderate Alzheimer\'s Disease","aa6bcac1-da2f-414e-8915-30f1bccda708","SPONSOR","MILD_MOD_ALZ"
"January 31, 2018","Code_127","Alzheimer\'s disease","6be54cc6-fecd-4866-b74d-284aa81d8874","SNOMED","26929004"
"2023-09-29","Code_133","Parallel Study","6b6c73de-1fb2-4a53-a288-621ae908c222","http://www.cdisc.org","C82639"
"2023-09-29","Code_75","Visit","4efa4d46-93b8-4cac-8491-d156c8f18e18","http://www.cdisc.org","C25716"
"2023-09-29","Code_76","Clinic","ea18df13-1b83-4d93-85aa-8a7cac2f3be3","http://www.cdisc.org","C51282"
"2023-09-29","Code_77","In Person","ba738529-826e-433c-a455-90fd5015dbd8","http://www.cdisc.org","C175574"
"2023-09-29","Code_78","Visit","892a1f7d-f010-4a8f-856f-cb7b3b1aabe4","http://www.cdisc.org","C25716"
"2023-09-29","Code_79","Clinic","ca32c00c-ca44-43df-8607-833789ab7973","http://www.cdisc.org","C51282"
"2023-09-29","Code_80","In Person","c40ea57b-1606-4357-ba80-3873cdd0150c","http://www.cdisc.org","C175574"
"2023-09-29","Code_81","Visit","50deff76-a773-4096-a4d6-1e8ca4b6fb49","http://www.cdisc.org","C25716"
"2023-09-29","Code_82","Clinic","bf54b20d-fd16-4566-923d-c2793f47db5c","http://www.cdisc.org","C51282"
"2023-09-29","Code_83","In Person","94b1705f-4a1c-411a-979c-b1e4f68fb47c","http://www.cdisc.org","C175574"
"2023-09-29","Code_84","Visit","881d63e9-566d-4840-aa27-1cfa88b32d7e","http://www.cdisc.org","C25716"
"2023-09-29","Code_85","Clinic","90ea5011-8c34-4b0f-8185-ae1fc8bdc4d3","http://www.cdisc.org","C51282"
"2023-09-29","Code_86","In Person","7fa19bfd-309f-4a01-b7d8-95636cdd70f0","http://www.cdisc.org","C175574"
"2023-09-29","Code_87","Visit","a4cf6ec6-a009-4160-bb9b-9aa72cd0562f","http://www.cdisc.org","C25716"
"2023-09-29","Code_88","Clinic","86027a99-3478-44a9-93de-82fe605c2d87","http://www.cdisc.org","C51282"
