"text","uuid:ID","name","id"
"Subject identifier","e22a1128-bea3-45b6-884b-c3f8bff0971e","ENCOUNTER_START_RULE_1","TransitionRule_1"
"completion of screening activities","aaebb0c9-5196-49df-88e7-1fa26b5da83b","ENCOUNTER_START_RULE_1","TransitionRule_2"
"subject leaves clinic after connection of ambulatory ECG machine","8a30ecd6-6c25-4b2e-b6d5-1d2df822c235","ENCOUNTER_START_RULE_2","TransitionRule_3"
"subject has connection of ambulatory ECG machine removed","fccd1a09-f087-46ef-9a89-77202c4d4780","ENCOUNTER_START_RULE_3","TransitionRule_4"
"Radomized","fd0028ab-0e74-4b05-9acc-81ffaeb81d28","ENCOUNTER_START_RULE_3","TransitionRule_5"
"End of treatment","3fca7a53-5944-4ec7-b997-713a84e51da4","ENCOUNTER_START_RULE_12","TransitionRule_6"
"Informed consent","0052f1c6-e8b6-4fec-9058-8d895a9c2de2","ELEMENT_START_RULE_1","TransitionRule_7"
"Completion of all screening activities and no more than 2 weeks from informed consent","9f8cea5b-2e27-4bcf-b66c-c3161b86fe74","ELEMENT_END_RULE_1","TransitionRule_8"
"Administration of first dose","94b43db2-fbd0-4563-a024-05efe8118a79","ELEMENT_START_RULE_2","TransitionRule_9"
"End of last scheduled visit on study (including early termination)","19c9cf25-b63b-4ba9-8404-0f5c9fcb9d68","ELEMENT_START_RULE_7","TransitionRule_14"
"Completion of all specified followup activities (which vary on a patient-by-patient basis)","7fb2a416-21e9-4c7a-9332-e6c4f85daee0","ELEMENT_END_RULE_7","TransitionRule_15"
"Administration of first dose","c2b9f544-1f10-489a-bb7d-af23b58ae685","ELEMENT_START_RULE_3","TransitionRule_10"
"Randomized","a17816c7-69d6-41b7-b58c-23136987b9e3","ELEMENT_START_RULE_4","TransitionRule_11"
"Administration of first dose (from patches supplied at Visit 4)","79727f83-5c64-4592-8f1f-79eae9dad80c","ELEMENT_START_RULE_5","TransitionRule_12"
"Administration of first dose (from patches supplied at Visit 12)","56ef7834-eec0-4b68-b4f4-2087f2ff7b1b","ELEMENT_START_RULE_6","TransitionRule_13"
