"synonyms","label","uuid:ID","id","name","reference"
"['Temperature']","Body Temperature","aa3e374b-2ec9-47ae-894a-a3e7edead861","BiomedicalConcept_18","Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446"
"['Weight']","Body Weight","3368a64e-fc66-4027-aa9d-a3a784ba1290","BiomedicalConcept_19","Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328"
"['Height']","Body Height","eb00060f-1399-4d1e-b75d-a9e711aa24cd","BiomedicalConcept_20","Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634"
"['ALT', 'SGPT']","Alanine Aminotransferase Measurement","91a1437c-7a57-47c1-beb3-8bfaebfadfb5","BiomedicalConcept_21","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433"
"['Albumin']","Albumin Measurement","44fd8453-d8c5-4ae2-a914-f395437329cc","BiomedicalConcept_22","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431"
"['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","3e7d5331-bec3-42d3-b11d-f31c628838c5","BiomedicalConcept_23","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432"
"['AST', 'SGOT']","Aspartate Aminotransferase Measurement","79e78733-71e2-4812-be8c-62812e9df125","BiomedicalConcept_24","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467"
"['Creatinine']","Creatinine Measurement","e78a5a0f-e959-4829-b9d3-2e267076d0f2","BiomedicalConcept_25","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547"
"['Potassium', 'K']","Potassium Measurement","3d8e0af1-bbf8-441b-a2c5-e4ceb8afd430","BiomedicalConcept_26","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853"
"['Sodium', 'NA']","Sodium Measurement","4568f23c-3a5a-49db-b65f-e3cf01ea55dc","BiomedicalConcept_27","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809"
"['Adverse Event Reported Term', 'AETERM']","Adverse Event","eb8bba66-6a16-43b9-acfe-41f2be8cb7c7","BiomedicalConcept_1","Adverse Event","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331"
"['SYSBP']","Systolic Blood Pressure","71446c00-b93c-4fa5-adc3-1ef15e63c832","BiomedicalConcept_2","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298"
"['DIABP']","Diastolic Blood Pressure","669b8470-79df-474e-848c-eeb2ad47ba63","BiomedicalConcept_3","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299"
"['Temperature']","Body Temperature","c4940f6a-ba8b-413c-a002-a1d5df1e9a3d","BiomedicalConcept_4","Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446"
"['Weight']","Body Weight","0310d2c3-0939-4754-b319-0594c188970a","BiomedicalConcept_5","Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328"
"['Height']","Body Height","961ff42c-0ed8-43a7-a9ab-f349a1adddf6","BiomedicalConcept_6","Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634"
"['ALT', 'SGPT']","Alanine Aminotransferase Measurement","2c2001b4-10b6-41cd-a1eb-d378ae2dcdd5","BiomedicalConcept_7","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433"
"['Albumin']","Albumin Measurement","b8af8a1b-5b28-40c8-af88-01e1c9a6f33f","BiomedicalConcept_8","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431"
"['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","b587b998-64b6-4e11-a1fd-17be301417f2","BiomedicalConcept_9","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432"
