"name","text","uuid:ID","id","description","label"
"ENCOUNTER_START_RULE_1","Subject identified","5452e3fd-bbe9-41a5-9b75-252729ebfe67","TransitionRule_1","",""
"ENCOUNTER_START_RULE_1","IEs passed","fdbdd630-227d-4073-ad0a-2f93fa9cb4aa","TransitionRule_2","",""
"ENCOUNTER_START_RULE_3","Radomized","fceca447-05bf-44ce-ab28-c502d17d9383","TransitionRule_3","",""
"ELEMENT_START_RULE_1","Study Start","dea8a27f-0f32-4d1c-aebf-329c2081b00d","TransitionRule_4","",""
"ELEMENT_END_RULE_1","Screened","d44130a0-d2b9-4299-b4f7-9c20420600c0","TransitionRule_5","",""
"ELEMENT_START_RULE_2","Screened","8451ca91-b2dd-435d-85f3-5178ef0ce35c","TransitionRule_6","",""
"ELEMENT_END_RULE_2","Radomized","980832bf-cd10-4d17-8875-3f4541422d00","TransitionRule_7","",""
"ELEMENT_START_RULE_3","Radomized","587fa6bf-8b69-4160-9ea8-2076e567dece","TransitionRule_8","",""
"ELEMENT_END_RULE_3","Completed treatment 1","ab614749-4099-4b54-9650-f91e09872368","TransitionRule_9","",""
"ELEMENT_START_RULE_5","Radomized","398f6d4b-610f-451e-8e6d-cba3379f06dc","TransitionRule_12","",""
"ELEMENT_END_RULE_5","Completed treatment 2","b4c85897-2016-4c3f-830b-e1c59dd2cd41","TransitionRule_13","",""
"ELEMENT_START_RULE_4","Treated","d9c416a9-9252-4a3f-8308-be62db32399a","TransitionRule_10","",""
"ELEMENT_END_RULE_4","Leave Study","590fb35c-b91c-4500-914e-04d368b35c47","TransitionRule_11","",""
