"sectionTitle","name","text","id","sectionNumber","uuid:ID"
"Root","ROOT","","NarrativeContent_1","0","02cbad6e-0d1e-446b-992f-8bc3c01e8ec6"
"TITLE PAGE","SECTION 0","<div><usdm:section name=""M11-title-page""></div>","NarrativeContent_2","0","67d9a387-3ddd-4170-be6b-e5e35de796b8"
"PROTOCOL SUMMARY","SECTION 1","<div></div>","NarrativeContent_3","1","081ec5f7-0511-4801-be7b-ad0cfaf714bf"
"Protocol Synopsis","SECTION 1.1","<div></div>","NarrativeContent_4","1.1","c3f4d766-8117-42f0-8c58-f5761ad9e353"
"Trial Schema","SECTION 1.2","<div></div>","NarrativeContent_5","1.2","5790b495-431b-4535-b85b-2cb5536f31d2"
"Schedule of Activities","SECTION 1.3","<div></div>","NarrativeContent_6","1.3","ef95fe59-56fd-4494-b89e-eef369bbda1c"
"INTRODUCTION","SECTION 2","<div></div>","NarrativeContent_7","2","9ba9630e-d26a-44b9-bada-5df75c4a6cd4"
"Purpose of Trial","SECTION 2.1","<div></div>","NarrativeContent_8","2.1","61a79a19-ce18-4b3f-a295-b10a19790f12"
"Summary of Benefits and Risks","SECTION 2.2","<div></div>","NarrativeContent_9","2.2","33864b91-bbff-4b06-951e-b0002db8e211"
"TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","SECTION 3","<div></div>","NarrativeContent_10","3","40765616-94f7-4a81-bb84-321423ab6bba"
"Primary Objectives","SECTION 3.1","<div><usdm:section name=""M11-objective-endpoints""></div>","NarrativeContent_11","3.1","d2a861e3-ab8d-44be-8dc8-836797335896"
"TRIAL DESIGN","SECTION 4","<div></div>","NarrativeContent_12","4","41697a01-1496-4f7a-9da0-497763850c7a"
"Description of Trial Design","SECTION 4.1","<div></div>","NarrativeContent_13","4.1","47b17bdb-39ff-40ce-87c4-1b135f514c8e"
"Participant Input into Design","SECTION 4.1.1","<div></div>","NarrativeContent_14","4.1.1","dea89ff6-5de4-4c5f-b029-47137e7b1f09"
"Rationale for Trial Design","SECTION 4.2","<div></div>","NarrativeContent_15","4.2","b57f4b1f-22be-4009-af4c-0b99e5e97054"
"Rationale for Comparator","SECTION 4.2.1","<div></div>","NarrativeContent_16","4.2.1","9b1077ea-220a-4f84-8338-55706b5f429f"
"Rationale for Adaptive or Novel Trial Design","SECTION 4.2.2","<div></div>","NarrativeContent_17","4.2.2","168a113f-4408-42c9-892a-073bd25634d6"
"Other Trial Design Considerations","SECTION 4.2.3","<div></div>","NarrativeContent_18","4.2.3","0aa37924-a90a-445b-b5e7-3e80efbab54a"
"Access to Trial Intervention After End of Trial","SECTION 4.3","<div></div>","NarrativeContent_19","4.3","bff584c1-4cb3-4178-9549-ea6415b303e8"
"Start of Trial and End of Trial","SECTION 4.4","<div></div>","NarrativeContent_20","4.4","f3552360-af11-487a-8284-ad7926743033"
"TRIAL POPULATION","SECTION 5","<div></div>","NarrativeContent_21","5","1cfebf34-94c4-47d5-b508-e0595e237580"
"Selection of Trial Population","SECTION 5.1","<div></div>","NarrativeContent_22","5.1","a6d70fc1-24a5-4e47-92eb-84f22a8b432e"
"Rationale for Trial Population","SECTION 5.2","<div></div>","NarrativeContent_23","5.2","2c621157-7398-4524-bca1-bc6dbd376307"
"Inclusion Criteria","SECTION 5.3","<div><usdm:section name=""M11-inclusion""></div>","NarrativeContent_24","5.3","9a471db1-3352-49a8-acfa-58bb9ab32036"
"Exclusion Criteria","SECTION 5.4","<div><usdm:section name=""M11-exclusion""></div>","NarrativeContent_25","5.4","e5c004cb-645a-4089-85fa-ef3b20c7e15f"
"Lifestyle Considerations","SECTION 5.5","<div></div>","NarrativeContent_26","5.5","60e1b467-bf15-4a1f-b3db-3be3dd43ad1d"
"Meals and Dietary Restrictions","SECTION 5.5.1","<div></div>","NarrativeContent_27","5.5.1","73ae4c8a-07f5-473c-862a-e3f68bc04b66"
"Caffeine, Alcohol, Tobacco, and Other Habits","SECTION 5.5.2","<div></div>","NarrativeContent_28","5.5.2","46a08d8f-2c60-4f19-9e0b-7f5f7fbcd692"
"Physical Activity","SECTION 5.5.3","<div></div>","NarrativeContent_29","5.5.3","855b1a47-d386-4321-aba9-91a78a081c10"
"Other Activity","SECTION 5.5.4","<div></div>","NarrativeContent_30","5.5.4","2e9c14ad-6976-4f0b-ba4c-103545b9fc86"
"Screen Failures","SECTION 5.6","<div></div>","NarrativeContent_31","5.6","5c06ff1b-4e60-4be5-8720-8d396d78e429"
"TRIAL INTERVENTION AND CONCOMITANT THERAPY","SECTION 6","<div></div>","NarrativeContent_32","6","7025e5ca-2f83-4f02-a60e-9d50acccabe2"
"Description of Trial Intervention","SECTION 6.1","<div></div>","NarrativeContent_33","6.1","bffd4215-e7ce-4eca-8a25-e712c9a434c4"
"Rationale for Trial Intervention","SECTION 6.2","<div></div>","NarrativeContent_34","6.2","5851762c-b8ba-474d-bc0d-2bb18c2a842e"
"Dosing and Administration","SECTION 6.3","<div></div>","NarrativeContent_35","6.3","04d108b6-e465-40d1-9d91-75b494396ff1"
"Trial Intervention Dose Modification","SECTION 6.3.1","<div></div>","NarrativeContent_36","6.3.1","988f6246-d126-4709-be1e-8ac6a7cfc93b"
