"name","instanceType","text","id","uuid:ID"
"ENCOUNTER_START_RULE_1","TransitionRule","Subject identifier","TransitionRule_1","efdcce60-2ec3-4dde-867a-5b4c14d5c584"
"ENCOUNTER_START_RULE_1","TransitionRule","completion of screening activities","TransitionRule_2","922e12bb-4d0c-41ca-b685-bff12488d499"
"ENCOUNTER_START_RULE_2","TransitionRule","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule_3","8a239684-7cdd-47bf-87d8-49fe60515d10"
"ENCOUNTER_START_RULE_3","TransitionRule","subject has connection of ambulatory ECG machine removed","TransitionRule_4","f9f17de1-e5ab-4418-a17b-3027001de7dd"
"ENCOUNTER_START_RULE_3","TransitionRule","Radomized","TransitionRule_5","84567321-672c-4848-87be-ef8febcbe392"
"ENCOUNTER_START_RULE_12","TransitionRule","End of treatment","TransitionRule_6","b2d2e2dd-e231-4e0f-9ee2-0b0b87608a51"
"ELEMENT_START_RULE_1","TransitionRule","Informed consent","TransitionRule_7","c43f9f1a-6d9e-4dd3-92ae-161a7a5fd018"
"ELEMENT_END_RULE_1","TransitionRule","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule_8","9cf51d6c-edb5-4c92-bb70-54416aea5722"
"ELEMENT_START_RULE_2","TransitionRule","Administration of first dose","TransitionRule_9","2a8e8ac6-c8ca-448f-8a46-67e64fb6664c"
"ELEMENT_START_RULE_7","TransitionRule","End of last scheduled visit on study (including early termination)","TransitionRule_14","11e4ea75-d3ab-4b33-a21f-195e5dffa8c9"
"ELEMENT_END_RULE_7","TransitionRule","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule_15","89c68e2a-e0b5-440c-9a4c-a01f3d41ef70"
"ELEMENT_START_RULE_3","TransitionRule","Administration of first dose","TransitionRule_10","21de5444-598a-47f1-9d61-3af38339c42f"
"ELEMENT_START_RULE_4","TransitionRule","Randomized","TransitionRule_11","2fc000c2-1855-4271-8b65-3723db1341fc"
"ELEMENT_START_RULE_5","TransitionRule","Administration of first dose (from patches supplied at Visit 4)","TransitionRule_12","ac0fec64-1b8c-41fc-91b6-4a5a0bacc3ce"
"ELEMENT_START_RULE_6","TransitionRule","Administration of first dose (from patches supplied at Visit 12)","TransitionRule_13","18e76033-d78b-4874-8c23-7736cb3b0344"
