"name","instanceType","label","description","id","uuid:ID"
"E1","Encounter","Screening 1","Screening encounter","Encounter_1","bd4d328f-37b8-42ea-842f-d2b5fea58061"
"E2","Encounter","Screening 2","Screening encounter - Ambulatory ECG Placement","Encounter_2","7e40009b-6420-4213-bd90-81972649497d"
"E3","Encounter","Baseline","Baseline encounter - Ambulatory ECG Removal","Encounter_3","e8ee846b-78c5-46b4-9a5b-48f844676312"
"E4","Encounter","Week 2","Day 14","Encounter_4","92f73e4f-b118-4806-a38b-f24594b526b8"
"E5","Encounter","Week 4","Day 28","Encounter_5","2af067b2-6538-4993-9076-e45d005d713f"
"E7","Encounter","Week 6","Day 42","Encounter_6","966bd4bc-8113-4780-9671-69f7d2a8a86a"
"E8","Encounter","Week 8","Day 56","Encounter_7","6be92ddd-08d2-4a6a-8716-0d760ae11b0c"
"E9","Encounter","Week 12","Day 84","Encounter_8","992c1a93-ce43-4e2a-a0bb-e4eaeb60ca85"
"E10","Encounter","Week 16","Day 112","Encounter_9","82bae26d-49f6-451d-ba8d-cecc0d5fa44d"
"E11","Encounter","Week 20","Day 140","Encounter_10","eb642377-fe3d-4d2d-9003-b5cd45f07293"
"E12","Encounter","Week 24","Day 168","Encounter_11","a6aafeb9-1a7c-4d7a-95bc-af34ba6e1e89"
"E13","Encounter","Week 26","Day 182","Encounter_12","8de6d958-1ad8-4f6f-be99-0d6d86918673"
