"name","instanceType","label","datatype","isEnabled","isRequired","id","uuid:ID"
"Sex","BiomedicalConceptProperty","Sex","string","True","True","BiomedicalConceptProperty_89","9d156362-2a97-43f4-acfa-2494c3400d76"
"Race","BiomedicalConceptProperty","Race","string","True","True","BiomedicalConceptProperty_90","73c17d05-8337-428a-9962-4ac64cc4ea1e"
"Clinical Test Result","BiomedicalConceptProperty","Clinical Test Result","decimal","True","True","BiomedicalConceptProperty_91","645980ac-aa3d-45bc-a397-48351965d2e8"
"Unit of Temperature","BiomedicalConceptProperty","Unit of Temperature","string","True","True","BiomedicalConceptProperty_92","6a92083b-1f53-4013-9b13-57f7905f956e"
"Anatomic Site","BiomedicalConceptProperty","Anatomic Site","string","True","True","BiomedicalConceptProperty_93","93deff7a-2be0-41df-ac43-4454b2a854bb"
"Clinical Test Result","BiomedicalConceptProperty","Clinical Test Result","decimal","True","True","BiomedicalConceptProperty_94","14e89405-f38b-4bba-96b9-6ba5c9ea6fda"
"Unit of Weight","BiomedicalConceptProperty","Unit of Weight","string","True","True","BiomedicalConceptProperty_95","6f8e6d6d-5b60-4637-b5c3-f20fb7dd1527"
"Clinical Test Result","BiomedicalConceptProperty","Clinical Test Result","decimal","True","True","BiomedicalConceptProperty_96","d7c793ee-950a-47f6-b792-5bf2b96af6a3"
"Unit of Height","BiomedicalConceptProperty","Unit of Height","string","True","True","BiomedicalConceptProperty_97","d7722b59-146e-474d-9a34-8c655662382e"
"Laboratory Test Result","BiomedicalConceptProperty","Laboratory Test Result","decimal","True","True","BiomedicalConceptProperty_98","17fa7c8a-4814-4df2-a86b-9ebf67ee2a9e"
"Laboratory Test Fasting Status","BiomedicalConceptProperty","Laboratory Test Fasting Status","boolean","True","True","BiomedicalConceptProperty_99","f2705226-5c2c-46b2-9ce9-ffde584e3ba3"
"Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","Unit of Catalytic Activity Concentration","string","True","True","BiomedicalConceptProperty_100","4c18c12a-e8fa-4b85-969b-ff4d83dfd233"
"Biospecimen Type","BiomedicalConceptProperty","Biospecimen Type","string","True","True","BiomedicalConceptProperty_101","d34c62d3-2dc9-43da-a88a-42ce7169d5bd"
"Laboratory Test Result","BiomedicalConceptProperty","Laboratory Test Result","string","True","True","BiomedicalConceptProperty_102","a29f5aba-6b46-462f-a063-a905479b3c78"
"Laboratory Test Fasting Status","BiomedicalConceptProperty","Laboratory Test Fasting Status","boolean","True","True","BiomedicalConceptProperty_103","7d54ae3e-42e6-44c6-9cc8-079752e4e288"
"Unit of Concentration","BiomedicalConceptProperty","Unit of Concentration","string","True","True","BiomedicalConceptProperty_104","af28cc53-6c24-4956-be77-c9a1700c0c6d"
"Biospecimen Type","BiomedicalConceptProperty","Biospecimen Type","string","True","True","BiomedicalConceptProperty_105","4a04c3e2-727f-48c7-b68b-572bace0ae32"
"Laboratory Test Result","BiomedicalConceptProperty","Laboratory Test Result","decimal","True","True","BiomedicalConceptProperty_106","910ed0a2-9665-44be-8db1-cb8bce619257"
"Laboratory Test Fasting Status","BiomedicalConceptProperty","Laboratory Test Fasting Status","boolean","True","True","BiomedicalConceptProperty_107","db21ab0d-b847-44ae-b31c-b9199e38d149"
"Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","Unit of Catalytic Activity Concentration","string","True","True","BiomedicalConceptProperty_108","d6f87893-bbde-4ee0-aed0-061900677df1"
"Biospecimen Type","BiomedicalConceptProperty","Biospecimen Type","string","True","True","BiomedicalConceptProperty_109","fa5cb588-d790-46cd-8d10-38db53d592ea"
"Laboratory Test Result","BiomedicalConceptProperty","Laboratory Test Result","decimal","True","True","BiomedicalConceptProperty_110","f7943b67-606f-4504-8058-c48d31304c0f"
